ell,L_over_M,resolution,observer,kappa_c_U,gamma_eff_over_kappa_c,kappa_U_transition
2,80.0,4096,r/M=4,0.66104130812259,8.070908383468556,nan
2,80.0,4096,r/M=4,0.6616503285722819,8.067066230540188,nan
2,80.0,4096,r/M=4,0.6622593490219738,8.063583851477336,nan
2,80.0,4096,r/M=4,0.6628683694716656,8.060457788467547,nan
2,80.0,4096,r/M=4,0.6634773899213575,8.05768281684268,nan
2,80.0,4096,r/M=4,0.6640864103710493,8.05525204925567,nan
2,80.0,4096,r/M=4,0.6646954308207412,8.053157051152672,nan
2,80.0,4096,r/M=4,0.6653044512704331,8.051387965292967,nan
2,80.0,4096,r/M=4,0.6659134717201249,8.049933643360033,nan
2,80.0,4096,r/M=4,0.6665224921698168,8.048781782541589,nan
2,80.0,4096,r/M=4,0.6671315126195086,8.04791906485605,nan
2,80.0,4096,r/M=4,0.6677405330692006,8.04733129755526,nan
2,80.0,4096,r/M=4,0.6683495535188925,8.047003552627693,nan
2,80.0,4096,r/M=4,0.6689585739685843,8.046920303747177,nan
2,80.0,4096,r/M=4,0.6695675944182762,8.047065559354014,nan
2,80.0,4096,r/M=4,0.670176614867968,8.047422990414784,nan
2,80.0,4096,r/M=4,0.6707856353176599,8.047976051912922,nan
2,80.0,4096,r/M=4,0.6713946557673518,8.04870809718799,nan
2,80.0,4096,r/M=4,0.6720036762170436,8.049602484452846,nan
2,80.0,4096,r/M=4,0.6726126966667355,8.050642674971254,nan
2,80.0,4096,r/M=4,0.6732217171164273,8.051812322604844,nan
2,80.0,4096,r/M=4,0.6738307375661192,8.05309535465768,nan
2,80.0,4096,r/M=4,0.6744397580158111,8.05447604393325,nan
2,80.0,4096,r/M=4,0.6750487784655029,8.05593907213516,nan
2,80.0,4096,r/M=4,0.6756577989151948,8.057469584923009,nan
2,80.0,4096,r/M=4,0.6762668193648866,8.059053238803719,nan
2,80.0,4096,r/M=4,0.6768758398145786,8.060676240400237,nan
2,80.0,4096,r/M=4,0.6774848602642705,8.062325378461072,nan
2,80.0,4096,r/M=4,0.6780938807139623,8.06398804907494,nan
2,80.0,4096,r/M=4,0.6787029011636542,8.065652274697872,nan
2,80.0,4096,r/M=4,0.679311921613346,8.067306717400472,nan
2,80.0,4096,r/M=4,0.6799209420630379,8.068940686912306,nan
2,80.0,4096,r/M=4,0.6805299625127298,8.0705441440794,nan
2,80.0,4096,r/M=4,0.6811389829624216,8.072107700081979,nan
2,80.0,4096,r/M=4,0.6817480034121135,8.07362261199051,nan
2,80.0,4096,r/M=4,0.6823570238618053,8.075080775159416,nan
2,80.0,4096,r/M=4,0.6829660443114972,8.07647471282247,nan
