ell,L_over_M,observer,kappa_c_U,gamma_eff_over_kappa_c
1,20.0,r/M=4,0.9626127575927127,2.2457780845128203
1,20.0,r/M=4,0.9648370992358299,2.2491925551026073
1,20.0,r/M=4,0.9670614408789473,2.252467342451078
1,20.0,r/M=4,0.9692857825220645,2.255598469512279
1,20.0,r/M=4,0.9715101241651819,2.258581994651012
1,20.0,r/M=4,0.9737344658082991,2.261414025981438
1,20.0,r/M=4,0.9759588074514165,2.26409073584799
1,20.0,r/M=4,0.9781831490945337,2.2666083753918995
1,20.0,r/M=4,0.9804074907376511,2.268963289142715
1,20.0,r/M=4,0.9826318323807683,2.2711519295717295
1,20.0,r/M=4,0.9848561740238857,2.273170871546543
1,20.0,r/M=4,0.987080515667003,2.2750168266224664
1,20.0,r/M=4,0.9893048573101203,2.2766866571104827
1,20.0,r/M=4,0.9915291989532375,2.278177389857949
1,20.0,r/M=4,0.9937535405963549,2.27948622968103
1,20.0,r/M=4,0.9959778822394721,2.2806105723973547
1,20.0,r/M=4,0.9982022238825895,2.2815480173967595
1,20.0,r/M=4,1.0004265655257067,2.2822963796976596
1,20.0,r/M=4,1.002650907168824,2.282853701444315
1,20.0,r/M=4,1.0048752488119415,2.283218262795249
1,20.0,r/M=4,1.0070995904550586,2.2833885921647203
1,20.0,r/M=4,1.009323932098176,2.28336347577772
1,20.0,r/M=4,1.0115482737412933,2.2831419665097408
1,20.0,r/M=4,1.0137726153844107,2.2827233919835352
1,20.0,r/M=4,1.015996957027528,2.282107361897775
1,20.0,r/M=4,1.0182212986706451,2.2812937745798774
1,20.0,r/M=4,1.0204456403137625,2.2802828227425427
1,20.0,r/M=4,1.0226699819568799,2.2790749984418586
1,20.0,r/M=4,1.0248943235999972,2.27767109724263
1,20.0,r/M=4,1.0271186652431143,2.2760722215841565
1,20.0,r/M=4,1.0293430068862317,2.2742797833625
1,20.0,r/M=4,1.031567348529349,2.272295505740031
1,20.0,r/M=4,1.0337916901724664,2.270121424202852
1,20.0,r/M=4,1.0360160318155835,2.267759886882876
1,20.0,r/M=4,1.038240373458701,2.2652135541674663
1,20.0,r/M=4,1.0404647151018183,2.262485397629638
1,20.0,r/M=4,1.0426890567449356,2.2595786982992476
1,20.0,r/M=4,1.0449133983880527,2.25649704431248
1,20.0,r/M=4,1.04713774003117,2.2532443279650147
1,20.0,r/M=4,1.0493620816742875,2.2498247422026663
1,20.0,r/M=4,1.0515864233174048,2.2462427765808712
1,20.0,r/M=4,1.053810764960522,2.2425032127223368
1,20.0,r/M=4,1.0560351066036393,2.2386111193031994
1,20.0,r/M=4,1.0582594482467567,2.2345718465934805
1,20.0,r/M=4,1.060483789889874,2.2303910205794004
1,20.0,r/M=4,1.0627081315329912,2.226074536687747
1,20.0,r/M=4,1.0649324731761085,2.2216285531307527
1,20.0,r/M=4,1.0671568148192259,2.217059483890323
1,20.0,r/M=4,1.0693811564623432,2.2123739913521576
1,20.0,r/M=4,1.0716054981054604,2.2075789785942423
1,20.0,r/M=4,1.0738298397485777,2.2026815813404044
1,20.0,r/M=4,1.076054181391695,2.197689159569273
1,20.0,r/M=4,1.0782785230348124,2.192609288778248
1,20.0,r/M=4,1.0805028646779298,2.1874497508949644
1,20.0,r/M=4,1.082727206321047,2.1822185248130945
1,20.0,r/M=4,1.0849515479641643,2.176923776538918
1,20.0,r/M=4,1.0871758896072816,2.1715738489277268
1,20.0,r/M=4,1.089400231250399,2.166177250974614
1,20.0,r/M=4,1.091624572893516,2.160742646636085
1,20.0,r/M=4,1.0938489145366335,2.15527884314472
1,20.0,r/M=4,1.0960732561797508,2.1497947787796665
1,20.0,r/M=4,1.0982975978228682,2.144299510056797
1,20.0,r/M=4,1.1005219394659853,2.1388021982902035
1,20.0,r/M=4,1.1027462811091027,2.1333120954960476
1,20.0,r/M=4,1.10497062275222,2.1278385295847024
1,20.0,r/M=4,1.1071949643953374,2.122390888808594
1,20.0,r/M=4,1.1094193060384545,2.116978605430776
1,20.0,r/M=4,1.1116436476815719,2.1116111385637577
1,20.0,r/M=4,1.1138679893246892,2.106297956165568
1,20.0,r/M=4,1.1160923309678066,2.101048516161838
1,20.0,r/M=4,1.1183166726109237,2.0958722466669797
1,20.0,r/M=4,1.120541014254041,2.09077852530303
1,20.0,r/M=4,1.1227653558971584,2.085776657616158
1,20.0,r/M=4,1.1249896975402758,2.080875854589714
1,20.0,r/M=4,1.127214039183393,2.076085209282658
1,20.0,r/M=4,1.1294383808265103,2.0714136726248236
1,20.0,r/M=4,1.1316627224696276,2.0668700284147845
1,20.0,r/M=4,1.133887064112745,2.0624628675854795
1,20.0,r/M=4,1.1361114057558621,2.0582005618138752
1,20.0,r/M=4,1.1383357473989795,2.054091236567054
