ell,resolution,observer,U_over_M,n_eff
0,2048,r/M=20,208.0774112776047,-2.8457978388685317
0,2048,r/M=20,208.12741127760466,-2.845826058168744
0,2048,r/M=20,208.17741127760462,-2.845854254612528
0,2048,r/M=20,208.22741127760457,-2.845882428215089
0,2048,r/M=20,208.27741127760453,-2.8459105790032844
0,2048,r/M=20,208.32741127760448,-2.8459387070393194
0,2048,r/M=20,208.37741127760444,-2.845966812352685
0,2048,r/M=20,208.4274112776044,-2.84599489491346
0,2048,r/M=20,208.47741127760435,-2.8460229548425877
0,2048,r/M=20,208.5274112776043,-2.8460509921483186
0,2048,r/M=20,208.57741127760426,-2.846079006826854
0,2048,r/M=20,208.6274112776042,-2.84610699894831
0,2048,r/M=20,208.67741127760416,-2.846134968544117
0,2048,r/M=20,208.72741127760412,-2.846162915624772
0,2048,r/M=20,208.77741127760407,-2.846190840245086
0,2048,r/M=20,208.82741127760403,-2.846218742409271
0,2048,r/M=20,208.87741127760398,-2.846246622201489
0,2048,r/M=20,208.92741127760394,-2.8462744796523394
0,2048,r/M=20,208.9774112776039,-2.846302314738796
0,2048,r/M=20,209.02741127760385,-2.8463301275237542
0,2048,r/M=20,209.0774112776038,-2.846357918040258
0,2048,r/M=20,209.12741127760376,-2.846385686368734
0,2048,r/M=20,209.1774112776037,-2.8464134325032817
0,2048,r/M=20,209.22741127760366,-2.846441156458609
0,2048,r/M=20,209.27741127760362,-2.8464688582849265
0,2048,r/M=20,209.32741127760357,-2.8464965380322953
0,2048,r/M=20,209.37741127760353,-2.846524195720871
0,2048,r/M=20,209.42741127760348,-2.846551831394439
0,2048,r/M=20,209.47741127760344,-2.84657944512342
0,2048,r/M=20,209.5274112776034,-2.8466070368619802
0,2048,r/M=20,209.57741127760335,-2.8466346066831734
0,2048,r/M=20,209.6274112776033,-2.8466621546688637
0,2048,r/M=20,209.67741127760326,-2.8466896808173643
0,2048,r/M=20,209.7274112776032,-2.8467171851625537
0,2048,r/M=20,209.77741127760316,-2.8467446677113157
0,2048,r/M=20,209.82741127760312,-2.8467721285478715
0,2048,r/M=20,209.87741127760307,-2.8467995677086053
0,2048,r/M=20,209.92741127760303,-2.846826985217805
0,2048,r/M=20,209.97741127760298,-2.846854381135395
0,2048,r/M=20,210.02741127760294,-2.846881755476388
0,2048,r/M=20,210.0774112776029,-2.846909108258601
0,2048,r/M=20,210.12741127760285,-2.8469364395534225
0,2048,r/M=20,210.1774112776028,-2.846963749399257
0,2048,r/M=20,210.22741127760276,-2.8469910378463013
0,2048,r/M=20,210.2774112776027,-2.8470183049087434
0,2048,r/M=20,210.32741127760266,-2.8470455506543932
0,2048,r/M=20,210.37741127760262,-2.847072775118041
0,2048,r/M=20,210.42741127760257,-2.847099978325346
