radius,G
2.5500000000000003,0.0
2.552876198416007,0.0
2.5557523968320135,0.0
2.5586285952480203,0.0
2.5615047936640267,0.0
2.5643809920800336,0.0
2.5672571904960404,0.0
2.570133388912047,0.0
2.5730095873280536,0.0
2.5758857857440605,0.0
2.578761984160067,0.0
2.5816381825760737,0.0
2.58451438099208,0.0
2.587390579408087,0.0
2.5902667778240938,0.0
2.5931429762401,0.0
2.596019174656107,0.0
2.598895373072114,0.0
2.60177157148812,0.0
2.604647769904127,0.0
2.6075239683201334,0.0
2.6104001667361403,0.0
2.613276365152147,0.0
2.6161525635681535,0.0
2.6190287619841603,0.0
2.621904960400167,0.0
2.6247811588161736,0.0
2.6276573572321804,0.0
2.630533555648187,0.0
2.6334097540641936,0.0
2.6362859524802005,0.0
2.639162150896207,0.0
2.6420383493122137,0.0
2.6449145477282205,0.0
2.647790746144227,0.0
2.6506669445602338,0.0
2.65354314297624,0.0
2.656419341392247,0.0
2.659295539808254,0.0
2.6621717382242602,0.0
2.665047936640267,0.0
2.667924135056274,0.0
2.6708003334722803,0.0
2.673676531888287,0.0
2.6765527303042935,0.0
2.6794289287203004,0.0
2.682305127136307,0.0
2.6851813255523136,0.0
2.6880575239683204,0.0
2.690933722384327,0.0
2.6938099208003337,0.0
2.6966861192163405,0.0
2.699562317632347,0.0
2.7024385160483537,0.0
2.7053147144643606,0.0
2.708190912880367,0.0
2.711067111296374,0.0
2.71394330971238,0.0
2.716819508128387,0.0
2.719695706544394,0.0
2.7225719049604002,0.0
2.725448103376407,0.0
2.728324301792414,0.0
2.7312005002084203,0.0
2.734076698624427,0.0
2.7369528970404335,0.0
2.7398290954564404,0.0
2.742705293872447,0.0
2.7455814922884536,0.0
2.7484576907044604,0.0
2.7513338891204673,0.0
2.7542100875364737,0.0
2.7570862859524805,0.0
2.759962484368487,0.0
2.7628386827844937,0.0
2.7657148812005006,0.0
2.768591079616507,0.0
2.771467278032514,0.0
2.7743434764485206,0.0
2.777219674864527,0.0
2.780095873280534,0.0
2.7829720716965403,0.0
2.785848270112547,0.0
2.788724468528554,0.0
2.7916006669445603,0.0
2.794476865360567,0.0
2.7973530637765736,0.0
2.8002292621925804,0.0
2.8031054606085872,0.0
2.8059816590245936,0.0
2.8088578574406005,0.0
2.8117340558566073,0.0
2.8146102542726137,0.0
2.8174864526886205,0.0
2.8203626511046274,0.0
2.8232388495206338,0.0
2.8261150479366406,0.0
2.828991246352647,0.0
2.831867444768654,0.0
2.8347436431846607,0.0
