ell,resolution,timestep,expected_scri_power,measured_scri_power,scri_r_squared,scri_status,expected_horizon_power,measured_horizon_power,horizon_r_squared,horizon_status,maximum_constraint_linf
0,1024,0.005,2,2.0250853078330273,0.9999937531353823,validated,3,3.10564744062356,0.999919077921016,validated,1.5926896011319463e-09
1,1024,0.005,3,2.984221040372153,0.9993770037858408,validated,5,8.639410821816782,0.920476616896235,unresolved,7.550667420491253e-10
2,2048,0.0025,4,4.02933256703824,0.9997909405522679,validated,7,14.105188021726752,0.9165861930665516,unresolved,2.717910383308138e-09
