tau,u_rho_0_r_2.0914885,u_rho_0.25_r_3.765829,u_rho_0.5_r_5.4401696,u_rho_0.75_r_7.1145101,u_rho_1_r_8.7888507
0.0,1.457167719820518e-16,0.0006600401974941605,0.6327368805949284,6.982860527651735e-08,-4.163336342344337e-17
0.04,9.284240043427872e-15,0.0006663734194284343,0.6326458928971572,7.17435273030198e-08,-2.0261570199409107e-15
0.08,1.8443579996585413e-14,0.0006852814915339137,0.6322923610907718,7.901228231410595e-08,-3.7539416020138106e-15
0.12000000000000001,2.73600586631062e-14,0.0007167569219733681,0.6315488987797585,9.511557363950374e-08,-5.80785419757035e-15
0.16,3.602673714908633e-14,0.0007609714600798623,0.6302865680732284,1.257970332103897e-07,-7.500944310123714e-15
0.19999999999999998,4.4325654258159375e-14,0.0008182700037124464,0.6283779082127541,1.8038593628186272e-07,-9.020562075079397e-15
0.23999999999999996,5.2138848793958914e-14,0.0008891661121348225,0.6256999699109622,2.738111381378472e-07,-1.0422218643668657e-14
0.27999999999999997,5.940387071134978e-14,0.0009743389826710677,0.6221372585986361,4.2962047116720803e-07,-1.1664280652468051e-14
0.32,6.618317005546714e-14,0.0010746317529240976,0.617584493835283,6.844384501381029e-07,-1.2399803406282217e-14
0.36000000000000004,7.235184673604067e-14,0.0011910509939590391,0.6119491000237465,1.0944471101476116e-06,-1.284389261613228e-14
0.4000000000000001,7.770173393595314e-14,0.00132476726336727,0.6051533547968438,1.744664598665735e-06,-1.3197776205231548e-14
0.4400000000000001,8.251038741136085e-14,0.0014771165903255945,0.5971361353716532,2.762026593355893e-06,-1.2878587085651816e-14
0.48000000000000015,8.644474025487625e-14,0.0016496027675625725,0.5878542190431822,4.333546829275031e-06,-1.2663481374630692e-14
0.5200000000000001,8.952907859516301e-14,0.001843900327448203,0.5772831110006027,6.731140853279832e-06,-1.1848161340921592e-14
0.5600000000000002,9.239831122442865e-14,0.0020618580811913156,0.5654173899711671,1.0345031677641559e-05,-1.066507993030541e-14
0.6000000000000002,9.439671266875393e-14,0.002305503101361569,0.5522705790393849,1.5727999896028924e-05,-9.117706589734098e-15
0.6400000000000002,9.59926582666526e-14,0.0025770450286621803,0.5378745646379055,2.3653067705941763e-05,-7.226858000919378e-15
0.6800000000000003,9.722431193459613e-14,0.0028788805840978485,0.5222786005565535,3.518747975019346e-05,-4.812122922359663e-15
0.7200000000000003,9.823045155066268e-14,0.00321359816748909,0.5055479453944512,5.1786016875332574e-05,-1.8457457784393227e-15
0.7600000000000003,9.879250195687916e-14,0.0035839824227324422,0.4877621908608496,7.5406695174033e-05,1.4051260155412137e-15
0.8000000000000004,9.946557466555817e-14,0.003993018649392575,0.469013344537231,0.00010865169762950405,5.054984208996416e-15
0.8400000000000004,1.0026701691145945e-13,0.0044438969392429535,0.44940373411590795,0.00015493589090582321,9.419548474554063e-15
0.8800000000000004,1.0114131754335176e-13,0.004940015915330838,0.4290438008307062,0.0002186844282280609,1.4509227153070015e-14
0.9200000000000005,1.0253256577108516e-13,0.005484985950168171,0.4080498480092668,0.00030555967241445436,2.1135870831301418e-14
0.9600000000000005,1.0486750356974994e-13,0.006082631738830273,0.3865418067106728,0.00042271594959228387,3.144012827860365e-14
1.0000000000000004,1.0826756158266448e-13,0.00673699410222145,0.36464107463871437,0.0005790784492900394,4.9672072011119894e-14
1.0400000000000005,1.1364520435819259e-13,0.007452330895642782,0.3424684773520642,0.0007856399419928148,8.593126210598712e-14
1.0800000000000005,1.2145492944704017e-13,0.008233116898189285,0.32014239265484556,0.0010557659572133088,1.640493296761747e-13
1.1200000000000006,1.3279655153297654e-13,0.009084042559541157,0.2977770703640398,0.001405495771164958,3.3490918371903433e-13
1.1600000000000006,1.4863804631559674e-13,0.010010011482482276,0.2754811708069382,0.0018538231647091327,7.084680064828319e-13
1.2000000000000006,1.70908426300187e-13,0.011016136522105355,0.25335653675389114,0.00242293765309258,1.5189204061183403e-12
1.2400000000000007,2.0185242366466127e-13,0.012107734386227656,0.23149720533794974,0.003138404027630118,3.2546257355825503e-12
1.2800000000000007,2.4426294320534225e-13,0.013290318626140447,0.20998865909355552,0.004029255885935848,6.915440442512022e-12
1.3200000000000007,3.0204311274317774e-13,0.014569590912520206,0.18890730873918776,0.005127977673761136,1.4517474028474808e-11
1.3600000000000008,3.801785275481251e-13,0.01595143049821455,0.1683201948507582,0.00647034991804718,3.005812265755026e-11
