ell,L,resolution,timestep,schwarzschild_scri_power,schwarzschild_scri_r_squared,sds_tail_metric,sds_tail_metric_kind,reference_relative_l2_to_finest,sds_relative_l2_to_finest,sds_tail_relative_l2_to_finest,reference_max_constraint,sds_max_constraint
1,160.0,256,0.01,0.5128186515936827,0.5614706843175736,nan,gamma_over_kappa,0.0006274877849258162,0.0037635910583286654,436.3596259667594,7.382204355332635e-10,1.3631613077029603e-09
1,160.0,512,0.005,3.6066267926270394,0.9892350732173731,nan,gamma_over_kappa,2.2687761176603418e-05,0.000159522276461407,18.576893785783607,1.3109103214248826e-10,3.332210162553102e-10
1,160.0,1024,0.005,3.002680133192351,0.9999567165863112,1.0911169589340772,gamma_over_kappa,0.0,0.0,0.0,1.6323873432565101e-09,5.401965808442626e-10
