ell,L,resolution,timestep,schwarzschild_scri_power,gamma_over_kappa,reference_relative_l2_to_finest,sds_relative_l2_to_finest,sds_tail_relative_l2_to_finest
1,160.0,1024,0.01,2.984220851096196,1.0612921306396996,2.8566654517969625e-05,2.7342805533562295e-05,4.7744995041025396e-08
1,160.0,1024,0.005,2.984221040372153,1.061292045608606,0.0,0.0,0.0
