L_over_M,minimum,minimal,linear,modified_linear,mavrogiannis,slow_roll
10,0.0189864840,0.0633529470,0.0089170576,0.0589354151,0.0742066581,0.0192908044
20,0.0066359324,0.0660969285,0.0023764417,0.0633519013,0.0781340947,0.0051268593
40,0.0020002056,0.0649832740,0.0006096215,0.0635072084,0.0769686521,0.0012747434
80,0.0005556800,0.0639042933,0.0001543168,0.0631436109,0.0757265616,0.0003160332
160,0.0001470713,0.0632419509,0.0000388197,0.0628563383,0.0749504938,0.0000785910
320,0.0000378797,0.0628808303,0.0000097352,0.0626867547,0.0745247006,0.0000195909
