L_over_M,minimum,minimal,linear,modified_linear,mavrogiannis,slow_roll
10,7.23429670213,2.25430368078,13.0331022216,1.78396733597,2.89176355553,6.70655055055
20,13.2304469421,2.46185011031,29.1867216381,2.02534685890,3.28480402486,14.5707165016
40,22.7722095559,2.59738946317,59.2787089296,2.26098424485,3.52582790208,29.5630251545
80,39.3364011600,2.67913697259,117.275641979,2.44621788811,3.66696559399,58.5652498000
160,69.8062586633,2.72427245802,230.835559580,2.57407559876,3.74394451490,115.363939258
320,128.019298588,2.74801571650,455.357551813,2.65575363687,3.78421660665,227.643054017
