study,resolution,timestep,end_time,relative_l2,difference_to_next,observed_order
spatial,48,0.02,200.0,0.0895517839730354,0.0891380319307607,
spatial,64,0.02,200.0,0.0004408289735457885,0.00044082869209401186,
spatial,96,0.02,200.0,3.038352489934136e-10,3.038352489934136e-10,
spatial,128,0.02,200.0,0.0,,
temporal,128,0.04,200.0,0.007737773332323365,0.006529309199688921,2.4525047907657673
temporal,128,0.02,200.0,0.0014909323255612942,0.0011928606953585913,2.000700670174586
temporal,128,0.01,200.0,0.0002980703755697591,0.0002980703755697591,
temporal,128,0.005,200.0,0.0,,
