observer,price_target,trusted_until_U_over_M,trusted_until_kappa_U,median_spatial_convergence_ratio,floor_safety_factor,amplitude_at_trusted_end
r8M,5.0,2261.578972124863,0.44154203920251844,1204.8237378814238,10.0,6.606742124247191e-13
r16M,5.0,3503.3289721519677,0.683976565676982,998.4253107346834,10.0,2.821790849033481e-13
outer,3.0,4501.37897209951,0.8788320350789062,3061.625785650053,10.0,1.5594548810510208e-10
