observer,resolution,timestep_over_M,exponential_scaled_window,floor_multiplier,floor_fraction_of_waveform_peak,departure_U_over_M,entry_U_over_M,departure_kappa_U,entry_kappa_U,crossover_duration_U_over_M,cosmological_rate_relative_tolerance,minimum_cosmological_scaled_duration,status,floor_source,cosmological_entry_without_price_anchor_U_over_M,cosmological_entry_without_price_anchor_kappa_U,cosmological_entry_anchor,trusted_until_U_over_M
r8M,3072,0.0025,0.15,10.0,2.220446049250313e-12,940.5800107598247,,0.3059789403714623,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,960.5800107602613
r8M,3072,0.0025,0.15,100.0,2.220446049250313e-11,940.5800107598247,,0.3059789403714623,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,1076.2800107627866
r8M,3072,0.0025,0.15,1000.0,2.220446049250313e-10,661.2300107537271,,0.21510393131658703,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,681.2300107541637
r8M,3072,0.0025,0.25,10.0,2.220446049250313e-12,940.5800107598247,,0.3059789403714623,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,960.5800107602613
r8M,3072,0.0025,0.25,100.0,2.220446049250313e-11,940.5800107598247,,0.3059789403714623,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,1076.2800107627866
r8M,3072,0.0025,0.25,1000.0,2.220446049250313e-10,661.2300107537271,,0.21510393131658703,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,681.2300107541637
r8M,3072,0.0025,0.4,10.0,2.220446049250313e-12,940.5800107598247,,0.3059789403714623,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,960.5800107602613
r8M,3072,0.0025,0.4,100.0,2.220446049250313e-11,940.5800107598247,,0.3059789403714623,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,1076.2800107627866
r8M,3072,0.0025,0.4,1000.0,2.220446049250313e-10,661.2300107537271,,0.21510393131658703,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,681.2300107541637
r16M,3072,0.0025,0.15,10.0,2.220446049250313e-12,1180.480010765061,,0.38402051786301244,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,1200.4800107654976
