observer,price_target,trusted_until_U_over_M,trusted_until_kappa_U,median_spatial_convergence_ratio,floor_safety_factor,amplitude_at_trusted_end
r8M,5.0,960.5800107602613,0.3124851160689654,2.8985784315676373,10.0,4.457062986483989e-11
r16M,5.0,1200.4800107654976,0.3905266935605156,4.016810451957283,10.0,5.938627988158346e-11
outer,3.0,1983.580010782591,0.6452760029962514,2.662047148666929,10.0,4.100215057084858e-09
