observer,resolution,timestep_over_M,exponential_scaled_window,floor_multiplier,floor_fraction_of_waveform_peak,departure_U_over_M,entry_U_over_M,departure_kappa_U,entry_kappa_U,crossover_duration_U_over_M,cosmological_rate_relative_tolerance,minimum_cosmological_scaled_duration,status,floor_source,cosmological_entry_without_price_anchor_U_over_M,cosmological_entry_without_price_anchor_kappa_U,cosmological_entry_anchor,trusted_until_U_over_M
r8M,3072,0.0025,0.15,10.0,2.220446049250313e-12,1358.3789721051483,,0.2652047214560031,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,1716.078972112956
r8M,3072,0.0025,0.15,100.0,2.220446049250313e-11,1062.6789720986937,,0.2074733830396561,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,1082.6789720991303
r8M,3072,0.0025,0.15,1000.0,2.220446049250313e-10,662.7289720899637,,0.12938867286171232,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,682.7289720904002
r8M,3072,0.0025,0.25,10.0,2.220446049250313e-12,1358.3789721051483,,0.2652047214560031,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,1716.078972112956
r8M,3072,0.0025,0.25,100.0,2.220446049250313e-11,1062.6789720986937,,0.2074733830396561,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,1082.6789720991303
r8M,3072,0.0025,0.25,1000.0,2.220446049250313e-10,662.7289720899637,,0.12938867286171232,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,682.7289720904002
r8M,3072,0.0025,0.4,10.0,2.220446049250313e-12,1358.3789721051483,,0.2652047214560031,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,1716.078972112956
r8M,3072,0.0025,0.4,100.0,2.220446049250313e-11,1062.6789720986937,,0.2074733830396561,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,1082.6789720991303
r8M,3072,0.0025,0.4,1000.0,2.220446049250313e-10,662.7289720899637,,0.12938867286171232,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,682.7289720904002
r16M,3072,0.0025,0.15,10.0,2.220446049250313e-12,1453.3289721072208,,0.2837423967439035,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,2306.6289721258463
r16M,3072,0.0025,0.15,100.0,2.220446049250313e-11,1441.2789721069578,,0.28138980077529685,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,1461.2789721073943
r16M,3072,0.0025,0.15,1000.0,2.220446049250313e-10,900.3789720951511,,0.17578655103095434,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,920.3789720955876
r16M,3072,0.0025,0.25,10.0,2.220446049250313e-12,1453.3289721072208,,0.2837423967439035,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,2306.6289721258463
r16M,3072,0.0025,0.25,100.0,2.220446049250313e-11,1441.2789721069578,,0.28138980077529685,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,1461.2789721073943
r16M,3072,0.0025,0.25,1000.0,2.220446049250313e-10,900.3789720951511,,0.17578655103095434,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,920.3789720955876
r16M,3072,0.0025,0.4,10.0,2.220446049250313e-12,1453.3289721072208,,0.2837423967439035,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,2306.6289721258463
r16M,3072,0.0025,0.4,100.0,2.220446049250313e-11,1441.2789721069578,,0.28138980077529685,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,1461.2789721073943
r16M,3072,0.0025,0.4,1000.0,2.220446049250313e-10,900.3789720951511,,0.17578655103095434,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,920.3789720955876
