length_over_M,observer,price_target,kappa_c,price_departure_U_over_M,price_departure_kappa_U,price_established,cosmological_entry_U_over_M,cosmological_entry_unanchored_U_over_M,cosmological_entry_unanchored_kappa_U,cosmological_regime_resolved,trusted_until_U_over_M,trusted_until_kappa_U,reference_trusted_until_U_over_M,cosmological_needs_kappa_U,cosmological_scaled_time_reached,cosmological_reachable,both_regimes_resolved,median_convergence_ratio,floor_safety_factor,required_price_duration_over_M,status
640.0,r8M,5.0,0.0015576037761352375,367.7898037562698,0.5728707871548038,True,,,,False,828.4398037631086,1.290380966642153,971.0274112874109,3.0,1.290380966642153,False,False,10.23253802023334,10.0,150.0,no_cosmological_entry_before_ladder_floor
640.0,r16M,5.0,0.0015576037761352375,,,False,,,,False,950.8398037657803,1.4810316688452676,1175.6274112918768,3.0,1.4810316688452676,False,False,8.174069825228855,10.0,150.0,no_resolved_price_interval
640.0,outer,3.0,0.0015576037761352375,,,False,,1455.2398037767903,2.2666870135450305,True,2029.8398037893326,3.161686143331874,2563.027411322161,3.0,3.161686143331874,True,False,9.98384262412436,10.0,150.0,no_resolved_price_interval
1280.0,r8M,5.0,0.0007800276242096952,733.8836343043855,0.5724495077128265,True,,,,False,911.6336343082654,0.7110994179191263,971.0274112874109,3.0,0.7110994179191263,False,False,11.474467486331799,10.0,150.0,no_cosmological_entry_before_ladder_floor
1280.0,r16M,5.0,0.0007800276242096952,731.933634304343,0.5709284538455844,True,,,,False,1111.8836343126363,0.8672999496705273,1175.6274112918768,3.0,0.8672999496705273,False,False,11.04946604203558,10.0,150.0,no_cosmological_entry_before_ladder_floor
1280.0,outer,3.0,0.0007800276242096952,,,False,,,,False,1262.6336343159269,0.9848891140227055,4649.127411266578,3.0,0.9848891140227055,False,False,10.000236067430015,10.0,150.0,no_resolved_price_interval
2560.0,r8M,5.0,0.0003903196153693519,878.4305295286712,0.34286866641432706,True,,,,False,898.4305295291077,0.3506750587218845,971.0274112874109,3.0,0.3506750587218845,False,False,3.4983027332666397,10.0,150.0,no_cosmological_entry_before_ladder_floor
2560.0,r16M,5.0,0.0003903196153693519,1092.33052953334,0.4263580321436538,True,,,,False,1112.3305295337766,0.43416442445121123,1175.6274112918768,3.0,0.43416442445121123,False,False,3.554047602935648,10.0,150.0,no_cosmological_entry_before_ladder_floor
2560.0,outer,3.0,0.0003903196153693519,,,False,,,,False,1822.630529549281,0.7114084472541136,4649.327411266546,3.0,0.7114084472541136,False,False,3.2644488159096947,10.0,150.0,no_resolved_price_interval
5120.0,r8M,5.0,0.0001952361799630938,1062.6789720986937,0.2074733830396561,True,,,,False,2261.578972124863,0.44154203920251844,971.0274112874109,3.0,0.44154203920251844,False,False,4660.771989348336,10.0,150.0,no_cosmological_entry_before_ladder_floor
5120.0,r16M,5.0,0.0001952361799630938,1441.2789721069578,0.28138980077529685,True,,,,False,3503.3289721519677,0.683976565676982,1175.6274112918768,3.0,0.683976565676982,False,False,3440.7704027413715,10.0,150.0,no_cosmological_entry_before_ladder_floor
5120.0,outer,3.0,0.0001952361799630938,668.0789720900805,0.13043318642453766,True,,,,False,4501.37897209951,0.8788320350789062,4648.877411266618,3.0,0.8788320350789062,False,False,3246.0247938953908,10.0,150.0,no_cosmological_entry_before_ladder_floor
