case,archive,observer_areal_radius_over_M,gamma_degrees,arrival_U_over_M,angular_ell_max,phase_degrees,amplitude,delay_over_M,variance_explained,window_start_U_over_M,window_end_U_over_M
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,12.0,160.0,42.92891127779641,50,8.397389703291026,0.5264474924711211,17.34,0.7897301636824676,34.92891127779641,56.92891127779641
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,12.0,170.0,44.75591127780513,50,39.85603247344732,0.8136351645498187,18.86,0.9583519932802245,36.75591127780513,57.22741127776022
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,12.0,175.0,44.818911277805434,50,41.349896917594954,0.9232270753745606,18.94,0.9545559523281452,36.818911277805434,57.22741127776022
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,12.0,180.0,44.82691127780547,50,41.695178780892924,0.9633956866501996,18.96,0.945791532294108,36.82691127780547,57.22741127776022
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,inf,0.0,26.67441127773694,50,-8.848401320355745e-15,1.000000000000002,0.0,1.0,18.67441127773694,40.67441127773694
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,inf,30.0,27.47291127773508,50,0.003058413930136001,0.9731779263783181,0.8,0.9987060807141708,19.47291127773508,41.47291127773508
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,inf,60.0,29.68691127773318,50,-0.27480329487738486,0.9198798519363214,3.04,0.9886264956862698,21.68691127773318,43.68691127773318
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,inf,90.0,32.942411277748725,50,-1.8314869859064258,0.884353032426402,6.28,0.9728046126706101,24.942411277748725,46.942411277748725
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,inf,120.0,36.680411277766574,50,-7.925550714802225,0.9026699248784401,9.92,0.9109147360278155,28.680411277766574,50.680411277766574
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,inf,140.0,39.204411277778625,50,-8.51591877809677,0.9778138661946055,12.48,0.8147783468003073,31.204411277778625,53.204411277778625
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,inf,150.0,40.45741127778461,50,-8.43970724867622,1.0718799893234032,13.76,0.7794264192153492,32.45741127778461,54.45741127778461
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,inf,160.0,41.78141127779093,50,2.0333239721596708,1.2975161945164462,15.38,0.7636677028181619,33.78141127779093,55.78141127779093
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,inf,170.0,43.807911277800606,50,39.525590108877225,2.0772075778425054,17.26,0.9535211650110641,35.807911277800606,57.22741127776022
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,inf,175.0,43.889911277801,50,41.59999843921939,2.404017638268293,17.36,0.9597094863076175,35.889911277801,57.22741127776022
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,inf,180.0,43.90091127780105,50,41.923604451990684,2.5251174768601863,17.38,0.9523965421437852,35.90091127780105,57.22741127776022
