arrival,gamma_degrees,null_ray_U_over_M,measured_U_over_M,difference_over_M,impact_parameter_over_M,turning_radius_over_M
direct,0.0,26.59155084183453,26.577363027388916,-0.0141878144456129,0.0,nan
antipodal,180.0,44.39271790416549,44.1458630274533,-0.24685487671218453,6.418190196016658,4.93315108702348
delay,nan,17.801167062330958,17.568500000064386,-0.23266706226657163,nan,nan
