setting,phase_degrees,amplitude,delay_over_M,variance_explained,window_start_U_over_M,window_end_U_over_M
primary,43.101199577177155,2.198012139376295,17.72,0.9463976551421219,36.1458630274533,57.32086302741175
inset_1M,44.07305106094392,2.2068006649017127,17.740000000000002,0.9491346957175469,37.1458630274533,57.1458630274533
expanded_1M,42.96037240042698,2.1930778833154934,17.72,0.9444209154797012,35.1458630274533,57.32086302741175
shift_early_1M,42.9636993726498,2.1931006997642575,17.72,0.9444319756352357,35.1458630274533,57.1458630274533
shift_late_1M,44.069387385650245,2.2067716185641655,17.740000000000002,0.9491212141058717,37.1458630274533,57.32086302741175
