ell,L_over_M,observer,kappa_c,status,configurations,resolved_configurations,kappa_c_U_departure_median,kappa_c_U_departure_minimum,kappa_c_U_departure_maximum,kappa_c_U_entry_median,kappa_c_U_entry_minimum,kappa_c_U_entry_maximum,U_over_M_departure_median,U_over_M_departure_minimum,U_over_M_departure_maximum,U_over_M_entry_median,U_over_M_entry_minimum,U_over_M_entry_maximum,final_rate_median,status_counts
1,20.0,r/M=4,0.04448683286232328,no_cosmological_entry,54,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.116280720815799,no_cosmological_entry=54
1,20.0,r/M=8,0.04448683286232328,no_cosmological_entry,54,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.156016152533944,no_cosmological_entry=54
1,20.0,r/M=16,0.04448683286232328,no_cosmological_entry,54,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.11055736813779,no_cosmological_entry=54
1,20.0,cosmological_horizon,0.04448683286232328,no_cosmological_entry,54,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0897868004801667,no_cosmological_entry=54
1,40.0,r/M=4,0.02369103827777671,no_cosmological_entry,54,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5054232571306048,no_cosmological_entry=54
1,40.0,r/M=8,0.02369103827777671,marginal,54,1,2.7269003520984496,2.7269003520984496,2.7269003520984496,4.271556047808087,4.271556047808087,4.271556047808087,115.10261053676184,115.10261053676184,115.10261053676184,180.30261053670256,180.30261053670256,180.30261053670256,1.0949460978613956,no_cosmological_entry=53;resolved=1
1,40.0,r/M=16,0.02369103827777671,marginal,54,18,1.9676025752963966,1.3006998477775886,2.9732871501871037,4.179160998524841,3.819057216702963,4.268002392066423,83.052610536791,54.90261053681659,125.5026105367524,176.40261053670608,161.20261053671993,180.1526105367027,1.0594754078408788,no_cosmological_entry=36;resolved=18
1,40.0,cosmological_horizon,0.02369103827777671,resolved,54,27,1.5328720228995893,1.1336780279194147,3.8853921238806772,3.6093915279448296,3.3132535494728903,4.164946375558189,64.70261053680768,47.852610536823,164.00261053671738,152.35261053672798,139.85261053673935,175.80261053670665,1.0525983699072943,no_cosmological_entry=19;no_schwarzschild_agreement=8;resolved=27
1,80.0,r/M=4,0.012180408993848391,resolved,54,54,1.649176987747863,1.25483624657238,2.026465156331974,2.975014506727055,2.6287863810772287,3.126965108925175,135.39586302732243,103.02086302735187,166.3708630272943,244.24586302722346,215.8208630272493,256.7208630272121,1.0225884963967384,resolved=54
1,80.0,r/M=8,0.012180408993848391,resolved,54,54,1.411963522592881,1.1506937496750709,1.7603232198166285,2.8349398032979254,2.5636211929601993,3.0660630639559883,115.92086302734012,94.47086302735964,144.52086302731414,232.7458630272339,210.47086302725415,251.72086302721664,1.0237001482454897,resolved=54
