ell,L_over_M,observer,smoothing_width_over_M,rms_fraction,persistence_kappa_c_U,tolerance,status,kappa_c_U_departure,kappa_c_U_entry,U_departure_over_M,U_entry_over_M,final_normalized_rate,resolved_end_kappa_c_U
1,20.0,r/M=4,45.0,0.4,0.15,0.05,no_cosmological_entry,1.7211132578951343,nan,38.68814988968965,nan,2.080552135159238,3.827564793924226
1,20.0,r/M=4,45.0,0.4,0.15,0.1,no_cosmological_entry,2.9622958947528253,nan,66.58814988966428,nan,2.080552135159238,3.827564793924226
1,20.0,r/M=4,45.0,0.4,0.15,0.2,no_cosmological_entry,3.827564793924226,nan,86.03814988964659,nan,2.080552135159238,3.827564793924226
1,20.0,r/M=4,45.0,0.4,0.25,0.05,no_cosmological_entry,1.7211132578951343,nan,38.68814988968965,nan,2.071474967727819,3.827564793924226
1,20.0,r/M=4,45.0,0.4,0.25,0.1,no_cosmological_entry,2.2015710528077888,nan,49.488149889679825,nan,2.071474967727819,3.827564793924226
1,20.0,r/M=4,45.0,0.4,0.25,0.2,no_cosmological_entry,3.827564793924226,nan,86.03814988964659,nan,2.071474967727819,3.827564793924226
1,20.0,r/M=4,45.0,0.4,0.4,0.05,no_cosmological_entry,nan,nan,nan,nan,2.1222412134058004,3.827564793924226
1,20.0,r/M=4,45.0,0.4,0.4,0.1,no_cosmological_entry,2.2015710528077888,nan,49.488149889679825,nan,2.1222412134058004,3.827564793924226
1,20.0,r/M=4,45.0,0.4,0.4,0.2,no_cosmological_entry,3.827564793924226,nan,86.03814988964659,nan,2.1222412134058004,3.827564793924226
1,20.0,r/M=4,45.0,0.6,0.15,0.05,no_cosmological_entry,1.9257526890616352,nan,43.288149889685464,nan,2.1904811250240153,3.627374046043953
1,20.0,r/M=4,45.0,0.6,0.15,0.1,no_cosmological_entry,3.1713840092055543,nan,71.28814988966,nan,2.1904811250240153,3.627374046043953
1,20.0,r/M=4,45.0,0.6,0.15,0.2,no_cosmological_entry,3.627374046043953,nan,81.53814988965068,nan,2.1904811250240153,3.627374046043953
1,20.0,r/M=4,45.0,0.6,0.25,0.05,no_cosmological_entry,1.9257526890616352,nan,43.288149889685464,nan,2.1080751301126055,3.627374046043953
1,20.0,r/M=4,45.0,0.6,0.25,0.1,no_cosmological_entry,2.88444393724383,nan,64.83814988966587,nan,2.1080751301126055,3.627374046043953
1,20.0,r/M=4,45.0,0.6,0.25,0.2,no_cosmological_entry,3.627374046043953,nan,81.53814988965068,nan,2.1080751301126055,3.627374046043953
1,20.0,r/M=4,45.0,0.6,0.4,0.05,no_cosmological_entry,nan,nan,nan,nan,2.098409429053505,3.627374046043953
1,20.0,r/M=4,45.0,0.6,0.4,0.1,no_cosmological_entry,2.4084348256174035,nan,54.13814988967559,nan,2.098409429053505,3.627374046043953
1,20.0,r/M=4,45.0,0.6,0.4,0.2,no_cosmological_entry,3.627374046043953,nan,81.53814988965068,nan,2.098409429053505,3.627374046043953
1,20.0,r/M=8,20.0,0.4,0.15,0.05,no_cosmological_entry,nan,nan,nan,nan,1.330513968420666,4.606084369014175
1,20.0,r/M=8,20.0,0.4,0.15,0.1,no_cosmological_entry,4.0233068585182705,nan,90.43814988964259,nan,1.330513968420666,4.606084369014175
1,20.0,r/M=8,20.0,0.4,0.15,0.2,no_cosmological_entry,4.083364082882352,nan,91.78814988964136,nan,1.330513968420666,4.606084369014175
1,20.0,r/M=8,20.0,0.4,0.25,0.05,no_cosmological_entry,nan,nan,nan,nan,1.3273981249695215,4.606084369014175
1,20.0,r/M=8,20.0,0.4,0.25,0.1,no_cosmological_entry,3.135794542915728,nan,70.48814988966073,nan,1.3273981249695215,4.606084369014175
1,20.0,r/M=8,20.0,0.4,0.25,0.2,no_cosmological_entry,4.083364082882352,nan,91.78814988964136,nan,1.3273981249695215,4.606084369014175
1,20.0,r/M=8,20.0,0.4,0.4,0.05,no_cosmological_entry,nan,nan,nan,nan,1.3621055192776264,4.606084369014175
1,20.0,r/M=8,20.0,0.4,0.4,0.1,no_cosmological_entry,nan,nan,nan,nan,1.3621055192776264,4.606084369014175
1,20.0,r/M=8,20.0,0.4,0.4,0.2,no_cosmological_entry,2.713169630724041,nan,60.988149889669366,nan,1.3621055192776264,4.606084369014175
1,20.0,r/M=8,20.0,0.6,0.15,0.05,no_cosmological_entry,1.6276909088843403,nan,36.58814988969156,nan,1.5252530032090927,4.517110703289609
1,20.0,r/M=8,20.0,0.6,0.15,0.1,no_cosmological_entry,4.187908140108717,nan,94.13814988963922,nan,1.5252530032090927,4.517110703289609
1,20.0,r/M=8,20.0,0.6,0.15,0.2,no_cosmological_entry,4.390323229632104,nan,98.6881498896351,nan,1.5252530032090927,4.517110703289609
1,20.0,r/M=8,20.0,0.6,0.25,0.05,no_cosmological_entry,1.6276909088843403,nan,36.58814988969156,nan,1.8141870763087247,4.517110703289609
1,20.0,r/M=8,20.0,0.6,0.25,0.1,no_cosmological_entry,3.28704977464749,nan,73.88814988965764,nan,1.8141870763087247,4.517110703289609
1,20.0,r/M=8,20.0,0.6,0.25,0.2,no_cosmological_entry,4.390323229632104,nan,98.6881498896351,nan,1.8141870763087247,4.517110703289609
1,20.0,r/M=8,20.0,0.6,0.4,0.05,no_cosmological_entry,nan,nan,nan,nan,2.237084337463923,4.517110703289609
1,20.0,r/M=8,20.0,0.6,0.4,0.1,no_cosmological_entry,nan,nan,nan,nan,2.237084337463923,4.517110703289609
1,20.0,r/M=8,20.0,0.6,0.4,0.2,no_cosmological_entry,4.390323229632104,nan,98.6881498896351,nan,2.237084337463923,4.517110703289609
1,20.0,r/M=8,30.0,0.4,0.15,0.05,no_cosmological_entry,4.294676538978195,nan,96.53814988963704,nan,2.2592807368649206,4.294676538978195
1,20.0,r/M=8,30.0,0.4,0.15,0.1,no_cosmological_entry,4.294676538978195,nan,96.53814988963704,nan,2.2592807368649206,4.294676538978195
1,20.0,r/M=8,30.0,0.4,0.15,0.2,no_cosmological_entry,4.294676538978195,nan,96.53814988963704,nan,2.2592807368649206,4.294676538978195
1,20.0,r/M=8,30.0,0.4,0.25,0.05,no_cosmological_entry,4.294676538978195,nan,96.53814988963704,nan,2.260168287895917,4.294676538978195
1,20.0,r/M=8,30.0,0.4,0.25,0.1,no_cosmological_entry,4.294676538978195,nan,96.53814988963704,nan,2.260168287895917,4.294676538978195
1,20.0,r/M=8,30.0,0.4,0.25,0.2,no_cosmological_entry,4.294676538978195,nan,96.53814988963704,nan,2.260168287895917,4.294676538978195
1,20.0,r/M=8,30.0,0.4,0.4,0.05,no_cosmological_entry,3.3938181735169684,nan,76.28814988965546,nan,2.2626937454881704,4.294676538978195
1,20.0,r/M=8,30.0,0.4,0.4,0.1,no_cosmological_entry,3.4249589565205665,nan,76.98814988965482,nan,2.2626937454881704,4.294676538978195
1,20.0,r/M=8,30.0,0.4,0.4,0.2,no_cosmological_entry,4.294676538978195,nan,96.53814988963704,nan,2.2626937454881704,4.294676538978195
1,20.0,r/M=8,30.0,0.6,0.15,0.05,no_cosmological_entry,3.4138372483049957,nan,76.73814988965505,nan,2.2320997374701133,4.161216040391347
1,20.0,r/M=8,30.0,0.6,0.15,0.1,no_cosmological_entry,4.161216040391347,nan,93.53814988963975,nan,2.2320997374701133,4.161216040391347
1,20.0,r/M=8,30.0,0.6,0.15,0.2,no_cosmological_entry,4.161216040391347,nan,93.53814988963975,nan,2.2320997374701133,4.161216040391347
1,20.0,r/M=8,30.0,0.6,0.25,0.05,no_cosmological_entry,nan,nan,nan,nan,2.3267760421700174,4.161216040391347
1,20.0,r/M=8,30.0,0.6,0.25,0.1,no_cosmological_entry,3.560643796750529,nan,80.03814988965205,nan,2.3267760421700174,4.161216040391347
1,20.0,r/M=8,30.0,0.6,0.25,0.2,no_cosmological_entry,4.161216040391347,nan,93.53814988963975,nan,2.3267760421700174,4.161216040391347
1,20.0,r/M=8,30.0,0.6,0.4,0.05,no_cosmological_entry,nan,nan,nan,nan,2.252444633414974,4.161216040391347
1,20.0,r/M=8,30.0,0.6,0.4,0.1,no_cosmological_entry,3.560643796750529,nan,80.03814988965205,nan,2.252444633414974,4.161216040391347
1,20.0,r/M=8,30.0,0.6,0.4,0.2,no_cosmological_entry,4.161216040391347,nan,93.53814988963975,nan,2.252444633414974,4.161216040391347
1,20.0,r/M=8,45.0,0.4,0.15,0.05,no_cosmological_entry,2.143738170086821,nan,48.18814988968101,nan,2.174500952826025,3.827564793924226
