L,Lambda,r_black_hole,r_cosmological,A_black_hole,A_cosmological,difference_l2,difference_relative_l2,difference_linf,max_constraint_linf,empirical_power_in_L
20.0,0.0075,2.0206251576202168,18.91298547847183,0.06609692854399704,0.1199354134458334,0.22676412574838686,0.36360738249216457,0.10270957420590549,3.151494478900348e-11,
40.0,0.001875,2.0050378793509025,38.959774129251116,0.06498327395794268,0.1237460621739298,0.09366604041111143,0.15018982244166465,0.033806349409323644,2.5119251286385247e-11,1.2755944390839777
80.0,0.00046875,2.0012523496262125,78.98059813298828,0.06390429325987625,0.1246872553698394,0.044956747865618464,0.07208638210664599,0.014036197611310669,2.7049558508874556e-11,1.058988402763895
160.0,0.0001171875,2.0003126465759937,158.99046547057517,0.06324195087983163,0.12492185973354561,0.02253925968948244,0.03614081897635507,0.007146176782222485,1.910724063521125e-11,0.9960975455302878
