background,L,q,q_minus_q_schwarzschild
Schwarzschild,infinity,2.772588722239781,0.0
Schwarzschild-de Sitter,20.0,2.461850110309174,-0.31073861193060726
Schwarzschild-de Sitter,40.0,2.597389463167362,-0.17519925907241918
Schwarzschild-de Sitter,80.0,2.6791369725882506,-0.09345174965153058
Schwarzschild-de Sitter,160.0,2.724272458022873,-0.048316264216908156
