U,schwarzschild_scri_plus,sds_L20_cosmological_horizon,difference_L20,sds_L40_cosmological_horizon,difference_L40,sds_L80_cosmological_horizon,difference_L80,sds_L160_cosmological_horizon,difference_L160
1.3774112777601748,-0.2652387481514998,-0.2637950521364159,0.001443696015083873,-0.26749208581799355,-0.002253337666493771,-0.2675455284639264,-0.002306780312426593,-0.2664611214659469,-0.0012223733144471338
1.4274112777601737,-0.27519994396788783,-0.27586462456918953,-0.0006646806013017037,-0.2786617053756231,-0.0034617614077352976,-0.27815143327091035,-0.0029514893030225253,-0.27674548990860703,-0.0015455459407192063
1.4774112777601727,-0.28468530940759684,-0.2876375020879254,-0.002952192680328536,-0.2894450289991485,-0.004759719591551637,-0.2883266575636132,-0.003641348156016355,-0.2865889052721331,-0.001903595864536256
1.5274112777601716,-0.2937003517423428,-0.29909144248579306,-0.005391090743450233,-0.2998056329118461,-0.006105281169503263,-0.2980290764443953,-0.004328724702052478,-0.295946357783604,-0.0022460060412611837
1.5774112777601705,-0.3021938804468778,-0.310200226685212,-0.008006346238334239,-0.3097144129777154,-0.00752053253083762,-0.30726569854920294,-0.005071818102325154,-0.30481353252563065,-0.0026196520787528654
1.6274112777601695,-0.3101404568082653,-0.32093550308541996,-0.010795046277154663,-0.31915488015577176,-0.009014423347506462,-0.31597266631506427,-0.005832209506798969,-0.3131478978768215,-0.003007441068556216
1.6774112777601684,-0.3175358481668628,-0.33127648408204374,-0.013740635915180932,-0.32808379185526,-0.010547943688397177,-0.32413901220434255,-0.006603164037479736,-0.3209202450025825,-0.003384396835719672
1.7274112777601673,-0.3243225692319508,-0.3411932939313377,-0.016870724699386885,-0.33648428323967833,-0.012161714007727531,-0.33175024598574876,-0.007427676753797963,-0.3281211683574473,-0.0037985991254965157
1.7774112777601663,-0.3304912735828916,-0.35066182265733536,-0.020170549074443767,-0.34432922831752427,-0.013837954734632674,-0.338744074088959,-0.008252800506067415,-0.3347017355167714,-0.0042104619338798055
1.8274112777601652,-0.3360242478572092,-0.3596587765625521,-0.023634528705342883,-0.35157824937051974,-0.015554001513310545,-0.3451253102518267,-0.009101062394617498,-0.34064465453035897,-0.0046204066731497795
1.8774112777601641,-0.3408668164199651,-0.3681537852272094,-0.027286968807244294,-0.3582195530655121,-0.01735273664554704,-0.35085868575316065,-0.009991869333195569,-0.3459315147537088,-0.0050646983337437335
1.927411277760163,-0.3450166017285588,-0.37612519853763127,-0.031108596809072464,-0.36421652000237803,-0.019199918273819228,-0.35589310341014707,-0.010876501681588269,-0.3505140030167745,-0.005497401288215686
1.977411277760162,-0.34844679278397594,-0.38354659389393714,-0.03509980110996119,-0.3695351598538844,-0.021088367069908465,-0.3602364873242476,-0.011789694540271678,-0.35438066869351825,-0.005933875909542308
2.027411277760161,-0.3511072216832626,-0.3903888671518097,-0.03928164546854712,-0.3741635479600585,-0.023056326276795935,-0.3638416444459707,-0.012734422762708142,-0.3575067051716552,-0.006399483488392643
2.07741127776016,-0.3529976464857355,-0.39663097616142323,-0.043633329675687726,-0.3780599617381752,-0.025062315252439682,-0.3666677356259024,-0.013670089140166874,-0.3598466087435375,-0.006848962257802016
2.127411277760159,-0.3540885449148007,-0.40224454083271416,-0.048155995917913474,-0.3811961962181561,-0.027107651303355407,-0.36872170163921314,-0.014633156724412455,-0.36139147745313777,-0.007302932538337081
2.1774112777601577,-0.3543332443776671,-0.4072021399844483,-0.05286889560678121,-0.38355953015976063,-0.02922628578209352,-0.36995291019093174,-0.015619665813264627,-0.36211509102107514,-0.00778184664340803
