r,u,du_dr
2.3499999999999996,0.0,0.0
2.3532999999999995,0.0,0.0
2.3566,0.0,0.0
2.3598999999999997,0.0,0.0
2.3631999999999995,0.0,0.0
2.3665,0.0,0.0
2.3697999999999997,0.0,0.0
2.3730999999999995,0.0,0.0
2.3764,0.0,0.0
2.3796999999999997,0.0,0.0
2.3829999999999996,0.0,0.0
2.3863,0.0,0.0
2.3895999999999997,0.0,0.0
2.3928999999999996,0.0,0.0
2.3961999999999994,0.0,0.0
2.3994999999999997,0.0,0.0
2.4027999999999996,0.0,0.0
2.4060999999999995,0.0,0.0
2.4093999999999998,0.0,0.0
2.4126999999999996,0.0,0.0
2.4159999999999995,0.0,0.0
2.4193,0.0,0.0
2.4225999999999996,0.0,0.0
2.4258999999999995,0.0,0.0
2.4292,0.0,0.0
2.4324999999999997,0.0,0.0
2.4357999999999995,0.0,0.0
2.4391,0.0,0.0
2.4423999999999997,0.0,0.0
2.4456999999999995,0.0,0.0
2.449,0.0,0.0
2.4522999999999997,0.0,0.0
2.4555999999999996,0.0,0.0
2.4589,0.0,0.0
2.4621999999999997,0.0,0.0
2.4654999999999996,0.0,0.0
2.4688,0.0,0.0
2.4720999999999997,0.0,0.0
2.4753999999999996,0.0,0.0
2.4787,0.0,0.0
2.4819999999999998,0.0,0.0
2.4852999999999996,0.0,0.0
2.4885999999999995,0.0,0.0
2.4919,0.0,0.0
2.4951999999999996,0.0,0.0
2.4984999999999995,0.0,0.0
2.5018,2.3421869224245614e-181,5.421727032928443e-176
2.5050999999999997,2.8754140994393152e-64,8.291250753076711e-60
2.5083999999999995,3.54097592983503e-39,3.763762768352174e-35
2.5117,3.061300065918397e-28,1.6772151754449808e-24
2.5149999999999997,4.0780370786032776e-22,1.3593113668231994e-18
2.5182999999999995,3.358151779206156e-18,7.520436450421264e-15
2.5216,1.7589923535450967e-15,2.827449588448622e-12
2.5248999999999997,1.7524799771740486e-13,2.119752769521422e-10
2.5281999999999996,5.947102555330336e-12,5.6082758498848274e-09
2.5315,9.643261279709192e-11,7.288114457264361e-08
2.5347999999999997,9.218319528216044e-10,5.708141241128039e-07
2.5380999999999996,5.959643272534939e-09,3.0786456864933187e-06
2.5414,2.8611980586851467e-08,1.2517668802618415e-05
2.5446999999999997,1.08957838540132e-07,4.088889071033727e-05
2.5479999999999996,3.4522652518133045e-07,0.00011234871410917608
