tau,u_rho_0.5,u_rho_0.75,u_rho_0.9,u_rho_0.95,u_rho_1
0.0,1.0000000000000004,3.2937141564725997e-09,-3.3048732718751446e-17,-3.880408403028943e-17,3.888075123961751e-17
0.1,0.9731852905259127,2.873566918746781e-08,3.252606517456513e-17,2.5673907444456745e-16,-1.9081958235744878e-17
0.19999999999999998,0.9013190776916864,3.4164953844825763e-07,-2.0903417885520525e-16,2.2898349882893854e-16,-6.539907504432563e-16
0.3,0.8023036492624103,3.241678003692433e-06,3.972516759986888e-16,6.401129626354418e-16,-8.690964614643804e-16
0.4000000000000001,0.6948343606174063,2.4072624306460677e-05,2.7587307438459163e-14,7.806255641895632e-16,-7.407269242420966e-16
0.5000000000000001,0.5929832233144249,0.0001420480115317882,1.2417671058084778e-12,1.078998002057574e-15,-8.673617379884035e-16
0.6000000000000002,0.504229134394976,0.0006766147993118622,3.909670850954505e-11,1.8183371475188892e-14,-1.1275702593849246e-15
0.7000000000000003,0.4303521184180576,0.002639521644472523,8.898601100773562e-10,7.929525092098544e-13,-9.818534874028728e-16
0.8000000000000004,0.3696326867577182,0.008545567592694488,1.500261575734796e-08,2.5395240597914093e-11,1.5452916724001398e-14
0.9000000000000005,0.31899425365898815,0.023242342152937023,1.9139379133989443e-07,5.911883968479081e-10,7.480717434393824e-13
1.0000000000000004,0.27542411954924595,0.053705793902012806,1.8831025668762658e-06,1.022431096731058e-08,2.364401383014858e-11
1.1000000000000005,0.23661684931409402,0.10652818457940487,1.4537086966838475e-05,1.3404572702345463e-07,5.448068524094296e-10
1.2000000000000006,0.20108010567030327,0.18312381617464696,8.944334644961013e-05,1.3567530024235358e-06,9.370610638131938e-09
1.3000000000000007,0.16798021873105326,0.27518292281110734,0.00044497638928839983,1.0779029010522106e-05,1.2263273915097406e-07
1.4000000000000008,0.13692165380092106,0.36427685641181484,0.001813906522423055,6.824819559240677e-05,1.242445099094991e-06
1.5000000000000009,0.10775651989481896,0.42754241261300807,0.006133825958722604,0.00034924114416685914,9.900695424652078e-06
1.600000000000001,0.08045247321046038,0.4469928279826333,0.017404354964417314,0.0014632841427651144,6.296824398891593e-05
1.700000000000001,0.05501402325048993,0.41702403799224497,0.04188081859458774,0.005081063711258799,0.00032399125289817726
1.8000000000000012,0.03144191902549571,0.34585992868424575,0.08631481266425994,0.014787701179816364,0.0013657932070683873
1.9000000000000012,0.009715977235672272,0.2508448121073773,0.15374616965594148,0.03645273076688329,0.004773079714086522
2.0000000000000013,-0.010209202802376841,0.15105113624523328,0.23863019788248746,0.0768562470095703,0.013981818957735662
2.1000000000000014,-0.02840220168466214,0.06124122937391233,0.3250392468850153,0.13984429979586172,0.03468582440058197
2.2000000000000015,-0.04495011948027273,-0.010710069102619877,0.3907373630933051,0.22138207423460354,0.07357317566795626
2.3000000000000016,-0.05995322389860118,-0.06320347186613297,0.4159418040433304,0.30705476301254603,0.13461268141173865
2.4000000000000017,-0.07351984337047945,-0.09866364710472018,0.3918191440136672,0.37519209200629156,0.21413345575991005
2.5000000000000018,-0.08576191335244623,-0.12116999262172415,0.3237116896456392,0.4051510519678104,0.2981648971600587
2.600000000000002,-0.09679131441321494,-0.1347982513637942,0.2277576588068976,0.38621528812207684,0.36529476217520396
2.700000000000002,-0.10671700633164373,-0.14281588635156187,0.12367635805383914,0.32181913536099116,0.39478659559360085
2.800000000000002,-0.11564289756598921,-0.14750325983536433,0.027970119953928584,0.22705724874013378,0.3755551807875095
2.900000000000002,-0.12366636042846438,-0.15029767188201892,-0.04965312509820437,0.1217422088114274,0.3106456508353596
3.000000000000002,-0.13087729230121953,-0.15203475963063365,-0.1063380643869373,0.02326890591042178,0.21497938788276222
3.1000000000000023,-0.13735762369414584,-0.15316903130676157,-0.14400712632871737,-0.05754497474535003,0.10847766662104188
3.2000000000000024,-0.14318118025967858,-0.15393420303524075,-0.16682285455720425,-0.11697532729984314,0.008821840235118396
3.3000000000000025,-0.14841381535750656,-0.1544448993803391,-0.1792479921225544,-0.15649654862352372,-0.07287243148395407
3.4000000000000026,-0.15311374071470757,-0.15475521126036984,-0.1850065605993452,-0.18019458769640198,-0.13269191941596686
3.5000000000000027,-0.15733199404520093,-0.15488998839350865,-0.18677282796272687,-0.19267801524561148,-0.17206410410615405
3.6000000000000028,-0.1611129934447334,-0.15486058362098007,-0.18627094067647054,-0.1978959919622709,-0.19513739663889343
3.700000000000003,-0.1644951384997662,-0.15467238823162438,-0.18452274857295875,-0.19873632520247525,-0.20663598190065785
3.800000000000003,-0.16751142707388128,-0.15432828965385992,-0.18209384320808866,-0.19708689227556936,-0.21063045058031987
