ell,L,trust_time_1_percent,trust_time_5_percent,trust_time_10_percent
1,20.0,nan,nan,nan
1,40.0,nan,nan,nan
1,80.0,nan,nan,36.57086302826849
1,160.0,nan,45.97572754304014,79.17572754376484
1,320.0,nan,79.05198428528422,83.10198428537262
1,640.0,37.089803757440386,83.03980375844338,100.68980375882865
