ell,L,resolution,timestep,Lambda,r_black_hole,r_cosmological,kappa_cosmological,kappa_inverse,evolution_timescales,retarded_time_offset,maximum_constraint_linf,trust_time_1_percent,trust_time_5_percent,trust_time_10_percent,intermediate_power_fit,intermediate_power_fit_error,exponential_fit,exponential_fit_error,gamma_over_kappa,exponential_kind,exponential_start,exponential_end,exponential_rate,exponential_slope,exponential_intercept,exponential_r_squared,exponential_points,exponential_amplitude_floor,intermediate_kind,intermediate_start,intermediate_end,intermediate_rate,intermediate_slope,intermediate_intercept,intermediate_r_squared,intermediate_points,intermediate_amplitude_floor
1,20.0,1024,0.005,0.0075,2.0206251576202168,18.91298547847183,0.04448683286232328,22.478561310371873,5.338419943478794,2.461850110309174,7.330950845938502e-10,nan,nan,nan,,Not enough samples to select a stable power-law window.,,No exponential interval passed the stability and fit-quality criteria.,,,,,,,,,,,,,,,,,,,
1,40.0,1024,0.005,0.001875,2.0050378793509025,38.959774129251116,0.02369103827777671,42.210053788062396,5.0,2.597389463167362,1.0593229937036841e-09,nan,nan,nan,,Not enough samples to select a stable power-law window.,,,1.0518408892789466,exponential,158.35261053675876,208.45287947714462,0.02491920277003822,-0.02491920277003822,-7.202870112503271,0.9997367360179766,1004,2.2872587115575345e-13,,,,,,,,,
1,80.0,1024,0.005,0.00046875,2.0012523496262125,78.98059813298828,0.012180408993848391,82.0990494247805,5.0,2.6791369725882506,6.058448388737985e-10,nan,nan,36.57086302826849,,,,,1.0445404198667538,exponential,232.27086302727056,314.32086302719597,0.012722929524583182,-0.012722929524583182,-9.32106186022592,0.9999542772552951,1642,2.202194079970919e-13,power,35.02086302741258,70.02086302741812,5.065189416737709,-5.065189416737709,14.757397524205373,0.5721372079107158,701,2.202194079970919e-13
1,160.0,1024,0.005,0.0001171875,2.0003126465759937,158.99046547057517,0.0061710049157578505,162.04816130456635,5.0,2.724272458022873,8.606494871601776e-10,nan,45.97572754304014,79.17572754376484,,,,,1.061292045608606,exponential,397.8757275416853,559.875727541538,0.0065492384305054115,-0.0065492384305054115,-11.383689797179342,0.9996868429256403,3241,2.165882266028067e-13,power,43.175727541982155,129.62572754192925,7.602476662568835,-7.602476662568835,25.105215912189767,0.8709815561700294,1730,2.165882266028067e-13
1,320.0,1024,0.005,2.9296875e-05,2.0000781341567047,318.99527303232253,0.0031053609745114925,322.02375447102764,5.0,2.7480157165013015,4.2518195033654937e-10,nan,79.05198428528422,83.10198428537262,,,,No exponential interval passed the stability and fit-quality criteria.,,,,,,,,,,,power,108.05198428347042,231.25198428335838,4.158322555707407,-4.158322555707407,9.658760893633616,0.9707509760139967,2465,2.1490615406744298e-13
1,640.0,1024,0.005,7.32421875e-06,2.000019531822227,638.9976464340193,0.0015576037761352375,642.0117974297823,5.0,2.760196243429455,1.5126004064879422e-09,37.089803757440386,83.03980375844338,100.68980375882865,,,,No positive resolved exponential interval was found.,,,,,,,,,,,power,109.33980375654107,299.5898037563681,3.4875187156151184,-3.4875187156151184,6.658475716261821,0.9905135946617338,3806,2.1409001624784517e-13
