cosmological_length_over_M,refinement_level,resolution,maximum_constraint_linf,maximum_constraint_l2,spectral_preflight_passed,evolution_stability_audit_passed,maximum_stored_solution_amplification,archive_provenance,transition_width_floor_active,cosmological_horizon_over_M,transition_inner_radius_over_M,transition_outer_radius_over_M,transition_rho_width,outer_cap_rho_width,retarded_time_offset_q_over_M,minimum_A,maximum_A,minimum_P,maximum_abs_P,transition_mass_over_M,wall_seconds,iterations,transition_nodes,outer_cap_nodes,maximum_error_over_analytic_minimum_Q,simulation_case,simulation_contract_sha256
80,coarse,384,0.001303309322635021,5.779506702393345e-05,True,True,1.0,validated_unchanged_legacy_member,False,78.98059813298826,54.72748593508886,71.08253831968943,0.00862685793976592,0.0028867302620632085,2.670279463320937,0.06412378577241054,0.12400395842367279,0.0829148859113373,3.4113706382900095,28.05942801947422,221.2821477910038,40001,13,13,0.2278659215071093,far_sds_L80_coarse,9cfbd1d79f43165533a039247f54976f354c06383353f807f518cd3950dda1c9
80,medium,512,0.0003185919190142109,1.2266673423342617e-05,True,True,1.0,validated_unchanged_legacy_member,False,78.98059813298826,54.72748593508886,71.08253831968943,0.00862685793976592,0.0028867302620632085,2.670279463320937,0.06412378577241054,0.12400395842367279,0.0829148859113373,3.4113706382900095,28.05942801947422,472.1762385420734,53334,17,18,0.05086786977162413,far_sds_L80_medium,9cfbd1d79f43165533a039247f54976f354c06383353f807f518cd3950dda1c9
80,fine,768,0.0008908334714457488,2.8634666599591285e-05,True,True,1.0,validated_unchanged_legacy_member,False,78.98059813298826,54.72748593508886,71.08253831968943,0.00862685793976592,0.0028867302620632085,2.670279463320937,0.06412378577241054,0.12400395842367279,0.0829148859113373,3.4113706382900095,28.05942801947422,1166.7430421250174,80001,27,26,0.0059277895193939716,far_sds_L80_fine,9cfbd1d79f43165533a039247f54976f354c06383353f807f518cd3950dda1c9
160,coarse,768,0.005749249539520221,0.0001850122674804154,True,True,1.0,validated_unchanged_legacy_member,False,158.99046547057517,110.11828347540704,143.09141892351767,0.004238527670387571,0.0014155141304672547,2.722020290997024,0.0632962266983878,0.12448063704044876,0.04230755980196198,3.4559722026142787,57.22302466402467,563.3113198750652,40001,19,18,0.09267020478767353,far_sds_L160_coarse,9cfbd1d79f43165533a039247f54976f354c06383353f807f518cd3950dda1c9
160,medium,1024,0.007408894153196384,0.00021189556148599808,True,True,1.0,validated_unchanged_legacy_member,False,158.99046547057517,110.11828347540704,143.09141892351767,0.004238527670387571,0.0014155141304672547,2.722020290997024,0.0632962266983878,0.12448063704044876,0.04230755980196198,3.4559722026142787,57.22302466402467,958.5394371249713,53334,24,25,0.014912934277168468,far_sds_L160_medium,9cfbd1d79f43165533a039247f54976f354c06383353f807f518cd3950dda1c9
160,fine,1536,0.004027380551081565,0.00010122728255080897,True,True,1.0,validated_unchanged_legacy_member,False,158.99046547057517,110.11828347540704,143.09141892351767,0.004238527670387571,0.0014155141304672547,2.722020290997024,0.0632962266983878,0.12448063704044876,0.04230755980196198,3.4559722026142787,57.22302466402467,2227.943349665962,80001,37,37,0.0010629639720340035,far_sds_L160_fine,9cfbd1d79f43165533a039247f54976f354c06383353f807f518cd3950dda1c9
320,coarse,1024,0.0007539215174828145,2.192932492773803e-05,True,True,1.0,width_floor_family_production,True,318.99527303232253,168.23294172714168,260.54135051411095,0.004238527670387571,0.0014155141304672547,2.747464829876554,0.0628943276466058,0.12460567235339419,1.5778273019250861,3.478056101165829,86.35749331057522,180.4989697081037,20001,24,25,0.00017865868016544333,width_floor_sds_L320_coarse,9b8b6ab94ed8a223bf848077c8382f78ac09a08a12e438148e3ec2b5d7660a92
320,medium,1536,0.0002708661372566621,6.849092646203487e-06,True,True,1.0,width_floor_family_production,True,318.99527303232253,168.23294172714168,260.54135051411095,0.004238527670387571,0.0014155141304672547,2.747464829876554,0.0628943276466058,0.12460567235339419,1.5778273019250861,3.478056101165829,86.35749331057522,357.5443103329744,26667,37,37,1.2630024518008876e-05,width_floor_sds_L320_medium,9b8b6ab94ed8a223bf848077c8382f78ac09a08a12e438148e3ec2b5d7660a92
320,fine,2048,0.002141644990967996,4.984239317695339e-05,True,True,1.0,width_floor_family_production,True,318.99527303232253,168.23294172714168,260.54135051411095,0.004238527670387571,0.0014155141304672547,2.747464829876554,0.0628943276466058,0.12460567235339419,1.5778273019250861,3.478056101165829,86.35749331057522,729.5659103749786,40001,49,49,1.622920160634821e-06,width_floor_sds_L320_fine,9b8b6ab94ed8a223bf848077c8382f78ac09a08a12e438148e3ec2b5d7660a92
640,coarse,768,0.001184148802658682,3.956551372788262e-05,True,True,1.0,width_floor_family_production,True,638.9976464340192,228.14779888577934,440.4330107395881,0.004238527670387571,0.0014155141304672547,2.7600652758743296,0.06269623306412475,0.12480376693587525,1.9984203545794281,3.489045343063368,104.29167506896769,71.98174341698177,20001,19,18,0.0002964990816002161,width_floor_sds_L640_coarse,9b8b6ab94ed8a223bf848077c8382f78ac09a08a12e438148e3ec2b5d7660a92
