U_over_M,schwarzschild_fine,uniform_sds_L80,exterior_sds_L80,uniform_sds_L160,exterior_sds_L160,uniform_sds_L320,exterior_sds_L320,uniform_sds_L640,exterior_sds_L640
0.017411277760170485,0.06576759923965698,0.06903752471156721,0.06926941107419483,0.06752186891260668,0.06749007086386608,0.06667666842160871,0.0666385364309755,0.06620978092177947,0.0661902557406701
0.047411277760169845,0.06002791935521515,0.06340990337183126,0.06361986249704439,0.061835516220784835,0.06179532913930622,0.06096280808120264,0.06092181288195353,0.06048404210626849,0.060463600890297974
0.0774112777601692,0.0540616391579578,0.05754893582923984,0.05773568820506947,0.05591860605312985,0.05586995617430535,0.05502022978260927,0.05497642136299086,0.05453055297736587,0.05450922344031201
0.10741127776016857,0.04788355142082812,0.05146893914457287,0.05163138389390421,0.04978573659696644,0.04972861400002826,0.04886363933880256,0.04881708447674274,0.0483640733823151,0.04834188746267448
0.13741127776016793,0.04150780348867694,0.04518361556217599,0.04532082871248411,0.0434508723478751,0.043385319290259336,0.04250710215659332,0.04245788451379023,0.041998718344570404,0.04197571328616947
0.1674112777601673,0.03494795762636154,0.03870611082342741,0.03881733667851585,0.03692740389698975,0.03685349688144768,0.035964103429518536,0.03591232211619239,0.03544801726807106,0.03542423703128382
0.19741127776016665,0.028217043490905123,0.032049065353903644,0.03213369283285529,0.030228200387330886,0.0301460385932744,0.029247600791756537,0.0291933673267879,0.028724966120316216,0.02870046265828911
0.227411277760166,0.021327603354856395,0.025224658896209177,0.02528219413532163,0.023365655200817927,0.023275364863228228,0.022370069996539205,0.02231350467178883,0.021842074027712214,0.021816907629590168
0.25741127776016537,0.014291731047600467,0.018244648979880953,0.018274705180198574,0.016351725316177103,0.016253475383373343,0.015343544217201755,0.015284773570174243,0.014811405238801006,0.01478564313548374
0.28741127776016473,0.0071211062672618675,0.011120403827009127,0.011122714935352059,0.009197965096163618,0.009091978253240275,0.008179648044922088,0.008118804862887158,0.0076446166041935545,0.007618329692388097
0.3174112777601641,-0.0001729736494570644,0.0038629309307070493,0.0038373708300534362,0.001915555955467363,0.0018021031081968974,0.0008896279241978899,0.0008268537728456453,0.00035298997937178826,0.0003262487934225476
0.34741127776016345,-0.00757956307885474,-0.0035170967412274552,-0.0035705157090372168,-0.00548466609729077,-0.0056052839166409844,-0.0065156190663336324,-0.006580170706287709,-0.007052540988623757,-0.007079668825543641
0.3774112777601628,-0.015088039194094904,-0.011009314963889068,-0.011090470728623443,-0.012992183496379322,-0.013119650010999935,-0.014025517243319172,-0.014091680060959365,-0.014561368897889265,-0.014588817843779023
0.40741127776016217,-0.022688077536847727,-0.01860364239458063,-0.018712337912247714,-0.020596771037563116,-0.020730754600773837,-0.02162978647277161,-0.021697384053897997,-0.02216319271176536,-0.022190895565451854
0.43741127776016153,-0.03036963460681949,-0.026290256749921824,-0.02642623207563692,-0.028288473277566457,-0.028428615271178084,-0.029318421369342297,-0.029387271678722206,-0.029847996650481667,-0.0298758813836071
0.4674112777601609,-0.03812293607405668,-0.034059576909488645,-0.03422249077422607,-0.03605758840897441,-0.03620349465684935,-0.03708167720615728,-0.037151594601207344,-0.03760602711440883,-0.03763401825656229
0.49741127776016025,-0.04593846434429501,-0.041902253044109855,-0.04209165536202533,-0.04389465832467374,-0.04404590417643651,-0.04491005976955877,-0.04498085226261222,-0.04542777146474865,-0.045455795991374184
0.5274112777601596,-0.053806939506484894,-0.04980916112758553,-0.05002448794922713,-0.05179045941187359,-0.05194660543477754,-0.05279431259812049,-0.05286577786778641,-0.053303944270496985,-0.05333193615699835
0.557411277760159,-0.06171929597158723,-0.05777139309250156,-0.05801199697936408,-0.059735987237273816,-0.05989659254555894,-0.06072539750573159,-0.060797324721317075,-0.061225481549311477,-0.061253378471035555
0.5874112777601583,-0.06966666596201769,-0.06578023664382525,-0.06604543325582843,-0.06772243492440196,-0.06788705679069246,-0.06869447328399315,-0.06876665273418664,-0.06918353497900423,-0.06921126850541554
0.6174112777601577,-0.0776403774155787,-0.07382715063289122,-0.07411624242978301,-0.07574117492363003,-0.07590935265682848,-0.07669288362356938,-0.0767651152883225,-0.07716945681097478,-0.07719694655569445
0.6474112777601571,-0.0856319569362968,-0.08190375169662205,-0.08221600100799403,-0.08378375438357769,-0.08395498557668843,-0.08471215787196752,-0.08478424690571908,-0.08517477791516011,-0.08520193753279384
0.6774112777601564,-0.09363311881139769,-0.09000182011545245,-0.09033638493749102,-0.09184189990879148,-0.09201562531196791,-0.09274401197398525,-0.09281575224738273,-0.09319119389608663,-0.0932179417304927
0.7074112777601558,-0.10163573828648602,-0.0981133096944027,-0.0984691971929952,-0.09990751337734186,-0.10008312845819888,-0.10078033368729107,-0.10085149684829676,-0.10121056766349232,-0.10123682632089342
0.7374112777601551,-0.10963183389120537,-0.10623033602799084,-0.1066064260838522,-0.10797264951483915,-0.10814954592760782,-0.10881315722039966,-0.10888349972079833,-0.10922493402618673,-0.10925061745902702
0.7674112777601545,-0.11761357670970918,-0.11434514278060746,-0.11474027110949642,-0.11602949316862908,-0.11620710285123798,-0.11683465238528279,-0.11690392761687565,-0.11722648553879914,-0.11725149287285247
0.7974112777601539,-0.12557330305418224,-0.12245008130019001,-0.12286310346155101,-0.12407036067224927,-0.12424815945539652,-0.12483713674737978,-0.12490509043259167,-0.12520754655463032,-0.12523177483679784
0.8274112777601532,-0.1335034952621661,-0.13053762859308723,-0.13096740031563087,-0.13208771596597793,-0.13226517548444933,-0.13281308201623318,-0.13287943705305724,-0.13316056595142636,-0.13318392345974492
0.8574112777601526,-0.14139674682592504,-0.13860041135806464,-0.13904571961676945,-0.14007416457542532,-0.14025069779448515,-0.14075508977295503,-0.140819550924306,-0.1410781326794566,-0.14110053021189944
0.8874112777601519,-0.149245763048809,-0.14663118476507148,-0.1470907226051948,-0.14802242061018994,-0.14819737353422238,-0.14865586352627755,-0.1487181447987865,-0.14895297679064762,-0.1489743116645815
0.9174112777601513,-0.15704339034493528,-0.1546227839099572,-0.1550951867403466,-0.15592529185408047,-0.15609797377438636,-0.15650821792834355,-0.15656805438798974,-0.15677793962018222,-0.15679810340859462
0.9474112777601507,-0.16478260770001085,-0.16256812201590634,-0.16305198405648094,-0.16377570322383497,-0.1639454073142249,-0.16430510187803368,-0.16436223099157224,-0.16454595573802105,-0.1645648541457371
0.97741127776015,-0.17245647964578384,-0.1704602372490354,-0.17095407466672774,-0.17156670743381586,-0.17173271372111798,-0.17203957964437802,-0.17209373347170526,-0.1722500735167693,-0.17226761995272682
1.0074112777601494,-0.18005815337626369,-0.178292294270415,-0.17879453817796342,-0.17929144847604528,-0.17945304092025774,-0.1797047912313926,-0.17975572013265873,-0.179883464923296,-0.1798995587167154
1.0374112777601487,-0.18758090140954764,-0.18605751924000113,-0.1865665746291845,-0.18694313622300165,-0.1870996225441704,-0.18729396199006032,-0.18734144110883943,-0.18743939061116727,-0.18745392475329006
1.067411277760148,-0.19501810862947327,-0.19374918246159012,-0.194263444180769,-0.19451507671366572,-0.19466576807722044,-0.19480043604132458,-0.19484423175802684,-0.1949111803490145,-0.1949240635996613
1.0974112777601475,-0.20236321388143355,-0.20136066274018968,-0.2018784440872701,-0.20200068785522424,-0.20214486698981676,-0.2022176504666797,-0.20225750733547723,-0.20229226314768037,-0.20230340698602783
