cosmological_length_over_M,window,window_family,window_start_U_over_M,window_end_U_over_M,uniform_sds_E2,exterior_sds_E2,uniform_sds_Einf,exterior_sds_Einf,uniform_conservative_numerical_E2,exterior_conservative_numerical_E2,schwarzschild_reference_floor_E2,uniform_conservative_direct_upper_E2,exterior_conservative_direct_upper_E2,uniform_within_5_percent_with_margin,uniform_within_2_percent_with_margin,uniform_within_1_percent_with_margin,exterior_within_5_percent_with_margin,exterior_within_2_percent_with_margin,exterior_within_1_percent_with_margin,central_improvement_factor,central_relative_reduction_fraction,exterior_upper_E2,uniform_lower_E2,upper_to_lower_ratio,resolved_improvement_with_numerical_margins,resolved_reduction_at_least_25_percent,substantial_reduction_definition,reference_floor_not_double_counted_in_improvement,raw_unshifted,time_translation_fitted,amplitude_rescaling_fitted,time_dilation_fitted,background_transfer_correction_used
160,qnm_late,qnm_window_sensitivity,20.0,50.0,0.048791961659946745,0.038446920285236455,0.04158720856980846,0.03279293844405912,0.0006680196838831301,8.916578427029852e-05,0.0003726231497999733,0.04983260449362985,0.038908709219306725,True,False,False,True,False,False,1.2690733431432417,0.2120234772852455,0.03853608606950675,0.048123941976063615,0.8007674452079223,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
160,early_ringdown,disjoint,40.0,80.0,0.053854621627921366,0.03864951058798591,0.044720161569430886,0.03226238647157808,0.0076877897854724505,0.002061540878683163,0.0039002798549692816,0.06544269126836309,0.04461133132163835,False,False,False,True,False,False,1.393410183172201,0.2823362337402858,0.04071105146666907,0.046166831842448915,0.8818246745975878,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
320,prompt_and_early_ringdown,cumulative,0.0,40.0,0.027160884125662546,0.024325817142990782,0.028159728919855544,0.02529005421617975,0.0002748906833963086,3.870852806802432e-06,0.00010364405956172328,0.027539418868620578,0.02443333205535931,True,False,False,True,False,False,1.1165456011613841,0.10438051167830342,0.024329687995797586,0.026885993442266238,0.904920550845259,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
320,radiative_signal,cumulative,0.0,80.0,0.027154141617149644,0.02431650721926675,0.028159728919855544,0.02529005421617975,0.0006427257755301451,0.00012866540367040654,0.00021368878527735417,0.02801055617795714,0.02465886140821451,True,False,False,True,False,False,1.116695805540466,0.10450097955189042,0.024445172622937158,0.0265114158416195,0.9220621323649336,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
320,qnm_early,qnm_window_sensitivity,10.0,40.0,0.03150898258700959,0.027961130304172986,0.035163586839265126,0.031580169685984386,0.00041675503762426974,5.850962171571318e-06,0.00015562285564365828,0.03208136048027752,0.028122604121988214,True,False,False,True,False,False,1.1268851525042647,0.11259812255249713,0.027966981266344556,0.031092227549385322,0.8994846452195558,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
320,qnm_central,qnm_window_sensitivity,15.0,45.0,0.031888489852011356,0.027801934383906695,0.027309416599018043,0.02396531573294582,0.0007249602613985652,1.4629503506994367e-05,0.00026961075453417216,0.0328830608679441,0.02808617464194786,True,False,False,True,False,False,1.1469881703796188,0.1281514266454642,0.02781656388741369,0.03116352959061279,0.8925999157615546,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
320,qnm_late,qnm_window_sensitivity,20.0,50.0,0.02285902026121323,0.01958918667755953,0.019543138687930752,0.016739146264695165,0.0010313208325401083,3.161649359456586e-05,0.0003726231497999733,0.02426296424355331,0.01999342632095407,True,False,False,True,True,False,1.166920334033034,0.14304347020514663,0.019620803171154097,0.02182769942867312,0.8988946927398122,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
320,early_ringdown,disjoint,40.0,80.0,0.024145429730169962,0.01995886954215103,0.020113230689882824,0.016611986929070028,0.01212632853086714,0.002684438621027285,0.0039002798549692816,0.040172038116006385,0.026543588018147598,True,False,False,True,False,False,1.2097593843768235,0.17338934261285,0.022643308163178315,0.012019101199302822,1.8839435484985982,False,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
640,prompt_and_early_ringdown,cumulative,0.0,40.0,0.013406290608055453,0.012421964305221873,0.013937429220072727,0.012932343561328252,0.00011430156478077609,5.232206029846718e-05,0.00010364405956172328,0.013624236232397953,0.012577930425082063,True,True,False,True,True,False,1.0792407930539452,0.07342271860361782,0.012474286365520339,0.013291989043274676,0.9384815413936811,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
640,radiative_signal,cumulative,0.0,80.0,0.013402214858823638,0.01241716236293362,0.013937429220072727,0.012932343561328252,0.00023895914915670268,0.0006576099521307126,0.00021368878527735417,0.013854862793257695,0.013288461100341686,True,True,False,True,True,False,1.0793299199203912,0.07349923175134654,0.013074772315064332,0.013163255709666935,0.9932780007807931,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
640,qnm_early,qnm_window_sensitivity,10.0,40.0,0.015493112465304335,0.014291082413222697,0.017403931837943726,0.016148862339840662,0.0001718061019597305,8.129256551949391e-05,0.00015562285564365828,0.015820541422907723,0.01452799783438585,True,True,False,True,True,False,1.0841104975344253,0.07758480129628531,0.014372374978742192,0.015321306363344604,0.9380645904403635,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
640,qnm_central,qnm_window_sensitivity,15.0,45.0,0.015584215243204086,0.014243402183478254,0.0133965010051419,0.012279380478124676,0.0002992239737525006,0.0001760385638112813,0.00026961075453417216,0.01615304997149076,0.014689051501823707,True,True,False,True,True,False,1.094135729824516,0.08603661068596502,0.014419440747289534,0.015284991269451586,0.9433725209976449,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
640,qnm_late,qnm_window_sensitivity,20.0,50.0,0.011052630678184159,0.010024477115568163,0.009448195903311935,0.008574105130177057,0.0004148104696628043,0.00033444054871954764,0.0003726231497999733,0.011840064297646937,0.010731540814087684,True,True,False,True,True,False,1.1025643084185666,0.09302342515120676,0.01035891766428771,0.010637820208521354,0.9737819836426422,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
640,early_ringdown,disjoint,40.0,80.0,0.011546744785850929,0.010166773334581528,0.00970756155327743,0.008455188255805289,0.004379808440574932,0.013682798458188863,0.0039002798549692816,0.019826833081395143,0.027749851647739673,True,True,False,True,False,False,1.1357334727406119,0.1195117305234269,0.02384957179277039,0.007166936345275997,3.3277220061387265,False,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
