phase_radians,phase_over_half_pi,matched_lag_over_M,coherence,case,gamma_over_pi,pulse_pair,amplitude_ratio,eikonal_amplitude_ratio
-1.5133369143527076,-0.9634202019306787,0.6643023999078544,0.9999450736242649,schwarzschild,0.3333333333333333,0->1,0.18078255033393534,0.20787957635076193
-1.522135256118742,-0.9690214002629837,-0.8049999887715773,0.999574436435277,schwarzschild,0.3333333333333333,1->2,0.33794414680063034,0.20787957635076193
-1.6656242524603873,-1.0603693324512546,0.4261662586955116,0.9998298735862258,schwarzschild,0.3333333333333333,2->3,0.11584385447387795,0.20787957635076193
-1.1295860164741887,-0.719116792677401,1.999999880186724,0.9998705022921199,sds_L12,0.3333333333333333,0->1,0.04870420990180358,0.20787957635076193
-1.507801666686926,-0.9598963538216907,-1.999999880186724,0.9975391201634708,sds_L12,0.3333333333333333,1->2,1.046399871263688,0.20787957635076193
-0.24149575666844678,-0.1537409736380034,1.999999880186724,0.9999885015082565,sds_L12,0.3333333333333333,2->3,0.03536926574438211,0.20787957635076193
-1.469177890722195,-0.9353076943590471,0.7350000095245793,0.9999034356613341,sds_L20,0.3333333333333333,0->1,0.15130015130867702,0.20787957635076193
-1.5168587024873728,-0.9656622418912961,-0.6649999447547981,0.9999936984477906,sds_L20,0.3333333333333333,1->2,0.2957937426162012,0.20787957635076193
-1.5769778945170745,-1.0039353082361677,0.3331759736306936,0.9999999430113227,sds_L20,0.3333333333333333,2->3,0.1285023623583931,0.20787957635076193
-1.5074738826980127,-0.959687680053283,0.7118546651596945,0.9999087423666667,sds_L40,0.3333333333333333,0->1,0.16218554224698534,0.20787957635076193
-1.5201582647826868,-0.9677628084886516,-0.8374868823660817,0.999932445030289,sds_L40,0.3333333333333333,1->2,0.32710775949656523,0.20787957635076193
-1.6256546368166953,-1.0349238848385478,0.45419990265953153,0.9999996540826236,sds_L40,0.3333333333333333,2->3,0.11843556509056398,0.20787957635076193
-1.5154495994372692,-0.9647651790282967,0.6861057258132889,0.999919362934965,sds_L80,0.3333333333333333,0->1,0.1703990803489017,0.20787957635076193
-1.5245839996322799,-0.9705803188011588,-0.8197628162364298,0.9995733015305774,sds_L80,0.3333333333333333,1->2,0.33470324028874765,0.20787957635076193
-1.6503362377683186,-1.0506366800180376,0.4393996025695995,0.9999984133881786,sds_L80,0.3333333333333333,2->3,0.11666349738153747,0.20787957635076193
-1.5149452796962626,-0.9644441191095766,0.673397181984771,0.9999305745325727,sds_L160,0.3333333333333333,0->1,0.1753349783354402,0.20787957635076193
-1.529490207119189,-0.973703707494663,-0.8049999759826624,0.999219205742123,sds_L160,0.3333333333333333,1->2,0.33674576704347386,0.20787957635076193
-1.6591731817748456,-1.0562624532998979,0.43399156498965225,0.999992517287244,sds_L160,0.3333333333333333,2->3,0.11616838542680104,0.20787957635076193
-1.549781225837632,-0.9866213712123045,0.26537072885141294,0.9989275349145142,schwarzschild,0.5,0->1,0.22164051752735187,0.20787957635076193
-1.5815485214538731,-1.0068450597162495,-0.19698942873888792,0.9999285032295383,schwarzschild,0.5,1->2,0.21412526814916397,0.20787957635076193
-1.6251086381436795,-1.0345762912876193,0.06395953045343905,0.999991851303273,schwarzschild,0.5,2->3,0.1896063296499658,0.20787957635076193
-1.4662506534970554,-0.9334441572631128,1.085000072035663,0.9998703787541202,sds_L12,0.5,0->1,0.1736778629445273,0.20787957635076193
1.1606046123317921,0.7388638441114306,-1.9949999082431549,0.9994930941429969,sds_L12,0.5,1->2,0.15005255233655967,0.20787957635076193
0.756598412357018,0.4816655090483982,0.7301245720038235,0.9999578333302712,sds_L12,0.5,2->3,0.5750649912316297,0.20787957635076193
-1.5056401113702145,-0.9585202649680058,0.4569792756996151,0.9996371788681858,sds_L20,0.5,0->1,0.1997088117940714,0.20787957635076193
-1.573852342717515,-1.001945520161009,-0.2799999702593792,0.9999989490078635,sds_L20,0.5,1->2,0.20182137808404937,0.20787957635076193
-1.5463598912886198,-0.984443281990519,0.13275270428512717,0.9999999601965944,sds_L20,0.5,2->3,0.20411215337582106,0.20787957635076193
-1.545072513758107,-0.9836237120000928,0.3705021968795091,0.9992841240620055,sds_L40,0.5,0->1,0.20657980424247496,0.20787957635076193
-1.5804449020570135,-1.0061424737870404,-0.2905592719634323,0.9999939667684069,sds_L40,0.5,1->2,0.21314358581824377,0.20787957635076193
-1.59437680172118,-1.01501179657989,0.15465909995420532,0.9999999393975664,sds_L40,0.5,2->3,0.19200160270628214,0.20787957635076193
-1.5521371397071786,-0.9881211925636528,0.3150000241697335,0.9990231282614087,sds_L80,0.5,0->1,0.2132818115702115,0.20787957635076193
-1.5814214416115437,-1.0067641581759534,-0.24499999507081122,0.9999680415471692,sds_L80,0.5,1->2,0.21435482588410623,0.20787957635076193
-1.6128988726366915,-1.0268033131498993,0.10665094296612271,0.9999998659309756,sds_L80,0.5,2->3,0.1902153613835746,0.20787957635076193
-1.548168466976757,-0.9855946570334104,0.28299974573712455,0.9989318416283773,sds_L160,0.5,0->1,0.2172665334371236,0.20787957635076193
-1.5826330908210038,-1.007535518019869,-0.21891475316374479,0.9998913520597085,sds_L160,0.5,1->2,0.2143898524197351,0.20787957635076193
-1.6198601247401854,-1.0312349838794188,0.08219367476445495,0.9999995078182791,sds_L160,0.5,2->3,0.18981340165027336,0.20787957635076193
