cosmological_length_over_M,observer,schwarzschild_delay_over_M,sds_delay_over_M,delay_shift_over_M,uncertainty_over_M,resolved_at_existing_cadence,M_over_L,M2_over_L2
20.0,r8M,19.32311849023609,20.503159867832217,1.180041377596126,0.022773091658198918,True,0.05,0.0025
20.0,r12M,18.656937715263524,19.77440131457149,1.1174635993079676,0.025895773074096344,True,0.05,0.0025
20.0,outer,17.095522458198705,19.191046855368274,2.0955243971695694,0.0489857631931441,True,0.05,0.0025
40.0,r8M,19.32311849023609,19.59444697558653,0.27132848535043763,0.005444085768786851,True,0.025,0.000625
40.0,r12M,18.656937715263524,18.913003460465042,0.2560657452015178,0.006327734878820723,True,0.025,0.000625
40.0,outer,17.095522458198705,17.8350481125112,0.7395256543124944,0.02699563412885325,True,0.025,0.000625
80.0,r8M,19.32311849023609,19.389022430233908,0.06590393999781696,0.0025741081876818465,True,0.0125,0.00015625
80.0,r12M,18.656937715263524,18.718982320604795,0.06204460534127065,0.0023940345991246394,True,0.0125,0.00015625
80.0,outer,17.095522458198705,17.40160691655506,0.3060844583563558,0.014527274265611442,True,0.0125,0.00015625
160.0,r8M,19.32311849023609,19.339108653025278,0.015990162789186968,0.0014699395968224387,True,0.00625,3.90625e-05
160.0,r12M,18.656937715263524,18.672134101079042,0.015196385815517743,0.0015078127848769782,True,0.00625,3.90625e-05
160.0,outer,17.095522458198705,17.23386035126427,0.13833789306556454,0.007379102685628679,True,0.00625,3.90625e-05
