target_angle_over_pi,winding,turning_radius_over_M,impact_parameter_over_M,predicted_U_over_M,Omega_ph_M,case,observer,pulse,measured_U_over_M,measurement_uncertainty_over_M,simulation_minus_ray_over_M
2.0,2,3.2249342401559176,5.2780456766861334,62.67971785583505,0.1908193832843955,sds_L40,r12M,2,62.75631801193367,0.038115479483184424,0.07660015609862114
3.0,3,3.0434002535141174,5.242169067198784,79.17920079928285,0.1908193832843955,sds_L40,r12M,3,78.83589197242677,0.014665652500850026,-0.343308826856088
0.0,0,nan,0.0,26.523268195226244,0.1908193832843955,sds_L40,outer,0,26.586440265105,0.026914032279679978,0.06317206987875679
1.0,1,4.8371386441912305,6.396246219327274,44.775451260725376,0.1908193832843955,sds_L40,outer,1,44.4214883776162,0.0019746210945122736,-0.3539628831091761
2.0,2,3.2676157787071305,5.29200910194573,62.38669649041771,0.1908193832843955,sds_L40,outer,2,62.405270613101976,0.07259404637899759,0.018574122684263727
3.0,3,3.0508979070796176,5.2427597792119975,78.89941038705528,0.1908193832843955,sds_L40,outer,3,78.5402246211018,0.00741141995964405,-0.35918576595348384
0.0,0,nan,0.0,25.54001699164613,0.19204371126656825,sds_L80,r8M,0,25.80020560435819,0.0005537028826772487,0.26018861271206006
1.0,1,4.216574797159115,5.831081476242211,45.52893374892345,0.19204371126656825,sds_L80,r8M,1,45.1892280345921,0.002412352809923813,-0.33970571433135177
2.0,2,3.19637735199383,5.235776555903483,62.5083605060053,0.19204371126656825,sds_L80,r8M,2,62.62363364369121,0.007713268235002069,0.11527313768590375
3.0,3,3.0382585219367106,5.208381609489402,78.89445986821433,0.19204371126656825,sds_L80,r8M,3,78.56978669638221,0.0034298113562398545,-0.3246731718321172
0.0,0,nan,0.0,25.962850982432446,0.19204371126656825,sds_L80,r12M,0,26.104979355324915,0.0015001369013215174,0.1421283728924685
1.0,1,4.456541758063906,6.019505778057159,45.15644059800825,0.19204371126656825,sds_L80,r12M,1,44.82396167592971,0.0017265546441092821,-0.33247892207854335
2.0,2,3.224934240155917,5.243918324414447,62.321088545109674,0.19204371126656825,sds_L80,r12M,2,62.43005404831345,0.009726531993119852,0.10896550320377685
3.0,3,3.0434002535141174,5.208728534844114,78.71492862268269,0.19204371126656825,sds_L80,r12M,3,78.39364288304259,0.003328513754381012,-0.32128573964010343
0.0,0,nan,0.0,26.59155084183453,0.19204371126656825,sds_L80,outer,0,26.657224952686697,0.014487629049221606,0.0656741108521679
1.0,1,4.93315108702348,6.418190196016658,44.39271790416549,0.19204371126656825,sds_L80,outer,1,44.05883186924176,0.0008064131199882825,-0.33388603492372937
2.0,2,3.2780607744716415,5.261225324743458,61.95938484406733,0.19204371126656825,sds_L80,outer,2,62.02489374251803,0.02782664161334833,0.06550889845070174
3.0,3,3.0526983460583397,5.209460006546556,78.36961699971329,0.19204371126656825,sds_L80,outer,3,78.03229976493645,0.004209772147643038,-0.3373172347768332
0.0,0,nan,0.0,25.507214258953432,0.19234857560438817,sds_L160,r8M,0,25.76851236873415,0.0005690192467311657,0.2612981097807179
1.0,1,4.216574797159115,5.819498954197111,45.444272188675775,0.19234857560438817,sds_L160,r8M,1,45.10762102175943,0.0011562610064763498,-0.3366511669163472
2.0,2,3.19637735199383,5.227386791515398,62.39463237864239,0.19234857560438817,sds_L160,r8M,2,62.51602869979179,0.002699361650433693,0.12139632114939758
3.0,3,3.0382585219367106,5.200122642471762,78.75467356785164,0.19234857560438817,sds_L160,r8M,3,78.43503073406964,0.0011549540884580468,-0.3196428337819981
0.0,0,nan,0.0,25.929003367187008,0.19234857560438817,sds_L160,r12M,0,26.072163552267465,0.0005001087320515487,0.14316018508045758
1.0,1,4.4565417580639055,6.00676624819083,45.07324988501309,0.19234857560438817,sds_L160,r12M,1,44.74429765334651,0.0012342571248974993,-0.3289522316665838
2.0,2,3.2249342401559176,5.235489423251984,62.20781646682088,0.19234857560438817,sds_L160,r12M,2,62.32404543084748,0.004073568732750139,0.11622896402659677
3.0,3,3.0434002535141174,5.200467919966906,78.575561383064,0.19234857560438817,sds_L160,r12M,3,78.25896045192698,0.0029551696034932386,-0.3166009311370175
0.0,0,nan,0.0,26.60819462318042,0.19234857560438817,sds_L160,outer,0,26.675701352610325,0.007322566723999936,0.06750672942990477
1.0,1,4.981792602395306,6.44453744125927,44.23323338115798,0.19234857560438817,sds_L160,outer,1,43.909561703874594,0.0005754763394473381,-0.32367167728338586
2.0,2,3.283325406188262,5.254562582365612,61.811049172266536,0.19234857560438817,sds_L160,outer,2,61.89421151349209,0.012215035526517327,0.08316234122555244
3.0,3,3.0536006523155916,5.201273573345756,78.19685412237695,0.19234857560438817,sds_L160,outer,3,77.8696130951246,0.0016763082234533596,-0.3272410272523416
