pulse,window_start,window_end,analytic_time,matched_time,time,timing_systematic,cadence_uncertainty,timing_uncertainty,analytic_amplitude,matched_amplitude,amplitude,amplitude_systematic,signed_amplitude,integrated_field_energy,integrated_flux_energy,phi_over_pi,case,gamma_over_pi,Omega_ph_M,rescaled_U,ray_U_over_M,simulation_minus_ray_over_M,amplitude_ratio
0,20.0,42.0,29.708217427680655,29.70821743153859,29.708217429609622,3.8579344163736096e-09,0.0005000000000006111,0.0005000000000154947,0.02769238888393202,0.02769238888597877,0.027692388884955395,2.0467516570477073e-12,-0.027692384230986158,0.0015988354004891142,0.0006263750800735568,0.3333333333333333,schwarzschild,0.3333333333333333,0.19245008972987526,0.0,29.68793688733636,0.02028054227326237,
1,44.0,62.0,55.43635283125524,55.436352837441625,55.43635283434843,6.186382961459458e-09,0.0005000000000006111,0.0005000000000388824,0.00500630068691431,0.005006300688008411,0.00500630068746136,1.094100504639428e-12,-0.0033935964173118947,5.833536932656894e-05,2.6782796521188984e-05,0.3333333333333333,schwarzschild,0.3333333333333333,0.19245008972987526,4.951381967224365,56.15582327449403,-0.7194704401455994,0.18078255033393534
2,61.0,77.0,67.19105517257333,67.19105518364947,67.1910551781114,1.1076139116994455e-08,0.0005000000000006111,0.0005000000001232919,0.0016918500141130408,0.0016918500147900363,0.0016918500144515384,6.769955689794882e-13,0.001689964457677346,5.578171528225681e-06,2.9849965884739345e-06,0.3333333333333333,schwarzschild,0.3333333333333333,0.19245008972987526,7.213575488029523,67.18287525976966,0.008179918341738812,0.33794414680063034
3,77.0,98.0,88.63456259273688,88.63456259086318,88.63456259180003,1.873701194199384e-09,0.0005000000000006111,0.0005000000000041218,0.00019599042687008897,0.00019599042686141568,0.00019599042686575233,8.67329211923229e-15,5.883234135880201e-05,8.527171331292877e-08,4.5136520712243756e-08,0.3333333333333333,schwarzschild,0.3333333333333333,0.19245008972987526,11.340380413917147,88.9681362657038,-0.33357367390377135,0.11584385447387795
0,20.0,42.0,31.021066092570262,30.953341900497193,30.98720399653373,0.06772419207306868,0.0005000000000006111,0.06772603776945686,0.035915862132344864,0.037610478305595746,0.036763170218970305,0.0016946161732508819,-0.035770110411574366,0.003265217752742333,0.0008222028056583421,0.3333333333333333,sds_L12,0.3333333333333333,0.1734721666221777,0.0,31.070426665266904,-0.08322266873317474,
1,44.0,62.0,58.60869023143364,59.436352684291606,59.022521457862624,0.8276624528579646,0.0005000000000006111,0.8276626038857032,0.0013276254164871538,0.0022534169015137745,0.001790521159000464,0.0009257914850266207,-0.00017441329182824917,1.3154260093590726e-05,1.2177908295510123e-05,0.3333333333333333,sds_L12,0.3333333333333333,0.1734721666221777,4.863347261957294,61.49072556779505,-2.4682041099324294,0.04870420990180358
2,61.0,77.0,62.961897708089055,63.191055319536964,63.076476513813006,0.22915761144790991,0.0005000000000006111,0.22915815692335992,0.0014637421958146974,0.0022834600247312923,0.0018736011102729949,0.0008197178289165948,0.0013407021140814871,9.003747804399e-06,1.2221733409474179e-05,0.3333333333333333,sds_L12,0.3333333333333333,0.1734721666221777,5.566595628901939,73.68307013254517,-10.606593618732163,1.046399871263688
3,77.0,98.0,93.4690008670438,92.63456244577326,93.05178165640854,0.8344384212705478,0.0005000000000006111,0.834438571071882,7.79449400592526e-05,5.459085107717722e-05,6.626789556821492e-05,2.3354088982075384e-05,-5.868258444092629e-05,4.989492766732772e-08,1.768484050252147e-08,0.3333333333333333,sds_L12,0.3333333333333333,0.1734721666221777,10.76647675714889,97.8461454586656,-4.794363802257067,0.03536926574438211
0,20.0,42.0,30.37805433230801,30.317465863556457,30.347760097932234,0.0605884687515541,0.0005000000000006111,0.06059053181527663,0.03213676662027587,0.03270051683527593,0.0324186417277759,0.0005637502150000612,-0.03204226090030383,0.0023209388836941958,0.0007548226281940903,0.3333333333333333,sds_L20,0.3333333333333333,0.18584142981864143,0.0,30.407041600460886,-0.05928150252865194,
1,44.0,62.0,57.1095398428927,57.39609144200391,57.252815642448304,0.2865515991112062,0.0005000000000006111,0.28655203533248447,0.005335474549808036,0.004474416247460532,0.004904945398634284,0.0008610583023475034,-0.004834481228510949,7.846317219752875e-05,2.0134848857577437e-05,0.3333333333333333,sds_L20,0.3333333333333333,0.18584142981864143,5.000073991742833,58.11785532813624,-0.8650396856879325,0.15130015130867702
2,61.0,77.0,69.24415327737891,69.21879387459084,69.23147357598488,0.025359402788069474,0.0005000000000006111,0.025364331447281365,0.0013900844000039327,0.0015116199135763674,0.0014508521567901502,0.00012153551357243467,0.0013076278132473954,4.225492394526325e-06,2.7357907901473007e-06,0.3333333333333333,sds_L20,0.3333333333333333,0.18584142981864143,7.226204909419682,69.50829907161388,-0.27682549562899794,0.2957937426162012
3,77.0,98.0,91.27100800691998,91.67130117086354,91.47115458889176,0.40029316394355874,0.0005000000000006111,0.40029347621457034,0.00019396240533075054,0.00017891345382985756,0.00018643792958030405,1.5048951500892978e-05,0.0001498222097548769,9.042920898951364e-08,3.448541881213719e-08,0.3333333333333333,sds_L20,0.3333333333333333,0.18584142981864143,11.35925902756879,92.06441797147738,-0.5932633825856186,0.1285023623583931
0,20.0,42.0,30.039647487711687,30.004095808702132,30.02187164820691,0.03555167900955425,0.0005000000000006111,0.0355551948440503,0.029756655288387005,0.029897261645479217,0.02982695846693311,0.00014060635709221142,-0.029725788272264055,0.0018987475294168971,0.000690138983866837,0.3333333333333333,sds_L40,0.3333333333333333,0.1908193832843955,0.0,30.045156182959417,-0.023284534752505692,
