observer,fit_range,power_in_M_over_L,coefficient,candidate_local_power,candidate_outer_power
r8M,L20_through_L160,2.065813092750822,565.6288873647255,2.0,1.0
r8M,L20_through_L80,2.081164459926562,596.4650279857949,2.0,1.0
r12M,L20_through_L160,2.06462039343804,532.303553806604,2.0,1.0
r12M,L20_through_L80,2.0853891253917185,571.9368991206875,2.0,1.0
outer,L20_through_L160,1.3035799474982737,97.47173861420536,2.0,1.0
outer,L20_through_L80,1.3876548100663741,130.35729333772795,2.0,1.0
