phase_radians,phase_over_half_pi,matched_lag_over_M,coherence,case,observer,pulse_pair,amplitude_ratio,eikonal_amplitude_ratio,phase_residual_from_minus_pi_over_2
-0.8142368083370304,-0.5183592515768263,0.4001962998217166,0.9962464741034458,schwarzschild,r8M,0->1,0.4873346332288643,0.20787957635076193,0.7565595184578662
-1.5696414771479135,-0.9992647998806189,-0.45380736688088924,0.9996793238769088,schwarzschild,r8M,1->2,0.1800528814800186,0.20787957635076193,0.0011548496469830916
-1.6045251030642558,-1.0214724058708367,0.45499997568830436,0.9999488121938999,schwarzschild,r8M,2->3,0.21110674885666866,0.20787957635076193,-0.03372877626935922
-0.7962644776321958,-0.5069177104945995,0.36017976437213123,0.9970192364398606,schwarzschild,r12M,0->1,1.0046066772267723,0.20787957635076193,0.7745318491627008
-1.554615493303525,-0.9896989614660053,-0.4479242549389955,0.9994610161584794,schwarzschild,r12M,1->2,0.17461491977241236,0.20787957635076193,0.01618083349137156
-1.606164096148997,-1.0225158212753565,0.4483130212211154,0.9999462396497003,schwarzschild,r12M,2->3,0.21049836863732108,0.20787957635076193,-0.035367769354100353
-0.7785285499431875,-0.49562666824649526,0.31822036760315975,0.9976562814241774,schwarzschild,outer,0->1,2.5867833186604114,0.20787957635076193,0.792267776851709
-1.5036995667227357,-0.9572848758762588,-0.4384445247241503,0.9986042486742744,schwarzschild,outer,1->2,0.16052166290793074,0.20787957635076193,0.06709676007216081
-1.6095140332424827,-1.024648457465257,0.43426412976511997,0.999935610359373,schwarzschild,outer,2->3,0.20977202475471693,0.20787957635076193,-0.0387177064475861
-0.6298350453144231,-0.40096544317719335,0.38500006879606674,0.9973363473563831,sds_L12,r8M,0->1,0.5783628583775078,0.20787957635076193,0.9409612814804734
-1.4781779205228012,-0.9410372912820104,0.9386687253355676,0.9998901807967618,sds_L12,r8M,1->2,0.13151519877244275,0.20787957635076193,0.0926184062720954
-1.5868795993606883,-1.0102389293197602,1.7499999875729357,0.9999575022662741,sds_L12,r8M,2->3,0.14507301116684249,0.20787957635076193,-0.016083272565791784
-0.6221940298064285,-0.39610102162383665,0.45500000201789126,0.9979410329187206,sds_L12,outer,0->1,1.0945234992476764,0.20787957635076193,0.9486022969884681
-1.470905894439863,-0.9364077756924393,1.070064176476597,0.9998940864747246,sds_L12,outer,1->2,0.1294772185565324,0.20787957635076193,0.0998904323550336
-1.5467685306213979,-0.9847034298695326,1.6799999880417233,0.999973878651466,sds_L12,outer,2->3,0.1457479211790257,0.20787957635076193,0.024027796173498706
-0.7473105382081582,-0.47575266472197236,0.40398265013510026,0.9966906085573544,sds_L20,r8M,0->1,0.5138783409687854,0.20787957635076193,0.8234857885867384
-1.5319592070426213,-0.9752755216638941,-0.29624046063008064,0.9996667373718671,sds_L20,r8M,1->2,0.17049227274119821,0.20787957635076193,0.03883711975227522
-1.581832391957355,-1.007025777291558,0.3293050948008292,0.9999881303965884,sds_L20,r8M,2->3,0.22836598432070968,0.20787957635076193,-0.011036065162458364
-0.7285860435525531,-0.46383228119662306,0.36713475686477576,0.9975180923620695,sds_L20,r12M,0->1,1.073954223973671,0.20787957635076193,0.8422102832423435
-1.5122251158732447,-0.9627124090357644,-0.3012213438292147,0.9995234527193718,sds_L20,r12M,1->2,0.16565768943412457,0.20787957635076193,0.05857121092165185
-1.5835945947104535,-1.008147630407101,0.32545197787506014,0.9999925011752931,sds_L20,r12M,2->3,0.22509394815479786,0.20787957635076193,-0.01279826791555694
-0.7226775794338585,-0.4600708361143377,0.3448544247857395,0.9979301429713834,sds_L20,outer,0->1,1.588592893793828,0.20787957635076193,0.8481187473610381
-1.4897259525914242,-0.9483889968288307,-0.2800000361235898,0.999502814116423,sds_L20,outer,1->2,0.1612634709813694,0.20787957635076193,0.0810703742034724
