case,observer,pulse,spatial_timing_over_M,spatial_relative_amplitude,spatial_relative_energy,spatial_phase_radians,spatial_focus_width_radians,temporal_timing_over_M,temporal_relative_amplitude,temporal_relative_energy,temporal_phase_radians,temporal_focus_width_radians,angular_timing_over_M,angular_relative_amplitude,angular_relative_energy,angular_phase_radians,angular_focus_width_radians,source_width_timing_over_M,source_width_relative_amplitude,source_width_relative_energy,source_width_phase_radians,source_width_focus_width_radians,estimator_timing_over_M,cadence_timing_over_M,fixed_source_timing_uncertainty_over_M,total_timing_uncertainty_over_M,timing_target_over_M,fixed_source_timing_claim_resolved,timing_claim_resolved
sds_L80,outer,0,7.677618327761593e-07,4.93944662949275e-10,4.744589165994739e-10,nan,nan,5.4694252053621994e-05,1.8540397217492455e-08,1.5336718498515367e-06,nan,nan,5.364373834026992e-09,3.006350723921969e-11,2.1997270671647584e-10,nan,nan,0.08204254859980509,0.26576073152625956,0.6378218714767394,nan,nan,0.014478998427648548,0.0005000000000006111,0.014487732311115652,0.08331190892225387,0.01,False,False
sds_L80,outer,1,2.4352345207034887e-07,3.208424637080043e-10,1.0443226283740614e-09,7.352598863086257e-09,0.0,4.0602486919283365e-05,1.410884259533951e-06,1.3332242373431669e-06,1.394847994329318e-06,0.0,4.092682814871296e-08,4.464768554868215e-10,1.1075362849055637e-11,1.2948762062592323e-09,0.0,0.23293686441509465,0.3711725222847141,0.740268554946511,0.07645202279017482,0.21166666666666667,0.0006326943338521573,0.0005000000000006111,0.0008074346679527352,0.2329382638260172,0.01,True,False
sds_L80,outer,2,0.0004638736648558961,3.2600711485919476e-07,2.681696484874152e-07,0.000197071775362323,0.0,5.8470679071831455e-05,1.726856032169266e-06,1.7001552722328839e-06,3.9418269878410677e-05,0.0,5.418129944700922e-09,1.188413811803457e-10,9.93294335671635e-12,1.6944296188370345e-08,0.0,0.14329673447006996,0.4014095090688031,0.7398676232254129,0.01724302468216643,0.19166666666666665,0.0278221491527475,0.0005000000000006111,0.027830569183453942,0.1459742946236109,0.01,False,False
sds_L80,outer,3,0.00011933292012145102,1.0503056426247603e-05,4.33588352433123e-06,2.214888441853802e-05,0.0,0.0003163918913173802,4.0849526684594295e-06,2.239249708879676e-06,4.7411099797223235e-06,0.0,2.1938859617876005e-09,1.5254919549789747e-10,1.8047785488306545e-12,9.57989243488555e-12,0.0,0.21342254493701773,0.37456651230786575,0.7423902193694507,0.04759065296072085,0.016666666666666607,0.004179973867749709,0.0005000000000006111,0.004223331115339169,0.21346432772972432,0.01,True,False
sds_L160,r8M,0,2.1896535134402484e-05,2.4963745315353947e-07,5.048457794032402e-07,nan,0.0,3.472413902017024e-05,2.920622665936179e-08,1.4535446984931255e-06,nan,0.0,6.695980658832923e-08,6.763059001713145e-10,4.692688460039562e-10,nan,0.0,0.13955035040291364,0.31353379590770714,0.6869240603080407,nan,0.14666666666666672,0.00027163008513397813,0.0005000000000006111,0.0005704981434813817,0.13955151652958736,0.001599016278918697,True,False
sds_L160,r8M,1,4.8572296194038245e-06,2.8924704409405422e-08,8.767026216105478e-09,1.1539714020791791e-05,0.0,0.00023200930380085083,2.9543866443271227e-06,1.4453317060958426e-06,7.612900860465288e-05,0.0,3.7383003359536815e-09,1.5390722030161896e-10,3.4019453920564047e-12,2.7869143215397685e-08,0.0,0.1973003029028746,0.3639455794249372,0.7395773941092729,0.020586726455649296,0.22333333333333338,0.0010425639141544707,0.0005000000000006111,0.0011793182033876216,0.19730382742610672,0.001599016278918697,True,False
sds_L160,r8M,2,0.00010654093090067818,1.84405086423034e-06,2.122741069809919e-06,1.3762463817901248e-05,0.0,0.00015202966037008991,1.3033794969974366e-06,1.7110509817896968e-06,5.454624682843523e-05,0.0,1.0637108971423004e-08,1.0977685427349115e-10,2.254196829198918e-12,1.2385557024430227e-09,0.0,0.10903518570815152,0.40384034911451394,0.7404354974127143,0.015140875222080075,0.265,0.002652650244534982,0.0005000000000006111,0.00270573784900435,0.10906875235244338,0.001599016278918697,False,False
sds_L160,r8M,3,0.0009262248085377678,1.7291692228638134e-05,5.54746251368865e-06,3.738089848726034e-05,0.0,0.0025985142221713886,6.515216642299926e-06,4.3303361265678575e-06,0.00017473132704859395,0.0,5.8106905953536625e-09,1.5095935612663425e-10,2.341016269724605e-12,2.3226820466959452e-10,0.0,0.21519718268066867,0.3737623964230219,0.7429187953355229,0.030394211501415525,0.21666666666666679,0.0010411142811648233,0.0005000000000006111,0.0029906667325627447,0.21521796282188516,0.001599016278918697,False,False
sds_L160,r12M,0,7.028467470959754e-05,4.4623496897600035e-08,2.0076905959953706e-07,nan,0.0,1.3677750736462713e-06,2.629207962456803e-10,1.4990163467176743e-06,nan,0.0,3.988843388924579e-08,5.304364725233768e-10,4.644633566641687e-10,nan,0.0,0.09485928615910666,0.2779253340534642,0.6517674413614571,nan,0.18666666666666676,1.0428033064613373e-05,0.0005000000000006111,0.0005050252981514698,0.09486063051217326,0.0015196385815517744,True,False
sds_L160,r12M,1,3.603071851188133e-05,4.337345482774424e-09,2.4011583388272584e-08,9.440783868441828e-06,0.0,2.6270805683736853e-05,2.3432653073474086e-06,1.4085790835949297e-06,4.104239884950012e-06,0.0,8.578751931054285e-09,3.308900931031644e-10,2.5878299503290236e-11,8.921615002321914e-09,0.0,0.2132655812060591,0.36658595820437967,0.7397295866778907,0.047895130504263306,0.21499999999999986,0.0011284461220455455,0.0005000000000006111,0.0012350623540297839,0.21326915741892105,0.0015196385815517744,True,False
sds_L160,r12M,2,0.0009055058288964801,1.0500016065506657e-06,1.3839391981296245e-06,0.00019219217966459648,0.0016666666666664831,9.058344754464542e-05,1.4123718978797939e-06,1.6691981876704176e-06,1.5350379841683193e-05,0.0,9.55948564751452e-09,1.0204170841632276e-10,3.0698776853910203e-12,3.845843421501627e-09,0.0,0.12681037262197492,0.40206139764897175,0.7402544308721806,0.0037234477606835625,0.2566666666666668,0.004042766654215768,0.0005000000000006111,0.004173979921809103,0.12687904757252788,0.0015196385815517744,False,False
sds_L160,r12M,3,0.00035926346649262086,1.4973620302671797e-05,5.011603945725973e-06,5.0363593274260765e-05,0.0,0.0004356385345971603,6.094767998621187e-06,3.1053998981178665e-06,2.8249020247450574e-06,0.0,8.682107477397949e-09,1.5821632892709658e-10,1.0257350524511821e-12,1.4241030577011315e-10,0.0,0.21705393882692192,0.37462994180765685,0.7427584308808797,0.037520961766373206,0.20999999999999996,0.0029125637135365423,0.0005000000000006111,0.003008634001780213,0.21707478950545556,0.0015196385815517744,False,False
sds_L160,outer,0,7.677618327761593e-07,4.93944662949275e-10,4.744589165994739e-10,nan,nan,5.4694252053621994e-05,1.8540397217492455e-08,1.5336718498515367e-06,nan,nan,5.364373834026992e-09,3.006350723921969e-11,2.1997270671647584e-10,nan,nan,0.08204254859980509,0.26576073152625956,0.6378218714767394,nan,nan,0.0073054762628750325,0.0005000000000006111,0.007322771024559342,0.08236870010039922,0.01,True,False
sds_L160,outer,1,2.4352345207034887e-07,3.208424637080043e-10,1.0443226283740614e-09,7.352598863086257e-09,0.0,4.0602486919283365e-05,1.410884259533951e-06,1.3332242373431669e-06,1.394847994329318e-06,0.0,4.092682814871296e-08,4.464768554868215e-10,1.1075362849055637e-11,1.2948762062592323e-09,0.0,0.23293686441509465,0.3711725222847141,0.740268554946511,0.07645202279017482,0.21166666666666667,0.0002849087876199974,0.0005000000000006111,0.0005769069597313031,0.23293757881710794,0.01,True,False
sds_L160,outer,2,0.0004638736648558961,3.2600711485919476e-07,2.681696484874152e-07,0.000197071775362323,0.0,5.8470679071831455e-05,1.726856032169266e-06,1.7001552722328839e-06,3.9418269878410677e-05,0.0,5.418129944700922e-09,1.188413811803457e-10,9.93294335671635e-12,1.6944296188370345e-08,0.0,0.14329673447006996,0.4014095090688031,0.7398676232254129,0.01724302468216643,0.19166666666666665,0.012204797946466783,0.0005000000000006111,0.012223980141973716,0.1438171749141844,0.01,False,False
sds_L160,outer,3,0.00011933292012145102,1.0503056426247603e-05,4.33588352433123e-06,2.214888441853802e-05,0.0,0.0003163918913173802,4.0849526684594295e-06,2.239249708879676e-06,4.7411099797223235e-06,0.0,2.1938859617876005e-09,1.5254919549789747e-10,1.8047785488306545e-12,9.57989243488555e-12,0.0,0.21342254493701773,0.37456651230786575,0.7423902193694507,0.04759065296072085,0.016666666666666607,0.0016000028937526167,0.0005000000000006111,0.0017100741021190496,0.2134293959154364,0.01,True,False
