case,observer,pulse,spatial_timing_over_M,spatial_relative_amplitude,spatial_relative_energy,spatial_phase_radians,spatial_focus_width_radians,temporal_timing_over_M,temporal_relative_amplitude,temporal_relative_energy,temporal_phase_radians,temporal_focus_width_radians,angular_timing_over_M,angular_relative_amplitude,angular_relative_energy,angular_phase_radians,angular_focus_width_radians,source_width_timing_over_M,source_width_relative_amplitude,source_width_relative_energy,source_width_phase_radians,source_width_focus_width_radians,estimator_timing_over_M,cadence_timing_over_M,fixed_source_timing_uncertainty_over_M,total_timing_uncertainty_over_M,timing_target_over_M,fixed_source_timing_claim_resolved,timing_claim_resolved
schwarzschild,outer,2,0.0004638736648558961,3.2600711485919476e-07,2.681696484874152e-07,0.000197071775362323,0.0,5.8470679071831455e-05,1.726856032169266e-06,1.7001552722328839e-06,3.9418269878410677e-05,0.0,5.418129944700922e-09,1.188413811803457e-10,9.93294335671635e-12,1.6944296188370345e-08,0.0,0.17662139984355463,0.39758778455631183,0.7397951351326235,0.022707200304816766,0.2550000000000001,6.936765828413627e-09,0.0005000000000006111,0.0006845418886642711,0.1766227263980888,0.01,True,False
schwarzschild,outer,3,0.00011933292012145102,1.0503056426247603e-05,4.33588352433123e-06,2.214888441853802e-05,0.0,0.0003163918913173802,4.0849526684594295e-06,2.239249708879676e-06,4.7411099797223235e-06,0.0,2.1938859617876005e-09,1.5254919549789747e-10,1.8047785488306545e-12,9.57989243488555e-12,0.0,0.22618910209736498,0.37765359078106175,0.7423424620865611,0.05001282842214616,0.26,7.112248567864299e-09,0.0005000000000006111,0.0006036092898325122,0.22618990749321016,0.01,True,False
sds_L12,r8M,0,2.1896535134402484e-05,2.4963745315353947e-07,5.048457794032402e-07,nan,0.0,3.472413902017024e-05,2.920622665936179e-08,1.4535446984931255e-06,nan,0.0,6.695980658832923e-08,6.763059001713145e-10,4.692688460039562e-10,nan,0.0,0.12724350308417343,0.30809940917833856,0.6807638971712344,nan,0.1416666666666665,0.038265430487591345,0.0005000000000006111,0.03826871902258098,0.13287363896861296,0.01,False,False
sds_L12,r8M,1,4.8572296194038245e-06,2.8924704409405422e-08,8.767026216105478e-09,1.1539714020791791e-05,0.0,0.00023200930380085083,2.9543866443271227e-06,1.4453317060958426e-06,7.612900860465288e-05,0.0,3.7383003359536815e-09,1.5390722030161896e-10,3.4019453920564047e-12,2.7869143215397685e-08,0.0,0.09892167029799026,0.3555569966344173,0.7395370310695222,0.02749023131314643,0.23166666666666658,0.01176417723213774,0.0005000000000006111,0.011777084437962236,0.09962026185672863,0.01,False,False
sds_L12,r8M,2,0.00010654093090067818,1.84405086423034e-06,2.122741069809919e-06,1.3762463817901248e-05,0.0,0.00015202966037008991,1.3033794969974366e-06,1.7110509817896968e-06,5.454624682843523e-05,0.0,1.0637108971423004e-08,1.0977685427349115e-10,2.254196829198918e-12,1.2385557024430227e-09,0.0,0.6710364448373412,0.4294114826426093,0.7399708892553145,0.030226710204478868,0.21333333333333326,0.20424948452907188,0.0005000000000006111,0.2042501808919132,0.7014328525912635,0.01,False,False
sds_L12,r8M,3,0.0009262248085377678,1.7291692228638134e-05,5.54746251368865e-06,3.738089848726034e-05,0.0,0.0025985142221713886,6.515216642299926e-06,4.3303361265678575e-06,0.00017473132704859395,0.0,5.8106905953536625e-09,1.5095935612663425e-10,2.341016269724605e-12,2.3226820466959452e-10,0.0,0.032837438846485156,0.38032944528201373,0.7451004616603472,0.034881885312142646,nan,0.8077048764449444,0.0005000000000006111,0.8077097421732028,0.8083769696073103,0.01,False,False
sds_L12,outer,0,7.677618327761593e-07,4.93944662949275e-10,4.744589165994739e-10,nan,nan,5.4694252053621994e-05,1.8540397217492455e-08,1.5336718498515367e-06,nan,nan,5.364373834026992e-09,3.006350723921969e-11,2.1997270671647584e-10,nan,nan,0.09239717914923773,0.2678895886885856,0.6399552127178476,nan,nan,0.0904796029788848,0.0005000000000006111,0.09048100102931728,0.1293214996124142,0.01,False,False
sds_L12,outer,1,2.4352345207034887e-07,3.208424637080043e-10,1.0443226283740614e-09,7.352598863086257e-09,0.0,4.0602486919283365e-05,1.410884259533951e-06,1.3332242373431669e-06,1.394847994329318e-06,0.0,4.092682814871296e-08,4.464768554868215e-10,1.1075362849055637e-11,1.2948762062592323e-09,0.0,0.13801596216143253,0.3571896826085268,0.7390752755685253,0.07128831034673266,0.2366666666666667,0.18739414145296251,0.0005000000000006111,0.18739481289383614,0.23273422977908048,0.01,False,False
sds_L12,outer,2,0.0004638736648558961,3.2600711485919476e-07,2.681696484874152e-07,0.000197071775362323,0.0,5.8470679071831455e-05,1.726856032169266e-06,1.7001552722328839e-06,3.9418269878410677e-05,0.0,5.418129944700922e-09,1.188413811803457e-10,9.93294335671635e-12,1.6944296188370345e-08,0.0,0.5807650609480248,0.4214587985211401,0.7394307869152004,0.02132425319054798,nan,0.28272298214760383,0.0005000000000006111,0.28272381086854287,0.6459263187469563,0.01,False,False
sds_L12,outer,3,0.00011933292012145102,1.0503056426247603e-05,4.33588352433123e-06,2.214888441853802e-05,0.0,0.0003163918913173802,4.0849526684594295e-06,2.239249708879676e-06,4.7411099797223235e-06,0.0,2.1938859617876005e-09,1.5254919549789747e-10,1.8047785488306545e-12,9.57989243488555e-12,0.0,0.0156712616322352,0.372465834129442,0.7433378919435462,0.021397584947760784,nan,1.2528848332988929,0.0005000000000006111,1.2528849787009857,1.2529829840407711,0.01,False,False
sds_L20,r8M,0,2.1896535134402484e-05,2.4963745315353947e-07,5.048457794032402e-07,nan,0.0,3.472413902017024e-05,2.920622665936179e-08,1.4535446984931255e-06,nan,0.0,6.695980658832923e-08,6.763059001713145e-10,4.692688460039562e-10,nan,0.0,0.12724350308417343,0.30809940917833856,0.6807638971712344,nan,0.1416666666666665,0.008742265340103472,0.0005000000000006111,0.008756648246066544,0.12754445486040306,0.01,True,False
sds_L20,r8M,1,4.8572296194038245e-06,2.8924704409405422e-08,8.767026216105478e-09,1.1539714020791791e-05,0.0,0.00023200930380085083,2.9543866443271227e-06,1.4453317060958426e-06,7.612900860465288e-05,0.0,3.7383003359536815e-09,1.5390722030161896e-10,3.4019453920564047e-12,2.7869143215397685e-08,0.0,0.09892167029799026,0.3555569966344173,0.7395370310695222,0.02749023131314643,0.23166666666666658,0.021004440016241688,0.0005000000000006111,0.02101167181129668,0.10112856770888198,0.01,False,False
