case,pulse,full_time_over_M,monopole_subtracted_time_over_M,timing_difference_over_M,full_amplitude,monopole_subtracted_amplitude,full_flux_energy,monopole_subtracted_flux_energy
sds_L12,0,25.305518709765614,25.31151109209955,0.005992382333936064,0.06306687971631894,0.06267814433025959,0.00313231458127241,0.003111469070448694
sds_L12,1,47.96659024755563,47.9627073792508,-0.00388286830482798,0.07314774748677634,0.07273551892587822,0.004608064514694569,0.004603155389950749
sds_L12,2,66.08470062520789,66.08308570729852,-0.0016149179093645216,0.011390032888377529,0.011500502738370472,0.00011948806096061051,0.00012063745132813508
sds_L12,3,83.0172380090574,83.01702666341527,-0.00021134564212843543,0.001736611952820744,0.0017444712744364914,2.94328271014054e-06,2.9600188955368652e-06
sds_L20,0,26.306784334002884,26.321829579993448,0.015045245990563672,0.044662514818326525,0.04461979799492308,0.0018731049568877253,0.0018591693307069253
sds_L20,1,45.47122898202609,45.47047724683533,-0.0007517351907608827,0.07173952810132632,0.07136229874264355,0.005949391903094013,0.005945158191042665
sds_L20,2,63.54527847131024,63.45455674497471,-0.09072172633553066,0.011131396347213544,0.011172017033417197,0.00019651589351994976,0.00019683484463396136
sds_L20,3,80.33814072222341,80.33837275033122,0.00023202810780276195,0.0026491463759885665,0.00267073360944611,8.137226881851975e-06,8.147326765158709e-06
