pulse,window_start,window_end,analytic_time,matched_time,time,timing_systematic,cadence_uncertainty,timing_uncertainty,analytic_amplitude,matched_amplitude,amplitude,amplitude_systematic,signed_amplitude,integrated_field_energy,integrated_flux_energy,phi_over_pi,case,cosmological_length_over_M,observer,observer_radius_over_M,output_cadence_over_M,delay_over_M,amplitude_ratio,flux_energy_ratio
0,18.0,35.0,25.724504842762432,25.724504850317437,25.724504846539936,7.555005510084811e-09,0.0005000000000006111,0.0005000000000576892,0.11352631447107173,0.11352631448845041,0.11352631447976107,1.737868182694058e-11,-0.11349997633228939,0.02511089208032663,0.012562613809606694,0.0,schwarzschild,inf,r8M,8.0,0.0010000000000012221,nan,nan,nan
1,35.0,53.0,45.0476233367294,45.04762333682266,45.04762333677603,9.325873406851315e-11,0.0005000000000006111,0.0005000000000006197,0.055325304828783416,0.055325304828854706,0.05532530482881906,7.129019596874286e-14,-0.05056470330053948,0.005655872679338784,0.003965730477986065,1.0,schwarzschild,inf,r8M,8.0,0.0010000000000012221,19.32311849023609,0.4873346332288643,0.31567717818034413
2,53.0,69.0,62.44748275236144,62.44748275151895,62.44748275194019,8.424905217907508e-10,0.0005000000000006111,0.0005000000000013209,0.009961480553138554,0.009961480553239968,0.00996148055318926,1.0141366912908012e-13,0.007851798161858912,0.00018777503087059265,0.00014973591007596914,0.0,schwarzschild,inf,r8M,8.0,0.0010000000000012221,17.399859415164165,0.1800528814800186,0.0377574600460519
3,69.0,86.0,78.35728224656756,78.35728224708586,78.35728224682671,5.182982931728475e-10,0.0005000000000006111,0.0005000000000008797,0.002102935773372763,0.0021029357733926644,0.002102935773382714,1.9901181397274925e-14,0.001894057336888914,8.08404270143918e-06,6.296968182736394e-06,1.0,schwarzschild,inf,r8M,8.0,0.0010000000000012221,15.90979949488652,0.21110674885666866,0.04205382783289327
0,18.0,35.0,26.028168051188715,26.02816805198185,26.028168051585283,7.931362233648542e-10,0.0005000000000006111,0.0005000000000012401,0.06118103793336881,0.06118103793399076,0.06118103793367979,6.219469383950127e-13,-0.0611743542044121,0.007255823446758558,0.003735813668500869,0.0,schwarzschild,inf,r12M,12.0,0.0010000000000012221,nan,nan,nan
1,35.0,53.0,44.685105766112635,44.68510576758497,44.68510576684881,1.4723369190505764e-09,0.0005000000000006111,0.0005000000000027788,0.06146287922700699,0.06146287922867133,0.06146287922783916,1.664342275109476e-12,-0.05585583555738763,0.007022610753566406,0.004864395443385282,1.0,schwarzschild,inf,r12M,12.0,0.0010000000000012221,18.656937715263524,1.0046066772267723,1.3020979832051682
2,53.0,69.0,62.25662148790463,62.256621485838735,62.25662148687168,2.0658958987951337e-09,0.0005000000000006111,0.000500000000004879,0.010732335725179494,0.010732335725521718,0.010732335725350605,3.4222451261722853e-13,0.00839885422186107,0.00021820705804097268,0.00017398221269447034,0.0,schwarzschild,inf,r12M,12.0,0.0010000000000012221,17.571515720022873,0.17461491977241236,0.03576646157151047
3,69.0,86.0,78.18249030086824,78.18249030252302,78.18249030169562,1.6547829773116973e-09,0.0005000000000006111,0.0005000000000033493,0.0022591391618172513,0.0022591391618914333,0.0022591391618543423,7.41819800031962e-14,0.0020349633847708097,9.32989331702073e-06,7.26857230664198e-06,1.0,schwarzschild,inf,r12M,12.0,0.0010000000000012221,15.925868814823943,0.21049836863732108,0.04177767482131233
0,18.0,35.0,26.683673792995293,26.683673781822684,26.68367378740899,1.1172609504228603e-08,0.0005000000000006111,0.0005000000001254383,0.031183798669845084,0.031183798671468664,0.031183798670656876,1.623579742870973e-12,-0.031182093340568175,0.0018814116023387598,0.0009791062987019533,0.0,schwarzschild,inf,outer,inf,0.0010000000000012221,nan,nan,nan
1,35.0,53.0,43.77919625321465,43.77919623800074,43.77919624560769,1.5213906578992464e-08,0.0005000000000006111,0.000500000000232074,0.08066573022879073,0.08066573019864912,0.08066573021371992,3.014161142900207e-11,-0.07255973254078144,0.012296143938287244,0.008199485350536433,1.0,schwarzschild,inf,outer,inf,0.0010000000000012221,17.095522458198705,2.5867833186604114,8.37445879104942
2,53.0,69.0,61.801977789891055,61.80197778295429,61.80197778642267,6.936765828413627e-09,0.0005000000000006111,0.0005000000000487298,0.012948597152633776,0.01294859715454389,0.012948597153588834,1.910114427738918e-12,0.009794550010861252,0.00031926065652834404,0.0002551108659509981,0.0,schwarzschild,inf,outer,inf,0.0010000000000012221,18.022781540814975,0.16052166290793074,0.03111303393380757
3,69.0,86.0,77.7643533203735,77.76435332748575,77.76435332392963,7.112248567864299e-09,0.0005000000000006111,0.0005000000000511952,0.0027162534424257792,0.002716253442857208,0.002716253442641494,4.314287642415149e-13,0.002471567015313198,1.3462450033777717e-05,1.0454366030007436e-05,1.0,schwarzschild,inf,outer,inf,0.0010000000000012221,15.962375537506958,0.20977202475471693,0.04097969716435175
0,18.0,35.0,24.994995046771276,24.956729616283685,24.97586233152748,0.038265430487591345,0.0005000000000006111,0.03826869700421855,0.10818359684168835,0.10739264763260918,0.10778812223714876,0.0007909492090791698,-0.10816379268961132,0.024363113398417936,0.009247082821610797,0.0,sds_L12,12.0,r8M,8.0,0.0010000000000012221,nan,nan,nan
1,35.0,53.0,48.34519184281322,48.35695602004536,48.35107393142929,0.01176417723213774,0.0005000000000006111,0.011774797915427194,0.06662711125038448,0.05805418170205866,0.06234064647622157,0.008572929548325822,-0.06576633204236193,0.009220157874562956,0.003830339592953389,1.0,sds_L12,12.0,r8M,8.0,0.0010000000000012221,23.37521159990181,0.5783628583775078,0.4142214000724352
2,53.0,69.0,66.24323312086874,66.44748260539781,66.34535786313327,0.20424948452907188,0.0005000000000006111,0.20425009652480355,0.010080649185146605,0.0063168358406991195,0.008198742512922862,0.0037638133444474857,-0.008708554220213868,0.00026900650596508024,0.00010306141249879958,0.0,sds_L12,12.0,r8M,8.0,0.0010000000000012221,17.994283931703983,0.13151519877244275,0.02690659927083226
3,69.0,86.0,83.16498697604888,82.35728209960394,82.76113453782641,0.8077048764449444,0.0005000000000006111,0.807705031204426,0.0015529357329029173,0.0008258967953597321,0.0011894162641313247,0.0007270389375431852,-0.001187976539608424,1.051334157540254e-05,2.3336192158741294e-06,1.0,sds_L12,12.0,r8M,8.0,0.0010000000000012221,16.415776674693134,0.14507301116684249,0.02264299662981342
0,18.0,35.0,25.305518708583936,25.21503910560505,25.260278907094495,0.0904796029788848,0.0005000000000006111,0.09048098449517787,0.06306687971452654,0.06238464794344026,0.0627257638289834,0.0006822317710862835,-0.06301627343195716,0.00825327324616352,0.00313231458127241,0.0,sds_L12,12.0,outer,10.836157700268155,0.0010000000000012221,nan,nan,nan
1,35.0,53.0,47.96659024770398,47.779196106251014,47.8728931769775,0.18739414145296251,0.0005000000000006111,0.18739480849504056,0.0731477474866376,0.06416189755152688,0.06865482251908224,0.008985849935110729,-0.07237902105162439,0.011142714248274994,0.004608064514694569,1.0,sds_L12,12.0,outer,10.836157700268155,0.0010000000000012221,22.612614269883004,1.0945234992476764,1.4711372038573085
2,53.0,69.0,66.08470062507503,65.80197764292743,65.94333913400123,0.28272298214760383,0.0005000000000006111,0.28272342427615427,0.011390032888011948,0.006388438032514362,0.008889235460263155,0.005001594855497587,-0.009968064352803846,0.0003462160915687917,0.00011948806096061051,0.0,sds_L12,12.0,outer,10.836157700268155,0.0010000000000012221,18.070445957023736,0.1294772185565324,0.025930205746811336
3,69.0,86.0,83.01723800670877,81.76435317340987,82.39079559005933,1.2528848332988929,0.0005000000000006111,1.2528849330686336,0.001736611952039163,0.0008545632263693062,0.0012955875892042346,0.0008820487256698569,-0.0013451767645986093,1.3009810015998598e-05,2.94328271014054e-06,1.0,sds_L12,12.0,outer,10.836157700268155,0.0010000000000012221,16.44745645605809,0.1457479211790257,0.02463244182287634
0,18.0,35.0,25.71948149845172,25.710739233111617,25.71511036578167,0.008742265340103472,0.0005000000000006111,0.008756552019874894,0.11315810793318154,0.11285715037334731,0.11300762915326443,0.0003009575598342251,-0.11315233402738563,0.025159023257833268,0.011785989923909237,0.0,sds_L20,20.0,r8M,8.0,0.0010000000000012221,nan,nan,nan
