category,setting,reference_setting,observer_index,observer_radius_over_M,pulse,sphere_integrated_relative_l2,off_caustic_relative_l2_at_gamma_pi_over_2,arrival_time_error_over_M,delay_error_over_M,relative_amplitude_error,relative_flux_energy_error,angular_focus_width_error_radians,estimator_timing_systematic_over_M,phase_error_radians
angular_width_1,angular_w1p0_lmax19,angular_w1p0_lmax27,1,12.0,0,5.304512824318161e-08,6.626727727460017e-08,2.017143074795058e-07,nan,5.690892534992997e-08,1.6805307145872916e-08,nan,2.265131726630898e-08,nan
angular_width_1,angular_w1p0_lmax19,angular_w1p0_lmax27,1,12.0,1,5.304512824318161e-08,6.626727727460017e-08,8.280404983906919e-07,6.263261909111861e-07,2.001340804191898e-08,4.719861390611868e-09,0.0,1.3691779017221961e-06,1.8715632310595254e-07
angular_width_1,angular_w1p0_lmax19,angular_w1p0_lmax27,1,12.0,2,5.304512824318161e-08,6.626727727460017e-08,6.902061500113632e-08,7.590198833895556e-07,6.462828050501912e-10,8.962763864417411e-10,nan,1.459204383991164e-07,2.876881826097133e-07
angular_width_1,angular_w1p0_lmax19,angular_w1p0_lmax27,1,12.0,3,5.304512824318161e-08,6.626727727460017e-08,2.01224423790336e-08,4.889817262210272e-08,1.1507522712506102e-09,1.8232215737157276e-10,nan,2.95092519309037e-08,5.111806200552849e-08
angular_width_1,angular_w1p0_lmax19,angular_w1p0_lmax27,2,inf,0,5.304512824318161e-08,6.626727727460017e-08,3.9632941195577587e-07,nan,3.8273177960235216e-08,1.9103538528852937e-08,nan,8.946934997311473e-07,nan
angular_width_1,angular_w1p0_lmax19,angular_w1p0_lmax27,2,inf,1,5.304512824318161e-08,6.626727727460017e-08,1.2710519072811621e-06,8.747224953253863e-07,3.269218540324914e-08,4.775469575335478e-09,0.0,2.625183213922355e-06,3.8494644316600096e-07
angular_width_1,angular_w1p0_lmax19,angular_w1p0_lmax27,2,inf,2,5.304512824318161e-08,6.626727727460017e-08,1.271046699002909e-07,1.1439472373808712e-06,2.9986513272461934e-09,1.3715537594549687e-09,nan,2.6017707455139316e-07,6.886796402039153e-07
angular_width_1,angular_w1p0_lmax19,angular_w1p0_lmax27,2,inf,3,5.304512824318161e-08,6.626727727460017e-08,2.5477291387687728e-08,1.0162737851260317e-07,1.0001425243544304e-09,3.2246127990021023e-10,nan,5.008686798646522e-08,7.547869163015976e-08
angular_width_1,angular_w1p0_lmax23,angular_w1p0_lmax27,0,8.0,0,2.509065992655811e-10,3.108361829834145e-10,7.679190616727283e-10,nan,3.875590959268038e-10,8.773692883323747e-11,0.0,6.741196045823017e-09,nan
angular_width_1,angular_w1p0_lmax23,angular_w1p0_lmax27,0,8.0,1,2.509065992655811e-10,3.108361829834145e-10,4.73555417102034e-10,2.943636445706943e-10,6.861178292183467e-14,3.2110647474326015e-11,0.0,6.543373842760047e-09,4.312331935985014e-09
angular_width_1,angular_w1p0_lmax23,angular_w1p0_lmax27,0,8.0,2,2.509065992655811e-10,3.108361829834145e-10,2.1871215949431644e-10,2.5484325760771753e-10,1.9412693674780712e-11,2.2011281686218354e-11,nan,1.4692524530346418e-08,2.6447977141685897e-10
angular_width_1,angular_w1p0_lmax23,angular_w1p0_lmax27,0,8.0,3,2.509065992655811e-10,3.108361829834145e-10,7.676703717152122e-11,1.4194512232279521e-10,1.6832757410156773e-11,4.182765245275277e-12,nan,1.2639034707717656e-08,6.041545042023699e-11
angular_width_1,angular_w1p0_lmax23,angular_w1p0_lmax27,1,12.0,0,2.509065992655811e-10,3.108361829834145e-10,1.4764054867555387e-08,nan,2.606734827992341e-10,3.02343705627095e-11,nan,3.020265992859095e-08,nan
angular_width_1,angular_w1p0_lmax23,angular_w1p0_lmax27,1,12.0,1,2.509065992655811e-10,3.108361829834145e-10,6.659746532022837e-09,2.1423801399578224e-08,1.6108381295509844e-10,2.1744828160308316e-12,0.0,2.3485888789309683e-08,8.586092725693106e-09
angular_width_1,angular_w1p0_lmax23,angular_w1p0_lmax27,1,12.0,2,2.509065992655811e-10,3.108361829834145e-10,2.155431388928264e-10,6.44420339313001e-09,2.3391066861222498e-11,1.6869838859179254e-11,nan,5.448725914902752e-09,2.2055113291230555e-10
angular_width_1,angular_w1p0_lmax23,angular_w1p0_lmax27,1,12.0,3,2.509065992655811e-10,3.108361829834145e-10,1.5377565887320088e-10,6.176748001962551e-11,1.6229462218575463e-11,2.2373214392246155e-12,nan,6.2110530052450486e-09,7.562095394320067e-11
angular_width_1,angular_w1p0_lmax23,angular_w1p0_lmax27,2,inf,0,2.509065992655811e-10,3.108361829834145e-10,6.321158707578434e-09,nan,2.7107205369247822e-11,7.165323889779529e-11,nan,1.1806289279547855e-08,nan
angular_width_1,angular_w1p0_lmax23,angular_w1p0_lmax27,2,inf,1,2.509065992655811e-10,3.108361829834145e-10,8.962672382040182e-09,1.5283831089618616e-08,2.317410707775025e-10,2.1907586855718364e-11,0.0,1.7898962312301592e-08,5.864426833035452e-09
angular_width_1,angular_w1p0_lmax23,angular_w1p0_lmax27,2,inf,2,2.509065992655811e-10,3.108361829834145e-10,2.6848567813431146e-10,9.231158060174494e-09,2.911682006612182e-11,2.7073454589299217e-11,nan,6.130349561317416e-10,5.661868529571734e-09
angular_width_1,angular_w1p0_lmax23,angular_w1p0_lmax27,2,inf,3,2.509065992655811e-10,3.108361829834145e-10,2.382165575909312e-10,5.067022357252426e-10,1.625233281288274e-11,2.9882762930810713e-12,nan,5.5720619229759905e-09,4.813330845010455e-10
angular_width_0.7,angular_w0p7_lmax27,angular_w0p7_lmax35,0,8.0,0,6.3124683677023e-08,7.837321419727389e-08,1.904697597865379e-06,nan,1.6699411298226607e-08,8.789316607860087e-09,0.0,3.799829745076977e-06,nan
angular_width_0.7,angular_w0p7_lmax27,angular_w0p7_lmax35,0,8.0,1,6.3124683677023e-08,7.837321419727389e-08,1.5776033990277938e-07,1.7469372579625997e-06,2.618793515374307e-09,6.846045952357827e-10,0.0,2.884686622905974e-07,1.2237914671642258e-06
angular_width_0.7,angular_w0p7_lmax27,angular_w0p7_lmax35,0,8.0,2,6.3124683677023e-08,7.837321419727389e-08,1.0682398965400353e-07,5.093635024877585e-08,1.0366226765867737e-09,3.834929040991142e-10,0.0,2.139317416549602e-07,3.823727356966345e-08
angular_width_0.7,angular_w0p7_lmax27,angular_w0p7_lmax35,0,8.0,3,6.3124683677023e-08,7.837321419727389e-08,1.2545172012323746e-08,9.427881764167978e-08,3.1021663016161938e-09,2.1047763532067165e-10,0.0,3.095290423971164e-08,9.119381561006888e-08
angular_width_0.7,angular_w0p7_lmax27,angular_w0p7_lmax35,1,12.0,0,6.3124683677023e-08,7.837321419727389e-08,9.60948884909385e-07,nan,1.9364281622635815e-08,1.5139937525887603e-08,0.0,1.912680520632648e-06,nan
angular_width_0.7,angular_w0p7_lmax27,angular_w0p7_lmax35,1,12.0,1,6.3124683677023e-08,7.837321419727389e-08,5.916761267599213e-07,1.5526250116693063e-06,8.08458999745909e-09,3.8011060965459365e-10,0.0,1.2116837311282325e-06,1.351600961152499e-07
angular_width_0.7,angular_w0p7_lmax27,angular_w0p7_lmax35,1,12.0,2,6.3124683677023e-08,7.837321419727389e-08,5.1618840757328144e-08,5.400572860025932e-07,8.180615074238062e-10,5.724861695810546e-10,0.0,1.0581810983012474e-07,9.044820759029903e-08
angular_width_0.7,angular_w0p7_lmax27,angular_w0p7_lmax35,1,12.0,3,6.3124683677023e-08,7.837321419727389e-08,2.923188446857239e-08,2.2386956288755755e-08,3.2335694122309633e-09,7.691625114603085e-11,0.0,5.7283131127405795e-08,3.3646474495441225e-09
angular_width_0.7,angular_w0p7_lmax27,angular_w0p7_lmax35,2,inf,0,6.3124683677023e-08,7.837321419727389e-08,6.397613532271862e-07,nan,1.9006285434386427e-10,1.4484342614196066e-09,nan,1.330108034380828e-06,nan
angular_width_0.7,angular_w0p7_lmax27,angular_w0p7_lmax35,2,inf,1,6.3124683677023e-08,7.837321419727389e-08,2.143690878142479e-07,4.253922654129383e-07,3.0475379331207364e-08,4.805498221571725e-10,0.0,4.277565324173338e-07,1.0912869508050706e-07
angular_width_0.7,angular_w0p7_lmax27,angular_w0p7_lmax35,2,inf,2,6.3124683677023e-08,7.837321419727389e-08,1.2086763945262646e-07,9.350144836162144e-08,7.163619697436729e-10,5.723459484130444e-10,0.0,2.5053285668263925e-07,8.907027471138917e-08
