family,curvature_coupling,expected_gamma_over_kappa,relative_tolerance,candidate_start_U_over_M,candidate_end_U_over_M,candidate_duration_over_M,minimum_required_duration_over_M,passes_exponential_criterion
uniform_xi0,0.0,1.0,0.1,,,,160.50294935744557,False
uniform_xi1o6,0.16666666666666666,2.0,0.1,,,,160.50294935744557,False
