family,start_U_over_M,end_U_over_M,delta_1536_2048_relative_L2,delta_2048_3072_relative_L2,delta_dt_0p0025_0p00125_at_N2048_relative_L2
schwarzschild,140.37741127766628,975.0274112874982,0.00011696652834816386,7.276320912736176e-06,3.4120732450223256e-08
uniform_xi1o6,153.2898037564649,294.83980375633615,7.90181149342079e-05,7.970993203590555e-06,3.2269784837072635e-08
