ell,observer,U_over_M,n_eff,positive_power
0,r/M=20,151.22741127769265,-2.7100930230321065,2.7100930230321065
0,r/M=20,153.22741127769083,-2.719187711051515,2.719187711051515
0,r/M=20,155.22741127768901,-2.7319762271177988,2.7319762271177988
0,r/M=20,157.2274112776872,-2.7468871267776893,2.7468871267776893
0,r/M=20,159.22741127768538,-2.762556201319376,2.762556201319376
0,r/M=20,161.22741127768356,-2.7778733356124543,2.7778733356124543
0,r/M=20,163.22741127768174,-2.7920096834940673,2.7920096834940673
0,r/M=20,165.22741127767992,-2.804427545002172,2.804427545002172
0,r/M=20,167.2274112776781,-2.814846406793107,2.814846406793107
0,r/M=20,169.22741127767628,-2.823196302609591,2.823196302609591
0,r/M=20,171.22741127767446,-2.8295672178343905,2.8295672178343905
0,r/M=20,173.22741127767264,-2.8341474165889275,2.8341474165889275
0,r/M=20,175.22741127767083,-2.8371881837191752,2.8371881837191752
0,r/M=20,177.227411277669,-2.8389836708153227,2.8389836708153227
0,r/M=20,179.2274112776672,-2.8398349538587397,2.8398349538587397
0,r/M=20,181.22741127766537,-2.8400257285989783,2.8400257285989783
0,r/M=20,183.22741127766355,-2.839811726366166,2.839811726366166
0,r/M=20,185.22741127766173,-2.8393983622933887,2.8393983622933887
0,r/M=20,187.2274112776599,-2.8389327554338752,2.8389327554338752
0,r/M=20,189.2274112776581,-2.8385255363981154,2.8385255363981154
0,r/M=20,191.22741127765627,-2.838262381626536,2.838262381626536
0,r/M=20,193.22741127765445,-2.8381969077873723,2.8381969077873723
0,r/M=20,195.22741127765264,-2.83835641353935,2.83835641353935
0,r/M=20,197.22741127765082,-2.8387525889022966,2.8387525889022966
0,r/M=20,199.227411277649,-2.839373142283954,2.839373142283954
0,r/M=20,201.22741127764718,-2.8401767091151155,2.8401767091151155
0,r/M=20,203.22741127764536,-2.841115006634631,2.841115006634631
0,r/M=20,205.22741127764354,-2.84215495628144,2.84215495628144
0,r/M=20,207.22741127764172,-2.843273514437872,2.843273514437872
0,r/M=20,209.2274112776399,-2.844446073344614,2.844446073344614
0,r/M=20,211.22741127763808,-2.8456516564631187,2.8456516564631187
0,r/M=20,213.22741127763626,-2.8468782560279395,2.8468782560279395
0,r/M=20,215.22741127763445,-2.84811058770938,2.84811058770938
0,r/M=20,217.22741127763263,-2.8493196165772603,2.8493196165772603
0,r/M=20,219.2274112776308,-2.8504762692599077,2.8504762692599077
0,r/M=20,221.227411277629,-2.851573376105449,2.851573376105449
0,r/M=20,223.22741127762717,-2.852625551326473,2.852625551326473
0,r/M=20,225.22741127762535,-2.8536489812907626,2.8536489812907626
0,r/M=20,227.22741127762353,-2.8546493017753667,2.8546493017753667
0,r/M=20,229.2274112776217,-2.855628313269833,2.855628313269833
0,r/M=20,231.2274112776199,-2.8565912396017983,2.8565912396017983
0,r/M=20,233.22741127761807,-2.8575398466208597,2.8575398466208597
0,r/M=20,235.22741127761626,-2.8584631482099674,2.8584631482099674
0,r/M=20,237.22741127761444,-2.8593444162951065,2.8593444162951065
0,r/M=20,239.22741127761262,-2.8601806868173223,2.8601806868173223
0,r/M=20,241.2274112776108,-2.8609917631821324,2.8609917631821324
0,r/M=20,243.22741127760898,-2.8618064845990943,2.8618064845990943
0,r/M=20,245.22741127760716,-2.8626403537683673,2.8626403537683673
0,r/M=20,247.22741127760534,-2.8634874523789464,2.8634874523789464
0,r/M=20,249.22741127760352,-2.8643319699058805,2.8643319699058805
0,r/M=20,251.2274112776017,-2.8651635892467464,2.8651635892467464
0,r/M=20,253.22741127759988,-2.8659803859430966,2.8659803859430966
0,r/M=20,255.2274112775981,-2.866780374770955,2.866780374770955
0,r/M=20,257.2274112775963,-2.867556135920845,2.867556135920845
0,r/M=20,259.22741127759446,-2.8683015640228344,2.8683015640228344
0,r/M=20,261.22741127759264,-2.8690237576925965,2.8690237576925965
0,r/M=20,263.2274112775908,-2.8697453292406743,2.8697453292406743
0,r/M=20,265.227411277589,-2.8704912773166047,2.8704912773166047
0,r/M=20,267.2274112775872,-2.8712702286264222,2.8712702286264222
0,r/M=20,269.22741127758536,-2.8720662332016853,2.8720662332016853
0,r/M=20,271.22741127758354,-2.872848488054583,2.872848488054583
0,r/M=20,273.2274112775817,-2.8735912064297207,2.8735912064297207
0,r/M=20,275.2274112775799,-2.8742881802451947,2.8742881802451947
0,r/M=20,277.2274112775781,-2.8749522865020336,2.8749522865020336
0,r/M=20,279.22741127757627,-2.875603042791283,2.875603042791283
