ell,observer,U_over_M,n_eff,positive_power
2,r/M=50,301.22741127752,-6.1964236974836275,6.1964236974836275
2,r/M=50,305.22741127751635,-6.191227067145472,6.191227067145472
2,r/M=50,309.2274112775127,-6.179954370859932,6.179954370859932
2,r/M=50,313.2274112775091,-6.18581679545955,6.18581679545955
2,r/M=50,317.22741127750544,-6.2180391626016025,6.2180391626016025
2,r/M=50,321.2274112775018,-6.236011538789748,6.236011538789748
2,r/M=50,325.22741127749816,-6.203648447414594,6.203648447414594
2,r/M=50,329.2274112774945,-6.1973649678562746,6.1973649678562746
2,r/M=50,333.2274112774909,-6.259427473546885,6.259427473546885
2,r/M=50,337.22741127748725,-6.280346138577091,6.280346138577091
2,r/M=50,341.2274112774836,-6.215640546619377,6.215640546619377
2,r/M=50,345.22741127748,-6.20973199439987,6.20973199439987
2,r/M=50,349.22741127747634,-6.293192336596907,6.293192336596907
2,r/M=50,353.2274112774727,-6.318103961670435,6.318103961670435
2,r/M=50,357.22741127746906,-6.261392146392451,6.261392146392451
2,r/M=50,361.2274112774654,-6.212140038850819,6.212140038850819
2,r/M=50,365.2274112774618,-6.262465245181861,6.262465245181861
2,r/M=50,369.22741127745815,-6.393171551330658,6.393171551330658
2,r/M=50,373.2274112774545,-6.357690667070027,6.357690667070027
2,r/M=50,377.22741127745087,-6.168739372898282,6.168739372898282
2,r/M=50,381.22741127744723,-6.226645374468221,6.226645374468221
2,r/M=50,385.2274112774436,-6.44451364680197,6.44451364680197
2,r/M=50,389.22741127743996,-6.408908371185966,6.408908371185966
2,r/M=50,393.2274112774363,-6.272403505707168,6.272403505707168
2,r/M=50,397.2274112774327,-6.258737227809747,6.258737227809747
2,r/M=50,401.22741127742904,-6.253135416907486,6.253135416907486
2,r/M=50,405.2274112774254,-6.370972943459602,6.370972943459602
2,r/M=50,409.22741127742177,-6.597963257832024,6.597963257832024
2,r/M=50,413.2274112774181,-6.4190664301655085,6.4190664301655085
2,r/M=50,417.2274112774145,-5.9745190386072045,5.9745190386072045
2,r/M=50,421.22741127741085,-6.155142788956709,6.155142788956709
2,r/M=50,425.2274112774072,-6.741854245205555,6.741854245205555
2,r/M=50,429.2274112774036,-6.707957729051769,6.707957729051769
2,r/M=50,433.22741127739994,-6.188990661623109,6.188990661623109
2,r/M=50,437.2274112773963,-6.070187202533512,6.070187202533512
2,r/M=100,301.22741127752,-5.679999813545204,5.679999813545204
2,r/M=100,305.22741127751635,-5.686706852384632,5.686706852384632
2,r/M=100,309.2274112775127,-5.69497752291621,5.69497752291621
2,r/M=100,313.2274112775091,-5.697593656989927,5.697593656989927
2,r/M=100,317.22741127750544,-5.701685828729158,5.701685828729158
2,r/M=100,321.2274112775018,-5.721701164295304,5.721701164295304
2,r/M=100,325.22741127749816,-5.743996663818195,5.743996663818195
2,r/M=100,329.2274112774945,-5.745798327251984,5.745798327251984
2,r/M=100,333.2274112774909,-5.736386355385262,5.736386355385262
2,r/M=100,337.22741127748725,-5.742205138224974,5.742205138224974
2,r/M=100,341.2274112774836,-5.764071611264568,5.764071611264568
2,r/M=100,345.22741127748,-5.788717925355377,5.788717925355377
2,r/M=100,349.22741127747634,-5.798173192074374,5.798173192074374
2,r/M=100,353.2274112774727,-5.785403459479541,5.785403459479541
2,r/M=100,357.22741127746906,-5.779785053449755,5.779785053449755
2,r/M=100,361.2274112774654,-5.793877354304546,5.793877354304546
2,r/M=100,365.2274112774618,-5.815300546057507,5.815300546057507
2,r/M=100,369.22741127745815,-5.845972790101826,5.845972790101826
2,r/M=100,373.2274112774545,-5.8576055379219945,5.8576055379219945
2,r/M=100,377.22741127745087,-5.8291735279953105,5.8291735279953105
2,r/M=100,381.22741127744723,-5.812667570762388,5.812667570762388
2,r/M=100,385.2274112774436,-5.829679458675651,5.829679458675651
2,r/M=100,389.22741127743996,-5.857217583634234,5.857217583634234
2,r/M=100,393.2274112774363,-5.907523170119478,5.907523170119478
2,r/M=100,397.2274112774327,-5.937320452166826,5.937320452166826
2,r/M=100,401.22741127742904,-5.877015790470654,5.877015790470654
2,r/M=100,405.2274112774254,-5.812807686693896,5.812807686693896
2,r/M=100,409.22741127742177,-5.85098017315411,5.85098017315411
2,r/M=100,413.2274112774181,-5.918253379345534,5.918253379345534
2,r/M=100,417.2274112774145,-5.949641655592438,5.949641655592438
2,r/M=100,421.22741127741085,-5.9875964588759025,5.9875964588759025
2,r/M=100,425.2274112774072,-5.979080403626771,5.979080403626771
2,r/M=100,429.2274112774036,-5.867537256709488,5.867537256709488
2,r/M=100,433.22741127739994,-5.805230537167537,5.805230537167537
