ell,observer,U_over_M,n_eff,positive_power
1,r/M=20,221.227411277629,-4.768882487106252,4.768882487106252
1,r/M=20,223.22741127762717,-4.652482425029327,4.652482425029327
1,r/M=20,225.22741127762535,-4.578211733090937,4.578211733090937
1,r/M=20,227.22741127762353,-4.554779998919107,4.554779998919107
1,r/M=20,229.2274112776217,-4.5758152761967,4.5758152761967
1,r/M=20,231.2274112776199,-4.62328958661588,4.62328958661588
1,r/M=20,233.22741127761807,-4.675865150664902,4.675865150664902
1,r/M=20,235.22741127761626,-4.719303212653662,4.719303212653662
1,r/M=20,237.22741127761444,-4.749887454680677,4.749887454680677
1,r/M=20,239.22741127761262,-4.7684437228434025,4.7684437228434025
1,r/M=20,241.2274112776108,-4.7737376084632785,4.7737376084632785
1,r/M=20,243.22741127760898,-4.76321237810569,4.76321237810569
1,r/M=20,245.22741127760716,-4.738301524579285,4.738301524579285
1,r/M=20,247.22741127760534,-4.706480367752923,4.706480367752923
1,r/M=20,249.22741127760352,-4.677683316019591,4.677683316019591
1,r/M=20,251.2274112776017,-4.659637531653351,4.659637531653351
1,r/M=20,253.22741127759988,-4.656768268545372,4.656768268545372
1,r/M=20,255.2274112775981,-4.671796430480055,4.671796430480055
1,r/M=20,257.2274112775963,-4.705327672076207,4.705327672076207
1,r/M=20,259.22741127759446,-4.751846716738504,4.751846716738504
1,r/M=20,261.22741127759264,-4.796784774038993,4.796784774038993
1,r/M=20,263.2274112775908,-4.820327670027185,4.820327670027185
1,r/M=20,265.227411277589,-4.807885509377161,4.807885509377161
1,r/M=20,267.2274112775872,-4.760650121254189,4.760650121254189
1,r/M=20,269.22741127758536,-4.698142443914722,4.698142443914722
1,r/M=20,271.22741127758354,-4.649512249212535,4.649512249212535
1,r/M=20,273.2274112775817,-4.638121274767334,4.638121274767334
1,r/M=20,275.2274112775799,-4.6689292112307,4.6689292112307
1,r/M=20,277.2274112775781,-4.726859611888696,4.726859611888696
1,r/M=20,279.22741127757627,-4.786865254666981,4.786865254666981
1,r/M=20,281.22741127757445,-4.8278813506546285,4.8278813506546285
1,r/M=20,283.2274112775726,-4.840995577340917,4.840995577340917
1,r/M=20,285.2274112775708,-4.82854678327657,4.82854678327657
1,r/M=20,287.227411277569,-4.798238402234789,4.798238402234789
1,r/M=20,289.22741127756717,-4.75825258140022,4.75825258140022
1,r/M=20,291.22741127756535,-4.716245030236503,4.716245030236503
1,r/M=20,293.22741127756353,-4.680823470387897,4.680823470387897
1,r/M=20,295.2274112775617,-4.662006549952287,4.662006549952287
1,r/M=20,297.2274112775599,-4.668594073541731,4.668594073541731
1,r/M=20,299.2274112775581,-4.703609741020503,4.703609741020503
1,r/M=20,301.22741127755626,-4.760889610866356,4.760889610866356
1,r/M=20,303.22741127755444,-4.825453678618745,4.825453678618745
1,r/M=20,305.2274112775526,-4.878378471654565,4.878378471654565
1,r/M=20,307.2274112775508,-4.904205091197806,4.904205091197806
1,r/M=20,309.227411277549,-4.896760767566479,4.896760767566479
1,r/M=20,311.22741127754716,-4.8599520287317155,4.8599520287317155
1,r/M=20,313.22741127754534,-4.803776831111512,4.803776831111512
1,r/M=20,315.2274112775435,-4.739177718426646,4.739177718426646
1,r/M=20,317.2274112775417,-4.675574562552717,4.675574562552717
1,r/M=20,319.2274112775399,-4.62235552791409,4.62235552791409
1,r/M=50,221.227411277629,-4.32388936747605,4.32388936747605
1,r/M=50,223.22741127762717,-4.284912917845467,4.284912917845467
1,r/M=50,225.22741127762535,-4.2586614022537255,4.2586614022537255
1,r/M=50,227.22741127762353,-4.250359914414307,4.250359914414307
