study,bridge,resolution,timestep,end_time,relative_l2,difference_to_next,observed_order
spatial,minimal,64,0.0025,100.0,7.275571414897062e-08,7.277579447580933e-08,
spatial,minimal,96,0.0025,100.0,3.0404186541969e-11,2.975540104129562e-11,
spatial,minimal,128,0.0025,100.0,4.061043632074107e-12,4.061043632074107e-12,
spatial,minimal,192,0.0025,100.0,0.0,,
temporal,minimal,256,0.02,100.0,0.0003431618478688772,0.00030315062405925303,2.6460467617913577
temporal,minimal,256,0.01,100.0,6.053605166480666e-05,4.8430507651607534e-05,2.0002502589560778
temporal,minimal,256,0.005,100.0,1.2105526829934904e-05,1.2105526829934904e-05,
temporal,minimal,256,0.0025,100.0,0.0,,
