pulse,phi_over_pi,U_over_M,signed_amplitude,envelope_amplitude,half_orbit_windings,fitted_arrival_over_M
0,0.0,26.845848546239214,-4.934454328318643,4.9350391193253245,0,27.24602163969249
1,1.0,43.4803437342432,-8.246785763855097,9.239141508261504,1,43.39259597265178
2,0.0,60.56419406278797,0.18346074778774965,1.7225939522265645,2,59.53917030561108
3,1.0,74.97314621325529,0.22526812545851838,0.42226771206352914,3,75.68574463857037
