pulse,window_start,window_end,analytic_time,matched_time,time,timing_systematic,cadence_uncertainty,timing_uncertainty,analytic_amplitude,matched_amplitude,amplitude,amplitude_systematic,signed_amplitude,integrated_field_energy,integrated_flux_energy,phi_over_pi,case,gamma_over_pi,Omega_ph_M,rescaled_U,target_angle_over_pi,ray_U_over_M,simulation_minus_ray_over_M,amplitude_ratio,flux_energy_ratio
0,20.0,42.0,29.767468081326793,29.7674680843274,29.767468082827097,3.000607762260188e-09,0.05000000000023874,0.05000000000023883,4.381550782958608,4.381550783291296,4.381550783124952,3.32687655202335e-10,-4.380680510961258,79.93310668763482,7.851393354175373,0.3333333333333333,schwarzschild,0.3333333333333333,0.19245008972987526,0.0,0.3333333333333333,29.68793688733636,0.07953119549073762,nan,nan
1,44.0,62.0,53.76854272664893,53.76854272664818,53.768542726648555,7.531752999057062e-13,0.05000000000023874,0.05000000000023874,0.7941131232750555,0.7941131232750515,0.7941131232750535,3.9968028886505635e-15,-0.7750676774187468,2.71095110435733,0.3160149697016673,0.3333333333333333,schwarzschild,0.3333333333333333,0.19245008972987526,4.619008968816874,1.6666666666666667,56.15582327449403,-2.387280547845478,0.18124019612724573,0.04024953985187998
2,61.0,77.0,67.24414163449218,67.24414161876258,67.24414162662738,1.5729597180325072e-08,0.05000000000023874,0.05000000000024122,0.18702906569438155,0.18702906567941938,0.18702906568690048,1.4962170391541463e-11,0.1867215570412077,0.11947576273432846,0.030284186837601233,0.3333333333333333,schwarzschild,0.3333333333333333,0.19245008972987526,7.212389186281608,2.333333333333333,67.18287525976966,0.06126636685772269,0.23551942438070003,0.09583149452125923
3,77.0,98.0,86.93851424038688,86.93851424045977,86.93851424042333,7.288747383427108e-11,0.05000000000023874,0.05000000000023874,0.027720152587726848,0.027720152587799547,0.027720152587763197,7.269879143123603e-14,0.024362073615714484,0.0032192144927580407,0.0005155563600532814,0.3333333333333333,schwarzschild,0.3333333333333333,0.19245008972987526,11.002572962980237,3.6666666666666665,88.9681362657038,-2.0296220252804744,0.148213073117569,0.017023945956282375
0,20.0,42.0,30.470544934682962,30.15038618460697,30.310465559644967,0.3201587500759935,0.04999999999997229,0.324039542726223,5.0878224411856445,5.054430381367249,5.071126411276447,0.03339205981839566,-5.0810693132216285,116.31043094693247,9.502367028448312,0.3333333333333333,sds_L20,0.3333333333333333,0.18584142981864143,0.0,0.3333333333333333,30.407041600460886,-0.09657604081591842,nan,nan
1,44.0,62.0,55.796305642435165,56.034317944573345,55.91531179350426,0.2380123021381806,0.04999999999997229,0.24320743403340653,0.7797530490887595,0.7139448850150802,0.7468489670519198,0.06580816407367929,-0.7685671475419054,2.8159518319052337,0.23129378815211435,0.3333333333333333,sds_L20,0.3333333333333333,0.18584142981864143,4.758441234386867,1.6666666666666667,58.11785532813624,-2.202543534631978,0.1472747682627638,0.024340649804376526
2,61.0,77.0,69.18642262802942,67.47036244403361,68.32839253603152,1.7160601839958076,0.04999999999997229,1.7167884421488055,0.1581541169542911,0.18297025649302556,0.17056218672365833,0.02481613953873446,0.14435444851732765,0.09480521780472563,0.02686398991097347,0.3333333333333333,sds_L20,0.3333333333333333,0.18584142981864143,7.065305908032376,2.333333333333333,69.50829907161388,-1.1799065355823615,0.2283757416133657,0.11614661217492753
3,77.0,98.0,89.82623998174472,90.70803126154202,90.26713562164338,0.881791279797298,0.04999999999997229,0.8832077112019312,0.03189379258229867,0.026224357150313956,0.029059074866306316,0.005669435431984716,0.031155668309769208,0.004757650313743832,0.0003948404975933779,0.3333333333333333,sds_L20,0.3333333333333333,0.18584142981864143,11.142433291486316,3.6666666666666665,92.06441797147738,-1.7972823498340063,0.17037231654040227,0.014697760790629705
0,20.0,42.0,30.126411790122763,29.93411363491704,30.0302627125199,0.19229815520572302,0.050000000000000044,0.19869217522470367,4.716520476905133,4.687015121386685,4.701767799145909,0.029505355518447907,-4.713707691710259,95.37746247090826,8.66925309671129,0.3333333333333333,sds_L40,0.3333333333333333,0.1908193832843955,0.0,0.3333333333333333,30.045156182959417,-0.014893470439517387,nan,nan
1,44.0,62.0,54.42108271804692,54.49084544735672,54.45596408270182,0.06976272930980087,0.050000000000000044,0.08583028836461261,0.8060391570032485,0.7546713240327163,0.7803552405179823,0.05136783297053216,-0.7941160092781169,2.9199385569308847,0.27136495041570896,0.3333333333333333,sds_L40,0.3333333333333333,0.1908193832843955,4.6608972717469275,1.6666666666666667,56.80306663492168,-2.3471025522198588,0.16597060379284073,0.03130199884447394
2,61.0,77.0,67.91680474444924,67.61934090206019,67.76807282325471,0.29746384238904966,0.050000000000000044,0.30163676421957814,0.1757402318830744,0.17688464317286803,0.1763124375279712,0.0011444112897936454,0.17530657330572347,0.10589272763428678,0.029714531044114215,0.3333333333333333,sds_L40,0.3333333333333333,0.1908193832843955,7.201105651834042,2.333333333333333,67.9079000715456,-0.1398272482908851,0.22593868583613147,0.10950025417281774
3,77.0,98.0,87.72450147122325,87.66809304622312,87.69629725872318,0.05640842500012866,0.050000000000000044,0.07537844792110769,0.02872579685374099,0.026439515080586305,0.027582655967163645,0.0022862817731546838,0.026755594305264873,0.0035230815251707922,0.00045546794777184493,0.3333333333333333,sds_L40,0.3333333333333333,0.1908193832843955,11.003797148563155,3.6666666666666665,89.87713911368192,-2.180841854958743,0.15644191841422292,0.015328121688868549
0,20.0,42.0,29.95330622864705,29.853174786165923,29.903240507406487,0.10013144248112837,0.05000000000006111,0.11192098004108805,4.545766882671724,4.525894075615519,4.5358304791436215,0.019872807056204422,-4.544317874668814,87.17344762302882,8.25375683208549,0.3333333333333333,sds_L80,0.3333333333333333,0.19204371126656825,0.0,0.3333333333333333,29.8698274785805,0.0334130288259864,nan,nan
1,44.0,62.0,54.01713122461053,54.02525192457655,54.021191574593544,0.00812069996602105,0.05000000000006111,0.0506551652642082,0.796165012554098,0.7728636979892299,0.784514355271664,0.02330131456486806,-0.7811370391800818,2.7734290625939577,0.2933862905906827,0.3333333333333333,sds_L80,0.3333333333333333,0.19204371126656825,4.631700831088093,1.6666666666666667,56.40578585232748,-2.384594277733939,0.1729593640853577,0.035545788004097564
2,61.0,77.0,67.49411082741058,67.39086290409698,67.44248686575378,0.103247923313603,0.05000000000006111,0.11471762579733663,0.1827829475627851,0.18205493927092328,0.1824189434168542,0.0007280082918618147,0.1827291670815137,0.1139246519708243,0.02974073164002409,0.3333333333333333,sds_L80,0.3333333333333333,0.19204371126656825,7.209176188807021,2.333333333333333,67.44729124708061,-0.004804381326835028,0.23252467235438362,0.10137055681826937
3,77.0,98.0,87.18788189513165,87.1612583799215,87.17457013752659,0.026623515210147275,0.05000000000006111,0.05664637289492641,0.027938376452809943,0.02697662513241583,0.027457500792612888,0.0009617513203941143,0.025269112222823086,0.003280221924118745,0.00048542913972605473,0.3333333333333333,sds_L80,0.3333333333333333,0.19204371126656825,10.99859869133924,3.6666666666666665,89.277468668746,-2.1028985312194095,0.1505189114590388,0.016322030863315424
0,20.0,42.0,29.862459881647432,29.81129993359762,29.836879907622524,0.05115994804981128,0.05000000000023874,0.07153558753853402,4.4630338821240985,4.451494733485527,4.457264307804813,0.011539148638571639,-4.462417000697858,83.45257329419611,8.05076382783046,0.3333333333333333,sds_L160,0.3333333333333333,0.19234857560438817,0.0,0.3333333333333333,29.780147138375423,0.0567327692471018,nan,nan
1,44.0,62.0,53.87872823349402,53.873285760749944,53.87600699712198,0.005442472744078941,0.05000000000023874,0.05029533288083415,0.7899166157534482,0.78301307280886,0.7864648442811542,0.00690354294458817,-0.7725952097337976,2.6943822558506976,0.30479267131868826,0.3333333333333333,sds_L160,0.3333333333333333,0.19234857560438817,4.6238918544380825,1.6666666666666667,56.2630894095029,-2.38708241238092,0.1764456379452367,0.03785885138812034
2,61.0,77.0,67.35046560197158,67.30441036763705,67.3274379848043,0.04605523433453129,0.05000000000023874,0.06797855992614482,0.1856120634371519,0.18446695555108095,0.1850395094941164,0.0011451078860709452,0.1854216855027553,0.11761671179523335,0.02962050937270049,0.3333333333333333,sds_L160,0.3333333333333333,0.19234857560438817,7.211255444759505,2.333333333333333,67.29133598253372,0.03610200227058158,0.2352800774753594,0.09718248553860265
3,77.0,98.0,87.03182501777125,87.01928329271477,87.02555415524301,0.012541725056479436,0.05000000000023874,0.05154895602644343,0.027686351134391784,0.02733214137959744,0.027509246256994614,0.0003542097547943428,0.024659302592095617,0.003208532028583103,0.0005002699532637026,0.3333333333333333,sds_L160,0.3333333333333333,0.19234857560438817,11.000160032233156,3.6666666666666665,89.08747893176111,-2.0619247765180972,0.14866687839912,0.016889309598597666
0,22.0,43.0,32.96897669029665,32.96897668603281,32.96897668816473,4.263839059603924e-09,0.05000000000023874,0.05000000000023892,4.067058330182455,4.067058330463085,4.067058330322769,2.8062974166687127e-10,-4.066282481159042,72.55237652968128,6.280137715539022,0.5,schwarzschild,0.5,0.19245008972987526,0.0,0.5,32.98424120432105,-0.015264516156321406,nan,nan
1,44.0,61.0,51.52528185839948,51.52528187100767,51.52528186470357,1.260819004755831e-08,0.05000000000023874,0.05000000000024033,0.7234539744888863,0.7234539749128588,0.7234539747008726,4.239725237553671e-10,-0.5955114428461852,2.2556686672152857,0.4908552325910515,0.5,schwarzschild,0.5,0.19245008972987526,3.571162596279849,1.5,53.3203336090007,-1.795051744297126,0.17788138648197305,0.07815994725346904
