pulse,window_start,window_end,analytic_time,matched_time,time,timing_systematic,cadence_uncertainty,timing_uncertainty,analytic_amplitude,matched_amplitude,amplitude,amplitude_systematic,signed_amplitude,integrated_field_energy,integrated_flux_energy,phi_over_pi,case,cosmological_length_over_M,observer,observer_radius_over_M,output_cadence_over_M,delay_over_M,delay_uncertainty_over_M,amplitude_ratio,energy_ratio
0,18.0,35.0,26.255506891394862,26.255506892291336,26.255506891843098,8.964740061401244e-10,0.05000000000023874,0.05000000000023875,15.128814229956213,15.128814230208004,15.128814230082108,2.517914765576279e-10,-15.12168064535787,901.2834040065861,107.11752223144003,0.0,schwarzschild,inf,r8M,8.0,0.10000000000047748,nan,nan,nan,nan
1,35.0,53.0,44.18674246625645,44.18674245053082,44.18674245839364,1.5725625246432173e-08,0.05000000000023874,0.05000000000024121,6.808558102765665,6.808558102630658,6.808558102698162,1.3500667250809784e-10,-6.770822945641611,173.17698481858952,24.98401530651448,1.0,schwarzschild,inf,r8M,8.0,0.10000000000047748,17.93123556655054,0.07071067811899413,0.45003911074273334,0.23323929443152697
2,53.0,69.0,63.13100081861312,63.1310008196381,63.13100081912561,1.024986318043375e-09,0.05000000000023874,0.05000000000023875,1.000278734486148,1.0002787345255775,1.0002787345058626,3.9429570719562435e-11,0.9453105498493479,3.7812194892459,0.9362383046826669,0.0,schwarzschild,inf,r8M,8.0,0.10000000000047748,18.944258360731972,0.07071067811899413,0.14691491493763745,0.03747349227882304
3,69.0,86.0,77.45586717826677,77.45586718057724,77.455867179422,2.3104718138711178e-09,0.05000000000023874,0.05000000000023879,0.25056435286506534,0.25056435288507567,0.2505643528750705,2.0010326728936434e-11,0.24940344024815284,0.22515736277630902,0.038059784748918295,1.0,schwarzschild,inf,r8M,8.0,0.10000000000047748,14.32486636029639,0.07071067811899243,0.2504945314056379,0.0406518132814684
0,18.0,35.0,26.244108933376168,26.14953066344181,26.19681979840899,0.09457826993435958,0.04999999999997229,0.10698153646201673,15.369647311522382,15.197664032950332,15.283655672236357,0.17198327857204987,-15.367269639341876,940.9358447246576,105.08125989499234,0.0,sds_L20,20.0,r8M,8.0,0.09999999999994458,nan,nan,nan,nan
1,35.0,53.0,45.46063996919193,45.46932965978139,45.464984814486655,0.008689690589456234,0.04999999999997229,0.050749489874655024,7.445144395603278,6.99874647047083,7.221945433037054,0.44639792513244814,-7.431730998195301,217.3656911293969,25.255529300954365,1.0,sds_L20,20.0,r8M,8.0,0.09999999999994458,19.268165016077667,0.11840844508020333,0.4725273578464696,0.24034284825088892
2,53.0,69.0,61.27248252603008,64.0417394043952,62.65711096521264,2.7692568783651197,0.04999999999997229,2.7697082262167116,0.9684824597648779,0.9455050811675473,0.9569937704662126,0.022977378597330622,-0.8658341503281499,3.668879701640732,0.9034902765744476,0.0,sds_L20,20.0,r8M,8.0,0.09999999999994458,17.192126150725983,2.7701731298052583,0.13251190823021308,0.03577395927078456
3,69.0,86.0,80.02037045428762,79.76660578457279,79.8934881194302,0.25376466971482614,0.04999999999997229,0.25864359183144675,0.26636874681863354,0.24947195281985662,0.25792034981924505,0.016896793998776916,0.26625043755407457,0.2612001656512283,0.036251614449690314,1.0,sds_L20,20.0,r8M,8.0,0.09999999999994458,17.236377154217564,2.7817584665042356,0.26951100182563953,0.040123967451135244
0,18.0,35.0,26.36092851791003,26.350404579320795,26.35566654861541,0.01052393858923395,0.050000000000000044,0.05109553095359683,15.191860226693361,15.16010943635184,15.175984831522602,0.03175079034152084,-15.184788182202348,910.6685117190016,106.80794794671331,0.0,sds_L40,40.0,r8M,8.0,0.10000000000000009,nan,nan,nan,nan
1,35.0,53.0,44.57998317202762,44.57659664057873,44.57828990630317,0.0033865314488892295,0.050000000000000044,0.050114554724693706,7.026912948193464,6.868440578222001,6.947676763207732,0.15847236997146297,-7.001119316469645,187.2148005899008,25.080228631892986,1.0,sds_L40,40.0,r8M,8.0,0.10000000000000009,18.22262335768776,0.0715696994452561,0.45780730808167747,0.23481612664635743
2,53.0,69.0,63.091845285507134,63.53758152262473,63.31471340406593,0.44573623711759325,0.050000000000000044,0.4485318194729905,0.8991043119213636,0.9942318651650988,0.9466680885432313,0.09512755324373512,0.693546692899248,3.357898078746352,0.9358987968895186,0.0,sds_L40,40.0,r8M,8.0,0.10000000000000009,18.736423497762758,0.45132279099886546,0.13625678349868367,0.0373161987725819
3,69.0,86.0,78.14643834614246,78.12162666738892,78.13403250676569,0.024811678753536626,0.050000000000000044,0.05581773376417843,0.2630100509897468,0.2516920527289616,0.2573510518593542,0.011317998260785167,0.26254890259914127,0.2528524557156805,0.037740959007856414,1.0,sds_L40,40.0,r8M,8.0,0.10000000000000009,14.819319102699765,0.4519916066503006,0.27184929435550714,0.040325897557822885
0,18.0,35.0,26.332040942266577,26.327589178313588,26.32981506029008,0.004451763952989296,0.05000000000006111,0.05019779081094352,15.144215035810936,15.139232594119656,15.141723814965296,0.004982441691279149,-15.138471212353263,903.5253292133963,107.05043494596117,0.0,sds_L80,80.0,r8M,8.0,0.10000000000012221,nan,nan,nan,nan
1,35.0,53.0,44.331391835074704,44.32198949087745,44.32669066297608,0.009402344197255275,0.05000000000006111,0.05087636068361976,6.879572783573335,6.825079906925899,6.852326345249617,0.054492876647435295,-6.847221445512515,177.6202151839248,25.006353856686204,1.0,sds_L80,80.0,r8M,8.0,0.10000000000012221,17.996875602685996,0.07147182856698867,0.45254598677048463,0.23359413597253814
2,53.0,69.0,63.21135622509163,63.27732648802354,63.244341356557584,0.06597026293191277,0.05000000000006111,0.08277726494220387,0.9693552204702993,0.9987970971043018,0.9840761587873006,0.02944187663400244,0.8934784271898677,3.6326170167684664,0.9364160192639462,0.0,sds_L80,80.0,r8M,8.0,0.10000000000012221,18.917650693581507,0.09716213083152091,0.14361198069171247,0.0374471234243359
3,69.0,86.0,77.67173192228515,77.65476214099003,77.66324703163758,0.01696978129511706,0.05000000000006111,0.05280126397360403,0.25442849727373074,0.2508465638371652,0.25263753055544796,0.003581933436565543,0.2535391642321144,0.23327995672326016,0.03798642431584154,1.0,sds_L80,80.0,r8M,8.0,0.10000000000012221,14.418905675079998,0.09818375155045783,0.2567255880548706,0.04056575660217786
0,18.0,35.0,26.29960019277097,26.29821706023645,26.29890862650371,0.0013831325345208256,0.05000000000023874,0.05001912689793699,15.133112392613706,15.131591696175631,15.132352044394668,0.0015206964380745092,-15.126270176397792,901.9131922449519,107.10138918823151,0.0,sds_L160,160.0,r8M,8.0,0.10000000000047748,nan,nan,nan,nan
1,35.0,53.0,44.248860668738864,44.24656058245914,44.247710625599,0.002300086279724667,0.05000000000023874,0.0500528760104557,6.8182633524934655,6.812984914190421,6.815624133341943,0.005278438303044197,-6.781378543601099,173.77386862112792,24.991771682938573,1.0,sds_L160,160.0,r8M,8.0,0.10000000000047748,17.948801999095288,0.07076159588752912,0.45040084405560665,0.23334684892849844
