pulse,phi_over_pi,U_schwarzschild_over_M,U_sds_over_M,timing_shift_over_M,envelope_ratio,cosmological_length_over_M
0,0.0,26.845848546239214,25.593938370351164,-1.2519101758880495,1.3162464816733954,20.0
1,1.0,43.4803437342432,44.272974196582325,0.792630462339126,0.8263021915436348,20.0
2,0.0,60.56419406278797,62.52745096055798,1.963256897770009,0.7870170156310894,20.0
3,1.0,74.97314621325529,81.22132070939047,6.248174496135178,0.631213590475711,20.0
0,0.0,26.845848546239214,26.138134458335383,-0.7077140879038311,1.116440345099768,40.0
1,1.0,43.4803437342432,43.74939289969592,0.26904916545272073,0.8891843397689557,40.0
2,0.0,60.56419406278797,61.176241842839694,0.612047780051725,0.8851616684444603,40.0
3,1.0,74.97314621325529,76.57669075784743,1.6035445445921397,0.6939167931897561,40.0
0,0.0,26.845848546239214,26.492018836495475,-0.3538297097437386,1.0486957733963584,80.0
1,1.0,43.4803437342432,43.59321817571265,0.11287444146945091,0.9384664900793765,80.0
2,0.0,60.56419406278797,60.76089397752937,0.19669991474140147,0.9405346032334656,80.0
3,1.0,74.97314621325529,75.51061142822313,0.5374652149678383,0.8323569454454783,80.0
0,0.0,26.845848546239214,26.674441247074245,-0.17140729916496866,1.022090509226379,160.0
1,1.0,43.4803437342432,43.53223667616952,0.05189294192631877,0.9676631694271789,160.0
2,0.0,60.56419406278797,60.651263342041155,0.08706927925318553,0.9702058064081802,160.0
3,1.0,74.97314621325529,75.19184707268575,0.2187008594304558,0.9144955200972156,160.0
