phase_radians,phase_over_half_pi,matched_lag_over_M,coherence,case,observer,pulse_pair,delay_over_M
0.7456551576793273,0.47469881674652636,1.2249999826539573,0.9999067027331677,schwarzschild,r8M,0->1,17.93123556655054
1.912942992290499,1.2178173323041375,-1.4203848298025987,0.9998232709866213,schwarzschild,r8M,1->2,18.944258360731972
0.9667594421047132,0.6154581759669124,1.0149999654384108,0.9992058476254032,schwarzschild,r8M,2->3,14.32486636029639
0.6543854616302174,0.41659472362368366,1.0492721190110643,0.9999660176514903,sds_L20,r8M,0->1,19.268165016077667
1.7719363412665987,1.128049710226987,0.8049999964708497,0.9998639244826173,sds_L20,r8M,1->2,17.192126150725983
2.0650752858655026,1.3146677584096143,0.4899999812295633,0.9999467457308094,sds_L20,r8M,2->3,17.236377154217564
0.7367469983910934,0.4690277064082367,1.2249999520286474,0.9999245445762914,sds_L40,r8M,0->1,18.22262335768776
1.8281679425614612,1.163847859443187,-1.1820752653108404,0.9998831154607039,sds_L40,r8M,1->2,18.736423497762758
1.0134224645745469,0.6451647787096413,0.7349999341858497,0.9991673979509649,sds_L40,r8M,2->3,14.819319102699765
0.7397286282735218,0.47092587094527266,1.2249999237447406,0.9999113230513081,sds_L80,r8M,0->1,17.996875602685996
1.8926987359419545,1.204929438435776,-1.3845889568246237,0.9998362800855445,sds_L80,r8M,1->2,18.917650693581507
0.9377748666406649,0.5970060221328191,0.9099999497834008,0.9989168188755004,sds_L80,r8M,2->3,14.418905675079998
0.7449312524958249,0.47423796439338933,1.224999956245793,0.9999078703207671,sds_L160,r8M,0->1,17.948801999095288
1.9196899592185175,1.2221125848540242,-1.3999999675780646,0.9998260119213414,sds_L160,r8M,1->2,18.94513191831892
0.9709750907157682,0.618141941226064,1.014999949612086,0.9991354783152274,sds_L160,r8M,2->3,14.340090759014416
0.6780614460152896,0.43166732341348674,1.0683333274711215,0.9998683829318465,schwarzschild,r12M,0->1,17.41754693612478
1.8814538476161111,1.1977707201894787,-1.487050277469446,0.9998206282833852,schwarzschild,r12M,1->2,19.171726076706015
0.9455531739233008,0.6019578463444959,1.0149999517752784,0.9992195575191278,schwarzschild,r12M,2->3,14.299393554587141
0.5876774932961282,0.37412711200773197,0.9243439068196229,0.9999340515332494,sds_L20,r12M,0->1,18.677720216946355
1.7493254792843318,1.1136551884188015,0.8049999790267945,0.9998951467689928,sds_L20,r12M,1->2,17.401955297876626
2.071671997497991,1.3188673554674637,0.4899999812295633,0.9999740293135418,sds_L20,r12M,2->3,17.24998666691978
0.6569167372773387,0.4182061837499536,1.0717867620551838,0.9998892712197686,sds_L40,r12M,0->1,17.674401982228638
1.7936960147873233,1.1419023486305437,-1.328782098352419,0.9998876062126383,sds_L40,r12M,1->2,19.04571365063748
0.9765768075449105,0.6217081049187002,0.7699999778152685,0.9994569077093813,sds_L40,r12M,2->3,14.73252190666578
0.6710075763003251,0.42717669048123547,1.0712105172137967,0.999873983981037,sds_L80,r12M,0->1,17.47563842551392
1.861891889091335,1.1853171906063718,-1.462822560285677,0.9998345639978882,sds_L80,r12M,1->2,19.15924265912262
0.951895411075755,0.6059954399167925,0.9799999464162056,0.9988548588524321,sds_L80,r12M,2->3,14.378332033024215
0.6767263721109362,0.4308173889684034,1.068437261158519,0.9998697564912246,sds_L160,r12M,0->1,17.433334425566347
1.8771123841634905,1.1950068587145293,-1.4859478732481717,0.9998223753690633,sds_L160,r12M,1->2,19.174465825119952
0.9491599252787413,0.6042539755713828,1.0149999438451818,0.9991246978832985,sds_L160,r12M,2->3,14.313633332701045
0.6161717239157524,0.39226710261858644,0.8921161345924944,0.9996076958846813,schwarzschild,outer,0->1,16.042005853407616
1.7727729884801546,1.1285823363856329,-1.6450000448387032,0.999784355779613,schwarzschild,outer,1->2,19.712312153356933
0.9262886217313816,0.5896936515133129,1.014999991602182,0.9992071328532701,schwarzschild,outer,2->3,14.286358021325583
0.5453331170086768,0.3471698448145675,0.7851612162911809,0.9998578258038223,sds_L20,outer,0->1,18.21245010863904
1.7100452716732188,1.0886486315908634,0.8049999917920437,0.9999371776113145,sds_L20,outer,1->2,17.54914891333194
2.069082188749952,1.3172186320118116,0.454999975367693,0.9999888794190844,sds_L20,outer,2->3,17.281906700023768
0.6463030561988917,0.4114493045178106,1.0300011259038155,0.9997186432132827,sds_L40,outer,0->1,16.709340254289316
1.6688752712619557,1.0624389953006719,-1.4850757028162946,0.9999443445600823,sds_L40,outer,1->2,19.37099383883718
0.9403425824577768,0.5986406807918134,0.6649999784173228,0.9999189897647363,sds_L40,outer,2->3,14.785601539958435
0.6341825407371986,0.40373314472360977,0.9628110639971016,0.9996542869130568,sds_L80,outer,0->1,16.308933616296617
1.7345405797990316,1.104242829073992,-1.6450000353731746,0.9998555924753372,sds_L80,outer,1->2,19.596399716870764
0.9524646288744264,0.6063578152222102,0.9799999505205922,0.9996704860246984,sds_L80,outer,2->3,14.389669013819656
0.6266713319401993,0.39895136068905873,0.9269800762725393,0.9996281231949706,sds_L160,outer,0->1,16.162056348458037
1.7648904824387637,1.1235641771838767,-1.6464586229410376,0.9998071627965812,sds_L160,outer,1->2,19.66181337002319
0.9388112831050894,0.597665825346479,1.0149999902781859,0.9990014670912334,sds_L160,outer,2->3,14.31120115756974
