width_scale,radial_half_width_over_M,time_half_width_over_M,angular_sigma_radians,ell_max_for_omitted_power_below_1e_10,omitted_angular_power,test_function,integral,delta_limit,absolute_error
1.0,1.5,4.0,0.25,19,8.751221969305334e-11,constant,1.0000000000040983,1.0,4.098277273101303e-12
1.0,1.5,4.0,0.25,19,8.751221969305334e-11,linear,37.05492482324065,37.0,0.05492482324064696
1.0,1.5,4.0,0.25,19,8.751221969305334e-11,quadratic,941.181380691794,937.0,4.181380691793947
0.7,1.0499999999999998,2.8,0.175,27,9.604872452939617e-11,constant,1.0000000000040328,1.0,4.032774114648419e-12
0.7,1.0499999999999998,2.8,0.175,27,9.604872452939617e-11,linear,37.027201751042604,37.0,0.027201751042603917
0.7,1.0499999999999998,2.8,0.175,27,9.604872452939617e-11,quadratic,939.0494182177401,937.0,2.04941821774014
0.5,0.75,2.0,0.125,38,7.910805344124583e-11,constant,1.0000000000039877,1.0,3.987699059848637e-12
0.5,0.75,2.0,0.125,38,7.910805344124583e-11,linear,37.013948245488685,37.0,0.013948245488684563
0.5,0.75,2.0,0.125,38,7.910805344124583e-11,quadratic,938.0457560230874,937.0,1.0457560230873924
