case,background,radial_points,ell_max,modes,timestep,final_time_over_M,coordinate_cfl,retarded_time_offset_q_over_M,kappa_c_M,kappa_c_U_final,maximum_constraint,wall_seconds
schwarzschild,Schwarzschild,1024,16,81,0.004,600.0,1.0230000000000001,2.772588722239781,0.0,0.0,9.119323074457952e-10,3256.578094125
sds_L20,"Schwarzschild-de Sitter, L/M=20",1024,16,81,0.004,250.0,0.9815514236407106,2.461850110309169,0.04448683286232328,11.012188301191404,2.7174138494956424e-09,1445.821214125
sds_L40,"Schwarzschild-de Sitter, L/M=40",1024,16,81,0.004,350.0,1.0127377728314415,2.597389463167362,0.02369103827777671,8.230328544027657,1.756738754465914e-09,2129.5208012499997
sds_L80,"Schwarzschild-de Sitter, L/M=80",1024,16,81,0.004,450.0,1.0204404979467656,2.6791369725882506,0.012180408993848391,5.448551063155111,6.8089534011051e-10,2651.6093276250003
sds_L160,"Schwarzschild-de Sitter, L/M=160",1024,16,81,0.004,600.0,1.0223605000593374,2.724272458022873,0.0061710049157578505,3.6857914507243876,5.176445938559482e-10,3244.343132209
