target_angle_over_pi,winding,turning_radius_over_M,impact_parameter_over_M,predicted_U_over_M,Omega_ph_M,case,observer,pulse,measured_U_over_M,measurement_uncertainty_over_M,simulation_minus_ray_over_M
0.0,0,nan,0.0,25.884419411704297,0.19245008972987526,schwarzschild,r12M,0,26.405657668371482,0.05000000000023877,0.5212382566671856
1.0,1,4.4565417580639055,6.0025376788937015,45.012307658528066,0.19245008972987526,schwarzschild,r12M,1,43.82320460449626,0.050000000000238756,-1.1891030540318042
2.0,2,3.224934240155917,5.232688808868385,62.13688243403853,0.19245008972987526,schwarzschild,r12M,2,62.99493068120228,0.050000000000238964,0.8580482471637438
3.0,3,3.0434002535141174,5.197723103149051,78.495956616002,0.19245008972987526,schwarzschild,r12M,3,77.29432423578942,0.05000000000023966,-1.2016323802125868
0.0,0,nan,0.0,25.921863641392843,0.18584142981864143,sds_L20,r12M,0,26.396325303478278,0.11410632101896248,0.47446166208543517
1.0,1,4.4565417580639055,6.292632511819744,46.1962131760589,0.18584142981864143,sds_L20,r12M,1,45.07404552042463,0.052469120182774526,-1.1221676556342643
2.0,2,3.224934240155917,5.421536976966947,63.998115318785636,0.18584142981864143,sds_L20,r12M,2,62.47600081830126,2.6598069376608184,-1.5221145004843777
3.0,3,3.0434002535141174,5.382675810730422,80.94156043598919,0.18584142981864143,sds_L20,r12M,3,79.72598748522104,0.2800330364432483,-1.2155729507681485
0.0,0,nan,0.0,25.99804093835197,0.1908193832843955,sds_L40,r12M,0,26.512628210990336,0.05561414651376214,0.5145872726383658
1.0,1,4.456541758063906,6.071286686681912,45.39312978885597,0.1908193832843955,sds_L40,r12M,1,44.18703019321897,0.06545646051367322,-1.2060995956369993
2.0,2,3.2249342401559176,5.2780456766861334,62.67971785583505,0.1908193832843955,sds_L40,r12M,2,63.232743843856454,0.3257693398647771,0.5530259880214032
3.0,3,3.0434002535141174,5.242169067198784,79.17920079928285,0.1908193832843955,sds_L40,r12M,3,77.96526575052224,0.06354982771611949,-1.213935048760618
0.0,0,nan,0.0,25.962850982432446,0.19204371126656825,sds_L80,r12M,0,26.481601564982796,0.050688892993632516,0.51875058255035
1.0,1,4.456541758063906,6.019505778057159,45.15644059800825,0.19204371126656825,sds_L80,r12M,1,43.95723999049672,0.05258989830414975,-1.1992006075115356
2.0,2,3.224934240155917,5.243918324414447,62.321088545109674,0.19204371126656825,sds_L80,r12M,2,63.116482649619336,0.06954341008075002,0.7953941045096613
3.0,3,3.0434002535141174,5.208728534844114,78.71492862268269,0.19204371126656825,sds_L80,r12M,3,77.49481468264355,0.05886047105697016,-1.2201139400391412
0.0,0,nan,0.0,25.929003367187008,0.19234857560438817,sds_L160,r12M,0,26.44949718534988,0.050053956624902744,0.5204938181628727
1.0,1,4.4565417580639055,6.00676624819083,45.07324988501309,0.19234857560438817,sds_L160,r12M,1,43.88283161091623,0.050153657044911676,-1.1904182740968636
2.0,2,3.2249342401559176,5.235489423251984,62.20781646682088,0.19234857560438817,sds_L160,r12M,2,63.05729743603618,0.05016018497006508,0.8494809692152998
3.0,3,3.0434002535141174,5.200467919966906,78.575561383064,0.19234857560438817,sds_L160,r12M,3,77.37093076873722,0.05051458519715675,-1.2046306143267742
