emitter,pulse,phi_over_pi,U_over_M,signed_amplitude,envelope_amplitude,half_orbit_windings
broad,0,0.0,26.845848546239214,-4.934454328318643,4.9350391193253245,0
broad,1,1.0,43.4803437342432,-8.246785763855097,9.239141508261504,1
broad,2,0.0,60.56419406278797,0.18346074778774965,1.7225939522265645,2
broad,3,1.0,74.97314621325529,0.22526812545851838,0.42226771206352914,3
narrow,0,0.0,26.67283925722881,-3.260134366977775,3.2614632397320436,0
narrow,1,1.0,43.833683831290344,-6.799010117938333,7.986956390315442,1
narrow,2,0.0,61.18407679054486,0.3848165545191421,1.3664991175693975,2
narrow,3,1.0,76.66597725635359,0.23693332668071898,0.2743983369254176,3
