category,setting,reference_setting,observer_index,observer_radius_over_M,pulse,sphere_integrated_relative_l2,off_caustic_relative_l2_at_gamma_pi_over_2,arrival_time_error_over_M,delay_error_over_M,relative_amplitude_error,relative_flux_energy_error,angular_focus_width_error_radians,estimator_timing_systematic_over_M,phase_error_radians
temporal,temporal_dt0.004,temporal_dt0.001,2,inf,1,8.557630133980927e-07,7.923844112357197e-07,0.00011583158016037487,0.0002256142793619631,8.610584988910652e-06,6.640683076319931e-06,0.0,0.00011395595749519316,4.047066979873115e-06
temporal,temporal_dt0.004,temporal_dt0.001,2,inf,2,8.557630133980927e-07,7.923844112357197e-07,2.605423379975491e-05,8.977734636061996e-05,8.77111150709986e-06,8.090067292743086e-06,0.0,2.520665234584385e-05,3.229486085021271e-05
temporal,temporal_dt0.004,temporal_dt0.001,2,inf,3,8.557630133980927e-07,7.923844112357197e-07,0.0003837765567737961,0.00035772232297404116,1.4290022316787443e-05,8.471151020983392e-06,0.0,0.00037986733134687256,5.695964052865321e-06
temporal,temporal_dt0.002,temporal_dt0.001,0,8.0,0,1.965520146397965e-07,1.8117786869348388e-07,6.945012038173104e-05,nan,5.7776754047722534e-08,1.4535446984931255e-06,0.0,6.945951772152625e-05,nan
temporal,temporal_dt0.002,temporal_dt0.001,0,8.0,1,1.965520146397965e-07,1.8117786869348388e-07,0.00046528146550883775,0.0003958313451271067,5.895801963307079e-06,1.4453317060958426e-06,0.0,0.00046654441668891877,0.00015275414873605622
temporal,temporal_dt0.002,temporal_dt0.001,0,8.0,2,1.965520146397965e-07,1.8117786869348388e-07,0.0003035014153596194,0.0007687828808684571,2.6848219871755674e-06,1.7110509817896968e-06,0.0,0.00030294435091349214,5.527560438145507e-05
temporal,temporal_dt0.002,temporal_dt0.001,0,8.0,3,1.965520146397965e-07,1.8117786869348388e-07,0.005193891148195462,0.0048903897328358426,1.3052883455655362e-05,4.3303361265678575e-06,0.0,0.005190753339775256,0.00017775443050860318
temporal,temporal_dt0.002,temporal_dt0.001,1,12.0,0,1.965520146397965e-07,1.8117786869348388e-07,2.7381574483342774e-06,nan,5.104008327094789e-10,1.4990163467176743e-06,0.0,2.7415578287559583e-06,nan
temporal,temporal_dt0.002,temporal_dt0.001,1,12.0,1,1.965520146397965e-07,1.8117786869348388e-07,5.3570791209267554e-05,5.083263376093328e-05,4.7001095385690306e-06,1.4085790835949297e-06,0.0,5.4601443409296735e-05,8.373615704049264e-06
temporal,temporal_dt0.002,temporal_dt0.001,1,12.0,2,1.965520146397965e-07,1.8117786869348388e-07,0.00018177752545511794,0.00012820673424585038,2.9036043047714344e-06,1.6691981876704176e-06,0.0,0.00018238609156639995,3.064194943136478e-05
temporal,temporal_dt0.002,temporal_dt0.001,1,12.0,3,1.965520146397965e-07,1.8117786869348388e-07,0.0008740159782973933,0.0006922384528422754,1.223501565017493e-05,3.1053998981178665e-06,0.0,0.0008767565373659636,5.672658485389448e-06
