target_angle_over_pi,winding,turning_radius_over_M,impact_parameter_over_M,predicted_U_over_M,Omega_ph_M,case,observer,pulse,measured_U_over_M,measurement_uncertainty_over_M,simulation_minus_ray_over_M
1.0,1,4.4565417580639055,6.292632511819744,46.1962131760589,0.18584142981864143,sds_L20,r12M,1,45.80843901689376,0.00702687131549786,-0.38777415916514
2.0,2,3.224934240155917,5.421536976966947,63.998115318785636,0.18584142981864143,sds_L20,r12M,2,63.758176002341294,0.26218448785576753,-0.2399393164443424
3.0,3,3.0434002535141174,5.382675810730422,80.94156043598919,0.18584142981864143,sds_L20,r12M,3,80.48103984704343,0.06342863329569161,-0.4605205889457551
0.0,0,nan,0.0,26.219519353005452,0.18584142981864143,sds_L20,outer,0,26.306784331515274,0.04877739025508024,0.08726497850982184
1.0,1,4.649228005185082,6.473623499923559,45.86363255068249,0.18584142981864143,sds_L20,outer,1,45.47122898218745,0.004457711915101377,-0.3924035684950411
2.0,2,3.246857107214605,5.429067690935019,63.84222860775924,0.18584142981864143,sds_L20,outer,2,63.54527846813291,0.29343829012974826,-0.29695013962632544
3.0,3,3.047279420780557,5.3829947393448405,80.79281275924936,0.18584142981864143,sds_L20,outer,3,80.33814071483643,0.04154164441927583,-0.45467204441293063
0.0,0,nan,0.0,25.57097037876722,0.1908193832843955,sds_L40,r8M,0,25.82860621870318,0.002157330351185624,0.25763583993595773
1.0,1,4.216574797159115,5.8781129224834165,45.77162685496715,0.1908193832843955,sds_L40,r8M,1,45.41954249815724,0.00494813051704404,-0.352084356809911
2.0,2,3.19637735199383,5.2697441641855,62.868839295417956,0.1908193832843955,sds_L40,r8M,2,62.93862867416688,0.034493367740107396,0.0697893787489221
3.0,3,3.0382585219367106,5.241815417427802,79.36043056701253,0.1908193832843955,sds_L40,r8M,3,79.0059934945659,0.017664297906849393,-0.35443707244662903
0.0,0,nan,0.0,25.99804093835197,0.1908193832843955,sds_L40,r12M,0,26.138302858283346,0.005903898071775186,0.14026191993137616
1.0,1,4.456541758063906,6.071286686681912,45.39312978885597,0.1908193832843955,sds_L40,r12M,1,45.04731209604841,0.0021643050281163066,-0.34581769280756447
2.0,2,3.2249342401559176,5.2780456766861334,62.67971785583505,0.1908193832843955,sds_L40,r12M,2,62.737261912016365,0.038115479483184424,0.05754405618131386
3.0,3,3.0434002535141174,5.242169067198784,79.17920079928285,0.1908193832843955,sds_L40,r12M,3,78.82856340907377,0.014665652500850026,-0.35063739020908713
0.0,0,nan,0.0,26.523268195226244,0.1908193832843955,sds_L40,outer,0,26.599894958835737,0.026914032279679978,0.07662676360949305
1.0,1,4.8371386441912305,6.396246219327274,44.775451260725376,0.1908193832843955,sds_L40,outer,1,44.4224435122228,0.0019746210945122736,-0.3530077485025771
2.0,2,3.2676157787071305,5.29200910194573,62.38669649041771,0.1908193832843955,sds_L40,outer,2,62.36897445087484,0.07259404637899759,-0.017722039542874768
3.0,3,3.0508979070796176,5.2427597792119975,78.89941038705528,0.1908193832843955,sds_L40,outer,3,78.53652735367105,0.00741141995964405,-0.3628830333842359
0.0,0,nan,0.0,25.54001699164613,0.19204371126656825,sds_L80,r8M,0,25.800324544345457,0.0005537028826772487,0.26030755269932726
1.0,1,4.216574797159115,5.831081476242211,45.52893374892345,0.19204371126656825,sds_L80,r8M,1,45.18804805089734,0.002412352809923813,-0.34088569802610635
2.0,2,3.19637735199383,5.235776555903483,62.5083605060053,0.19204371126656825,sds_L80,r8M,2,62.619785121024485,0.007713268235002069,0.11142461501918177
3.0,3,3.0382585219367106,5.208381609489402,78.89445986821433,0.19204371126656825,sds_L80,r8M,3,78.56809011113977,0.0034298113562398545,-0.3263697570745592
0.0,0,nan,0.0,25.962850982432446,0.19204371126656825,sds_L80,r12M,0,26.105686534708575,0.0015001369013215174,0.14283555227612865
1.0,1,4.456541758063906,6.019505778057159,45.15644059800825,0.19204371126656825,sds_L80,r12M,1,44.823135390425314,0.0017265546441092821,-0.3333052075829386
2.0,2,3.224934240155917,5.243918324414447,62.321088545109674,0.19204371126656825,sds_L80,r12M,2,62.425197212290556,0.009726531993119852,0.1041086671808813
3.0,3,3.0434002535141174,5.208728534844114,78.71492862268269,0.19204371126656825,sds_L80,r12M,3,78.3919975104546,0.003328513754381012,-0.32293111222809046
0.0,0,nan,0.0,26.59155084183453,0.19204371126656825,sds_L80,outer,0,26.66446445190052,0.014487629049221606,0.07291361006599217
