observer,fit_range,motivated_model,a2,a4,root_mean_square_residual_over_M,effective_power_over_simulated_interval,effective_power_coefficient,effective_power_is_asymptotic_claim,b1,b2
r8M,L20_through_L160,a2_M2_over_L2_plus_a4_M4_over_L4,415.30414207204257,20307.901036835006,0.0006249026138784243,2.079477885580811,584.7519824022606,False,,
r8M,L20_through_L80,a2_M2_over_L2_plus_a4_M4_over_L4,415.4514518006814,20248.311720426427,0.00048615162853031784,2.086374047923603,598.8634179750331,False,,
r12M,L20_through_L160,a2_M2_over_L2_plus_a4_M4_over_L4,390.14427455709387,20185.861090450995,0.0005933556462097035,2.075958405718638,544.4712435943941,False,,
r12M,L20_through_L80,a2_M2_over_L2_plus_a4_M4_over_L4,390.2456177855431,20144.866013196206,0.0005786697636588394,2.0930654047244035,577.650046594153,False,,
outer,L20_through_L160,b1_M_over_L_plus_b2_M2_over_L2,,,0.006249366434123575,1.3100158215524031,98.09470479693539,False,17.44563927628301,478.06955199028096
outer,L20_through_L80,b1_M_over_L_plus_b2_M2_over_L2,,,0.005748070789800441,1.3949419523024693,131.57717263903473,False,17.278970702563342,481.59320048329704
