pulse,window_start,window_end,analytic_time,matched_time,matched_time_resolved,time,timing_systematic,cadence_uncertainty,timing_uncertainty,analytic_amplitude,matched_amplitude,amplitude,amplitude_systematic,signed_amplitude,integrated_field_energy,integrated_flux_energy,phi_over_pi,case,gamma_over_pi,Omega_ph_M,rescaled_U,ray_U_over_M,simulation_minus_ray_over_M,amplitude_ratio
0,20.0,42.0,29.708217427680655,29.70821743153859,True,29.708217427680655,3.8579344163736096e-09,0.0005000000000006111,0.0005000000000154947,0.02769238888393202,0.02769238888597877,0.02769238888393202,2.0467516570477073e-12,-0.027692384230986158,0.0015988354004891142,0.0006263750800735568,0.3333333333333333,schwarzschild,0.3333333333333333,0.19245008972987526,0.0,29.68793688733636,0.02028054034429516,
1,44.0,62.0,55.43635283125524,55.436352837441625,True,55.43635283125524,6.186382961459458e-09,0.0005000000000006111,0.0005000000000388824,0.00500630068691431,0.005006300688008411,0.00500630068691431,1.094100504639428e-12,-0.0033935964173118947,5.833536932656894e-05,2.6782796521188984e-05,0.3333333333333333,schwarzschild,0.3333333333333333,0.19245008972987526,4.95138196700031,56.15582327449403,-0.7194704432387908,0.18078255032086166
2,61.0,77.0,67.19105517257333,67.19105518364947,True,67.19105517257333,1.1076139116994455e-08,0.0005000000000006111,0.0005000000001232919,0.0016918500141130408,0.0016918500147900363,0.0016918500141130408,6.769955689794882e-13,0.001689964457677346,5.578171528225681e-06,2.9849965884739345e-06,0.3333333333333333,schwarzschild,0.3333333333333333,0.19245008972987526,7.213575487334951,67.18287525976966,0.008179912803669254,0.33794414676994394
3,77.0,98.0,88.63456259273688,88.63456259086318,True,88.63456259273688,1.873701194199384e-09,0.0005000000000006111,0.0005000000000041218,0.00019599042687008897,0.00019599042686141568,0.00019599042687008897,8.67329211923229e-15,5.883234135880201e-05,8.527171331292877e-08,4.5136520712243756e-08,0.3333333333333333,schwarzschild,0.3333333333333333,0.19245008972987526,11.340380414468674,88.9681362657038,-0.33357367296692075,0.11584385449961872
0,20.0,42.0,31.021066092570262,30.953341900497193,True,31.021066092570262,0.06772419207306868,0.0005000000000006111,0.06772603776945686,0.035915862132344864,0.037610478305595746,0.035915862132344864,0.0016946161732508819,-0.035770110411574366,0.003265217752742333,0.0008222028056583421,0.3333333333333333,sds_L12,0.3333333333333333,0.1734721666221777,0.0,31.070426665266904,-0.04936057269664218,
1,44.0,62.0,58.60869023143364,59.436352684291606,False,58.60869023143364,0.8276624528579646,0.0005000000000006111,0.8276626038857032,0.0013276254164871538,0.0022534169015137745,0.0013276254164871538,0.0009257914850266207,-0.00017441329182824917,1.3154260093590726e-05,1.2177908295510123e-05,0.3333333333333333,sds_L12,0.3333333333333333,0.1734721666221777,4.78568493132692,61.49072556779505,-2.8820353363614117,0.036964876733156016
2,61.0,77.0,62.961897708089055,63.191055319536964,False,62.961897708089055,0.22915761144790991,0.0005000000000006111,0.22915815692335992,0.0014637421958146974,0.0022834600247312923,0.0014637421958146974,0.0008197178289165948,0.0013407021140814871,9.003747804399e-06,1.2221733409474179e-05,0.3333333333333333,sds_L12,0.3333333333333333,0.1734721666221777,5.5408452640581976,73.68307013254517,-10.721172424456114,1.1025264940224657
3,77.0,98.0,93.4690008670438,92.63456244577326,False,93.4690008670438,0.8344384212705478,0.0005000000000006111,0.834438571071882,7.79449400592526e-05,5.459085107717722e-05,7.79449400592526e-05,2.3354088982075384e-05,-5.868258444092629e-05,4.989492766732772e-08,1.768484050252147e-08,0.3333333333333333,sds_L12,0.3333333333333333,0.1734721666221777,10.83297854640836,97.8461454586656,-4.3771445916218,0.05325045645477863
0,20.0,42.0,30.37805433230801,30.317465863556457,True,30.37805433230801,0.0605884687515541,0.0005000000000006111,0.06059053181527663,0.03213676662027587,0.03270051683527593,0.03213676662027587,0.0005637502150000612,-0.03204226090030383,0.0023209388836941958,0.0007548226281940903,0.3333333333333333,sds_L20,0.3333333333333333,0.18584142981864143,0.0,30.407041600460886,-0.02898726815287489,
1,44.0,62.0,57.1095398428927,57.39609144200391,True,57.1095398428927,0.2865515991112062,0.0005000000000006111,0.28655203533248447,0.005335474549808036,0.004474416247460532,0.005335474549808036,0.0008610583023475034,-0.004834481228510949,7.846317219752875e-05,2.0134848857577437e-05,0.3333333333333333,sds_L20,0.3333333333333333,0.18584142981864143,4.967817488463355,58.11785532813624,-1.0083154852435356,0.16602400026273192
2,61.0,77.0,69.24415327737891,69.21879387459084,True,69.24415327737891,0.025359402788069474,0.0005000000000006111,0.025364331447281365,0.0013900844000039327,0.0015116199135763674,0.0013900844000039327,0.00012153551357243467,0.0013076278132473954,4.225492394526325e-06,2.7357907901473007e-06,0.3333333333333333,sds_L20,0.3333333333333333,0.18584142981864143,7.222931399424768,69.50829907161388,-0.2641457942349632,0.26053622541484084
3,77.0,98.0,91.27100800691998,91.67130117086354,True,91.27100800691998,0.40029316394355874,0.0005000000000006111,0.40029347621457034,0.00019396240533075054,0.00017891345382985756,0.00019396240533075054,1.5048951500892978e-05,0.0001498222097548769,9.042920898951364e-08,3.448541881213719e-08,0.3333333333333333,sds_L20,0.3333333333333333,0.18584142981864143,11.316433576770185,92.06441797147738,-0.793409964557398,0.1395328264457912
0,20.0,42.0,30.039647487711687,30.004095808702132,True,30.039647487711687,0.03555167900955425,0.0005000000000006111,0.0355551948440503,0.029756655288387005,0.029897261645479217,0.029756655288387005,0.00014060635709221142,-0.029725788272264055,0.0018987475294168971,0.000690138983866837,0.3333333333333333,sds_L40,0.3333333333333333,0.1908193832843955,0.0,30.045156182959417,-0.005508695247730344,
1,44.0,62.0,55.94455795711086,56.051232146192596,True,55.94455795711086,0.10667418908173687,0.0005000000000006111,0.1066753608676631,0.004958851519517271,0.004716151345558444,0.004958851519517271,0.00024270017395882672,-0.0039597901881628355,5.952985371855498e-05,2.323112756061944e-05,0.3333333333333333,sds_L40,0.3333333333333333,0.1908193832843955,4.94315903980823,56.80306663492168,-0.8585086778108177,0.16664680460416326
2,61.0,77.0,67.87173351056421,67.85275785408861,True,67.87173351056421,0.01897565647560384,0.0005000000000006111,0.01898224271997718,0.0015706212922183666,0.0015941472180993998,0.0015706212922183666,2.3525925881033236e-05,0.001569576040349397,4.81963498906312e-06,2.6625480626163494e-06,0.3333333333333333,sds_L40,0.3333333333333333,0.1908193832843955,7.219095323242917,67.9079000715456,-0.03616656098138549,0.3167308571423534
