cosmological_length_over_M,category,setting,reference_setting,observer_index,observer_radius_over_M,primary_estimator,D1_over_M,matched_template_D1_over_M,estimator_sensitivity_over_M,reference_D1_over_M,D1_error_over_M
20,spatial,radial_N1536,radial_N2048,0,8.0,tapered_analytic_envelope,1.1651680211870747,1.1949147340051667,0.029746712818091936,1.1652552701266643,8.724893958955704e-05
20,spatial,radial_N1536,radial_N2048,1,12.0,tapered_analytic_envelope,1.1015045108743955,1.1334226877415432,0.03191817686714771,1.1017278200080867,0.0002233091336911741
20,spatial,radial_N1536,radial_N2048,2,18.91298547847183,tapered_analytic_envelope,2.068922190452817,2.122126603886322,0.05320441343350524,2.0688892334627447,3.295699007210828e-05
20,temporal,temporal_dt0.002,temporal_dt0.001,0,8.0,tapered_analytic_envelope,1.1649603280517482,1.1950838946913365,0.030123566639588262,1.1641997469389054,0.0007605811128428286
20,temporal,temporal_dt0.002,temporal_dt0.001,1,12.0,tapered_analytic_envelope,1.1013456219365558,1.1332395852435297,0.031893963306973916,1.1015333245767849,0.00018770264022904826
20,temporal,temporal_dt0.002,temporal_dt0.001,2,18.91298547847183,tapered_analytic_envelope,2.0688212190677895,2.1221674136286595,0.053346194560869975,2.0693339072235126,0.00051268815572314
20,angular,angular_w0p5_lmax42,angular_w0p5_lmax46,0,8.0,tapered_analytic_envelope,1.164882183087041,1.1950889625736814,0.0302067794866403,1.16488222187186,3.87848189120632e-08
20,angular,angular_w0p5_lmax42,angular_w0p5_lmax46,1,12.0,tapered_analytic_envelope,1.1014821973465452,1.1332435277262434,0.031761330379698194,1.1014822542536393,5.6907094148073156e-08
20,angular,angular_w0p5_lmax42,angular_w0p5_lmax46,2,18.91298547847183,tapered_analytic_envelope,2.0686653500294128,2.122167179542103,0.053501829512690335,2.068665406424312,5.639489941700049e-08
80,spatial,radial_N1536,radial_N2048,0,8.0,tapered_analytic_envelope,0.06460501258491647,0.0672028674107068,0.0025978548257903356,0.06447423587260204,0.00013077671231442878
80,spatial,radial_N1536,radial_N2048,1,12.0,tapered_analytic_envelope,0.06051114079281916,0.0635780698897328,0.00306692909691364,0.06082553600148444,0.0003143952086652746
80,spatial,radial_N1536,radial_N2048,2,78.98059813298828,tapered_analytic_envelope,0.29916130428880905,0.3130076124239025,0.013846308135093466,0.2991490089976132,1.2295291195840719e-05
80,temporal,temporal_dt0.002,temporal_dt0.001,0,8.0,tapered_analytic_envelope,0.06425268586972521,0.06718324804285203,0.002930562173126816,0.06377651590232247,0.00047616996740273976
80,temporal,temporal_dt0.002,temporal_dt0.001,1,12.0,tapered_analytic_envelope,0.06032221696824891,0.0635812317158937,0.003259014747644784,0.06040119063552396,7.897366727505073e-05
80,temporal,temporal_dt0.002,temporal_dt0.001,2,78.98059813298828,tapered_analytic_envelope,0.29905689442202643,0.3130076008299163,0.013950706407889868,0.29942273004880704,0.00036583562678060844
80,angular,angular_w0p5_lmax42,angular_w0p5_lmax46,0,8.0,tapered_analytic_envelope,0.06410467924184005,0.06718932995837079,0.0030846507165307457,0.06410467933337927,9.153922064797371e-11
80,angular,angular_w0p5_lmax42,angular_w0p5_lmax46,1,12.0,tapered_analytic_envelope,0.06045715576641442,0.06357747627317778,0.0031203205067633633,0.060457155981275434,2.148610178664967e-10
80,angular,angular_w0p5_lmax42,angular_w0p5_lmax46,2,78.98059813298828,tapered_analytic_envelope,0.2991281522080982,0.3130075584901597,0.013879406282061524,0.2991282209020518,6.869395363651165e-08
