phase_radians,phase_over_half_pi,raw_phase_radians,matched_lag_over_M,lag_at_boundary,phase_resolved,coherence,case,observer,pulse_pair,amplitude_ratio,eikonal_amplitude_ratio,phase_residual_from_minus_pi_over_2
-0.8142368066935598,-0.5183592505305604,-0.8142368066935598,0.4001962941700527,False,True,0.9962464741036468,schwarzschild,r8M,0->1,0.487334633265851,0.20787957635076193,0.7565595201013368
-1.5696414770770333,-0.9992647998354951,-1.5696414770770333,-0.45380736742982736,False,True,0.9996793238770403,schwarzschild,r8M,1->2,0.1800528814792181,0.20787957635076193,0.0011548497178632824
-1.60452510303615,-1.0214724058529439,-1.60452510303615,0.45499997633849304,False,True,0.9999488121938209,schwarzschild,r8M,2->3,0.21110674885674433,0.20787957635076193,-0.03372877624125348
-0.7962644776665436,-0.5069177105164661,-0.7962644776665436,0.3601797647594942,False,True,0.9970192364385263,schwarzschild,r12M,0->1,1.0046066772182767,0.20787957635076193,0.7745318491283529
-1.5546154929245353,-0.989698961224733,-1.5546154929245353,-0.44792425714579,False,True,0.9994610161589703,schwarzschild,r12M,1->2,0.17461491977199256,0.20787957635076193,0.01618083387036129
-1.6061640961333883,-1.0225158212654197,-1.6061640961333883,0.4483130230651001,False,True,0.9999462396495017,schwarzschild,r12M,2->3,0.21049836863722116,0.20787957635076193,-0.03536776933849173
-0.7785285502135424,-0.4956266684186085,-0.7785285502135424,0.31822036582483443,False,True,0.997656281434014,schwarzschild,outer,0->1,2.5867833192110417,0.20787957635076193,0.7922677765813542
-1.5036995681057292,-0.9572848767566998,-1.5036995681057292,-0.43844451893160663,False,True,0.998604248671922,schwarzschild,outer,1->2,0.16052166286610073,0.20787957635076193,0.06709675868916731
-1.6095140332591231,-1.0246484574758508,-1.6095140332591231,0.4342641367997323,False,True,0.9999356103585547,schwarzschild,outer,2->3,0.2097720247535299,0.20787957635076193,-0.038717706464226564
-0.6378744660421591,-0.40608349737085186,-0.6378744660421591,0.4200000292189534,False,True,0.9973289328590763,sds_L12,r8M,0->1,0.6158707345244214,0.20787957635076193,0.9329218607527374
-1.4808068203228613,-0.9427109008743019,-1.4808068203228613,1.037716074342879,False,True,0.9998871216439905,sds_L12,r8M,1->2,0.1512995085028309,0.20787957635076193,0.0899895064720353
-1.5596221301024467,-0.9928862854452619,-1.5596221301024467,1.224999939913384,False,True,0.9999819086511739,sds_L12,r8M,2->3,0.1540511632118991,0.20787957635076193,0.0111741966924499
-0.6308684918566172,-0.401623355679639,-0.6308684918566172,0.41491173708547313,False,True,0.9980427637455228,sds_L12,outer,0->1,1.159844086432408,0.20787957635076193,0.9399278349382794
-1.463977907695704,-0.9319972823484072,-1.463977907695704,1.0149999375603291,False,True,0.999891363052958,sds_L12,outer,1->2,0.15571269491371068,0.20787957635076193,0.10681841909919253
-1.5628730457136943,-0.9949558826016807,-1.5628730457136943,1.2249999429929914,False,True,0.9999887018432584,sds_L12,outer,2->3,0.15246768548552248,0.20787957635076193,0.007923281081202216
-0.7481442650726363,-0.4762834317286532,-0.7481442650726363,0.41999999207800737,False,True,0.9966745301928474,sds_L20,r8M,0->1,0.5194341473135272,0.20787957635076193,0.8226520617222602
-1.5322687570829363,-0.9754725873400958,-1.5322687570829363,-0.16474047090691113,False,True,0.9996702621303537,sds_L20,r8M,1->2,0.16354591545158642,0.20787957635076193,0.03852756971196025
-1.583085460731804,-1.0078235056495086,-1.583085460731804,0.22833390181843397,False,True,0.9999920451261141,sds_L20,r8M,2->3,0.24738191779139895,0.20787957635076193,-0.012289133936907337
-0.7301559799292399,-0.464831733735381,-0.7301559799292399,0.3850000228435237,False,True,0.9975154808702018,sds_L20,r12M,0->1,1.0823319603392072,0.20787957635076193,0.8406403468656567
-1.5115163762624697,-0.9622612113860849,-1.5115163762624697,-0.17478952657541538,False,True,0.9995303808560131,sds_L20,r12M,1->2,0.1596789178369012,0.20787957635076193,0.05927995053242685
-1.5845297617865486,-1.0087429762582105,-1.5845297617865486,0.22706057909674102,False,True,0.9999948010720043,sds_L20,r12M,2->3,0.24154994274377486,0.20787957635076193,-0.013733434991652027
-0.7211042374379156,-0.4590692154910242,-0.7211042374379156,0.3696158324352808,False,True,0.9979269367590182,sds_L20,outer,0->1,1.6062581427172498,0.20787957635076193,0.8496920893569809
-1.492913916517072,-0.9504185176974927,-1.492913916517072,-0.13200303082408515,False,True,0.9995104197255265,sds_L20,outer,1->2,0.15516405864430416,0.20787957635076193,0.07788241027782461
-1.5868116731673751,-1.0101956861620354,-1.5868116731673751,0.16616148596521554,False,True,0.9999974051767885,sds_L20,outer,2->3,0.2379886848439816,0.20787957635076193,-0.01601534637247859
-0.7996882160387327,-0.5090973300596153,-0.7996882160387327,0.4103305366346332,False,True,0.9963426615650788,sds_L40,r8M,0->1,0.4948189752719692,0.20787957635076193,0.7711081107561638
-1.5617739576411336,-0.9942561814031151,-1.5617739576411336,-0.41999995925267525,False,True,0.9996594932427564,sds_L40,r8M,1->2,0.17667015563623722,0.20787957635076193,0.009022369153762977
-1.5991407307411607,-1.0180446079881655,-1.5991407307411607,0.4357557975736797,False,True,0.9999457093990134,sds_L40,r8M,2->3,0.2158547546714874,0.20787957635076193,-0.02834440394626414
-0.7801023845723386,-0.49662860248984964,-0.7801023845723386,0.37065272086412365,False,True,0.9971300377806578,sds_L40,r12M,0->1,1.0231631268035837,0.20787957635076193,0.790693942222558
-1.5447374168527666,-0.9834103826844939,-1.5447374168527666,-0.40986407211367937,False,True,0.9994279779095618,sds_L40,r12M,1->2,0.17102759558089556,0.20787957635076193,0.026058909942130004
-1.5995262574030364,-1.0182900418838905,-1.5995262574030364,0.41999997277433054,False,True,0.9999517984476755,sds_L40,r12M,2->3,0.21527570231563425,0.20787957635076193,-0.028729930608139886
-0.7655316321590734,-0.4873525734052923,-0.7655316321590734,0.34977496325547425,False,True,0.9977016926919986,sds_L40,outer,0->1,2.0473019601865747,0.20787957635076193,0.8052646946358232
-1.513159141482354,-0.963307028206421,-1.513159141482354,-0.35646818988096507,False,True,0.9990408706117802,sds_L40,outer,1->2,0.15980244713689332,0.20787957635076193,0.05763718531254258
-1.6026725725063666,-1.020293048288769,-1.6026725725063666,0.35966548282309585,False,True,0.9999850909796356,sds_L40,outer,2->3,0.21682031882606276,0.20787957635076193,-0.031876245711470075
-0.811009238673681,-0.5163045169124443,-0.811009238673681,0.40440786707313703,False,True,0.9962667231763397,sds_L80,r8M,0->1,0.48943656208436537,0.20787957635076193,0.7597870881212155
-1.5680706952914143,-0.9982648090926952,-1.5680706952914143,-0.4473797644618323,False,True,0.9996721382883527,sds_L80,r8M,1->2,0.1790608105410016,0.20787957635076193,0.0027256315034822625
-1.6037989157652672,-1.0210101006778582,-1.6037989157652672,0.45144395698415707,False,True,0.9999444654371795,sds_L80,r8M,2->3,0.2123867752835876,0.20787957635076193,-0.03300258897037067
-0.7924020391035294,-0.5044588057576962,-0.7924020391035294,0.36442620724096236,False,True,0.9970434124830164,sds_L80,r12M,0->1,1.009614617958419,0.20787957635076193,0.7783942876913672
-1.5538020150852438,-0.9891810851478572,-1.5538020150852438,-0.437879497109269,False,True,0.9994486608383342,sds_L80,r12M,1->2,0.17357425866081724,0.20787957635076193,0.01699431170965271
-1.6045503496434763,-1.021488478342353,-1.6045503496434763,0.4413891626998628,False,True,0.9999407665197515,sds_L80,r12M,2->3,0.21180972904188117,0.20787957635076193,-0.03375402284857976
-0.7756691196308076,-0.493806298371927,-0.7756691196308076,0.33533738247235423,False,True,0.9976527287791092,sds_L80,outer,0->1,2.30118950712192,0.20787957635076193,0.7951272071640889
-1.5079646332784777,-0.9600001015761078,-1.5079646332784777,-0.411640534273379,False,True,0.9987886439410562,sds_L80,outer,1->2,0.16058072061944392,0.20787957635076193,0.06283169351641882
-1.6073651397990916,-1.0232804294104834,-1.6073651397990916,0.40758977770907007,False,True,0.9999562272383465,sds_L80,outer,2->3,0.21281784623285638,0.20787957635076193,-0.036568813004195004
-0.8137306113121402,-0.5180369965420675,-0.8137306113121402,0.40235345969051683,False,True,0.9962503072458255,sds_L160,r8M,0->1,0.4879978448107557,0.20787957635076193,0.7570657154827563
-1.5692985991681283,-0.9990465169791781,-1.5692985991681283,-0.45194647642508345,False,True,0.9996773821711508,sds_L160,r8M,1->2,0.17972916671211744,0.20787957635076193,0.0014977276267682527
-1.6050191006228849,-1.021786894484161,-1.6050191006228849,0.45446338414056764,False,True,0.9999475900803557,sds_L160,r8M,2->3,0.2115129714177702,0.20787957635076193,-0.03422277382798833
-0.7953509506017005,-0.506336141124394,-0.7953509506017005,0.3617334148671005,False,True,0.9970237683855914,sds_L160,r12M,0->1,1.0060846991254724,0.20787957635076193,0.7754453761931961
-1.55462825429744,-0.9897070853670465,-1.55462825429744,-0.44433725950213737,False,True,0.9994575174716589,sds_L160,r12M,1->2,0.17428791773168742,0.20787957635076193,0.01616807249745666
-1.6057681582829189,-1.022263759401182,-1.6057681582829189,0.447191424645546,False,True,0.9999445210466336,sds_L160,r12M,2->3,0.21090739528382973,0.20787957635076193,-0.0349718314880223
-0.7780452985348584,-0.4953190208449284,-0.7780452985348584,0.32680434377459,False,True,0.9976484114612799,sds_L160,outer,0->1,2.439415279053591,0.20787957635076193,0.7927510282600382
-1.5124588409480082,-0.9628612030396569,-1.5124588409480082,-0.4200784806918701,False,True,0.9986874321099356,sds_L160,outer,1->2,0.16067153928648056,0.20787957635076193,0.05833748584688836
-1.6087715070841588,-1.024175750631368,-1.6087715070841588,0.4224061497463173,False,True,0.999931249543877,sds_L160,outer,2->3,0.21117887223732912,0.20787957635076193,-0.03797518028926228
