phase_radians,phase_over_half_pi,raw_phase_radians,matched_lag_over_M,lag_at_boundary,phase_resolved,coherence,case,gamma_over_pi,pulse_pair,amplitude_ratio,eikonal_amplitude_ratio
-1.5133369144201865,-0.9634202019736371,-1.5133369144201865,0.6643024011554376,False,True,0.999945073624406,schwarzschild,0.3333333333333333,0->1,0.18078255032086166,0.20787957635076193
-1.5221352593235287,-0.9690214023032142,-1.5221352593235287,-0.8049999823784376,False,True,0.9995744364343354,schwarzschild,0.3333333333333333,1->2,0.33794414676994394,0.20787957635076193
-1.665624253564314,-1.0603693331540363,-1.665624253564314,0.4261662533785567,False,True,0.9998298735865138,schwarzschild,0.3333333333333333,2->3,0.11584385449961872,0.20787957635076193
nan,nan,-0.7676979038289876,1.999999880186724,True,False,0.999717572436326,sds_L12,0.3333333333333333,0->1,0.036964876733156016,0.20787957635076193
nan,nan,-1.7136388982194244,-1.999999880186724,True,False,0.9968778302251876,sds_L12,0.3333333333333333,1->2,1.1025264940224657,0.20787957635076193
nan,nan,-0.614407621864273,1.9949999938220133,True,False,0.9999857085699381,sds_L12,0.3333333333333333,2->3,0.05325045645477863,0.20787957635076193
-1.4715272045665464,-0.9368033140038581,-1.4715272045665464,0.9100000453960412,False,True,0.9999077387331659,sds_L20,0.3333333333333333,0->1,0.16602400026273192,0.20787957635076193
-1.5131567931742198,-0.9633055332270312,-1.5131567931742198,-0.8237251724867886,False,True,0.9999931546448213,sds_L20,0.3333333333333333,1->2,0.26053622541484084,0.20787957635076193
-1.5704321538048323,-0.9997681602739629,-1.5704321538048323,0.538112002699537,False,True,0.9999998933091068,sds_L20,0.3333333333333333,2->3,0.1395328264457912,0.20787957635076193
-1.509145504882764,-0.9607518677880239,-1.509145504882764,0.7848993883050381,False,True,0.9999109144730789,sds_L40,0.3333333333333333,0->1,0.16664680460416326,0.20787957635076193
-1.5181326009890397,-0.9664732308654467,-1.5181326009890397,-0.9018626553692944,False,True,0.9999305907994562,sds_L40,0.3333333333333333,1->2,0.3167308571423534,0.20787957635076193
-1.6226654176169246,-1.033020888792033,-1.6226654176169246,0.5098241480932899,False,True,0.9999996058060727,sds_L40,0.3333333333333333,2->3,0.12051992653288351,0.20787957635076193
-1.5155002861357907,-0.9647974471827715,-1.5155002861357907,0.7155607375690233,False,True,0.9999202481534851,sds_L80,0.3333333333333333,0->1,0.1720866577582528,0.20787957635076193
-1.528463773941225,-0.973050259838557,-1.528463773941225,-0.8399999518146402,False,True,0.9995814656501723,sds_L80,0.3333333333333333,1->2,0.3310433886998698,0.20787957635076193
-1.6491714305504697,-1.0498951407121586,-1.6491714305504697,0.460826685254588,False,True,0.9999983543840026,sds_L80,0.3333333333333333,2->3,0.11734447651070418,0.20787957635076193
-1.515712125095588,-0.9649323080531362,-1.515712125095588,0.6881041520471448,False,True,0.9999308210698291,sds_L160,0.3333333333333333,0->1,0.1760689278644013,0.20787957635076193
-1.524590764818766,-0.9705846256526396,-1.524590764818766,-0.8215013494041915,False,True,0.999204080224967,sds_L160,0.3333333333333333,1->2,0.33524277168897015,0.20787957635076193
